max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
longestCommonSubsequence4GramFingerprint, 0, 3, 0, 15, 25, 4, 0, 0, 0, 7
winnowing4GramDice, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 25, 3, 234, 492, 37, 2, 1, 5, 155
rkrGstTokenOverlapMinMatchLength2, 0, 1, 0, 16, 13, 6, 0, 0, 0, 6
rkrGst2GramOverlapMinMatchLength3, 0, 35, 4, 278, 1133, 335, 3, 2, 8, 239
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 23, 2, 159, 356, 37, 2, 1, 4, 134
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 0, 36, 34, no result, 0, 0, 1, no result
diceShingles3, 0, no result, 0, 8, 5, no result, 0, 0, 0, no result
rkrGst3GramDiceMinMatchLength2, 0, 33, 5, 332, 2280, 229, 4, 3, 8, 254
winnowingNormalizedShingle3DiceVariant, 0, 2, 0, 9, 7, no result, 0, 0, 0, no result
winnowingNormalizedShingle2Overlap, 0, 2, 0, 8, 7, no result, 0, 0, 0, 3
longestCommonSubsequence2GramFingerprint, 0, 4, 0, 35, 113, 10, 0, 0, 1, 19
cosineNormalizedTokensTermFrequency, 0, 1, 0, 5, 3, 2, 0, 0, 0, 2
diceVariantNormalizedPadding3grams, 0, 3, 0, 10, 7, 3, 0, 0, 0, 4
cosineNormalizedShingle2NormalizedTermFrequency, 0, 3, 0, 10, 7, no result, 0, 0, 1, 4
winnowingNormalizedTokenDice, 0, 1, 0, 5, 3, 1, 0, 0, 0, 2
jaccard4Grams, 0, 3, 0, 11, 8, 4, 0, 0, 0, 6
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 23, 2, 158, 346, 36, 2, 1, 4, 145
winnowing4GramOverlap, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
longestCommonSubsequence5GramFingerprintNormalized, 0, 5, 0, 38, 104, 8, 0, 0, 2, 31
rkrGst5GramDiceMinMatchLength1, 0, 39, 6, 416, 3101, 130, 4, 3, 10, 291
optimalAlignment4GramFingerprintNormalized, 0, 12, 1, 103, 267, 18, 1, 0, 5, 78
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 4, 0, 24, 22, no result, 0, 0, 1, 10
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 25, 2, 164, 364, 40, 2, 1, 6, 137
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 5, 0, 29, 26, no result, 0, 0, 1, no result
diceShingles2, 0, 1, 0, 7, 4, no result, 0, 0, 0, 2
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
diceVariantNormalized3Grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
diceVariantShingles3, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
manhattanNormalized5Grams, 0, 5, 0, 16, 11, 5, 0, 0, 1, 7
diceNormalized3Grams, 0, 3, 0, 11, 7, 3, 0, 0, 0, 5
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 4, 0, 25, 25, no result, 0, 0, 1, 11
rkrGst5GramDiceVariantMinMatchLength3, 0, 41, 6, 423, 3124, 155, 5, 4, 9, 356
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 24, 3, 164, 392, 45, 2, 1, 4, 188
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 30, 2, 143, 398, 37, 2, 1, 5, 158
rkrGstNormalized3GramDiceMinMatchLength1, 0, 28, 3, 153, 369, 37, 2, 1, 4, 171
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 30, 3, 179, 360, 41, 2, 1, 4, 124
