similarity (false positives) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
longestCommonSubsequenceShingle2FingerprintNormalized,0,0,0,0,0, no result,0,0,0,0
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,0,0, no result,0,0,0, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,0,0,0,0, no result,0,0,0, no result
longestCommonSubsequenceStandard,0,0,0,0,0,0,0,0,0,0
manhattanNormalized2Grams,0,0,0,0,0,0,0,0,0,0
manhattanNormalized3Grams,0,0,0,0,0,0,0,0,0,0
manhattanNormalized4Grams,0,0,0,0,0,0,0,0,0,0
manhattanNormalized5Grams,0,0,0,0,0,0,0,0,0,0
manhattanNormalizedShingles2,0,0,0,0,0, no result,0,0,0,0
manhattanNormalizedShingles3,0,0,0,0,0, no result,0,0,0, no result
manhattanNormalizedTokens,0,0,0,0,0,0,0,0,0,0
optimalAlignment2GramFingerprint,0,0,0,0,0,0,0,0,0,0
optimalAlignment2GramFingerprintNormalized,0,0,0,0,0,0,0,0,0,0
optimalAlignment3GramFingerprint,0,0,0,0,0,0,0,0,0,0
optimalAlignment3GramFingerprintNormalized,0,0,0,0,0,0,0,0,0,0
optimalAlignment4GramFingerprint,0,0,0,0,0,0,0,0,0,0
optimalAlignment4GramFingerprintNormalized,0,0,0,0,0,0,0,0,0,0
optimalAlignment5GramFingerprint,0,0,0,0,0,0,0,0,0,0
optimalAlignment5GramFingerprintNormalized,0,0,0,0,0,0,0,0,0,0
optimalAlignmentNormalized,0,0,0,0,0,0,0,0,0,0
optimalAlignmentShingle2Fingerprint,0,0,0,0,0, no result,0,0,0,0
optimalAlignmentShingle2FingerprintNormalized,0,0,0,0,0, no result,0,0,0,0
optimalAlignmentShingle3Fingerprint,0, no result,0,0,0, no result,0,0,0, no result
optimalAlignmentShingle3FingerprintNormalized,0,0,0,0,0, no result,0,0,0, no result
optimalAlignmentStandard,0,0,0,0,0,0,0,0,0,0
overlap2Grams,0,0,0,0,0,0,0,0,0,0
overlap3Grams,0,0,0,0,0,0,0,0,0,0
overlap4Grams,0,0,0,0,0,0,0,0,0,0
overlap5Grams,0,0,0,0,0,0,0,0,0,0
overlapNormalized2Grams,0,0,0,0,0,0,0,0,0,0
overlapNormalized3Grams,0,0,0,0,0,0,0,0,0,0
overlapNormalized4Grams,0,0,0,0,0,0,0,0,0,0
overlapNormalized5Grams,0,0,0,0,0,0,0,0,0,0
overlapNormalizedPadding2grams,0,0,0,0,0,0,0,0,0,0
overlapNormalizedPadding3grams,0,0,0,0,0,0,0,0,0,0
overlapNormalizedPadding4grams,0,0,0,0,0,0,0,0,0,0
overlapNormalizedPadding5grams,0,0,0,0,0,0,0,0,0,0
