max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle2DiceMinMatchLength2, 0, 2, 0, 25, 19, no result, 1, 0, 1, 13
winnowingNormalized5GramDice, 0, 3, 0, 10, 9, 3, 0, 0, 0, 5
rkrGstShingle2OverlapMinMatchLength3, 0, 2, 0, 26, 18, no result, 0, 0, 0, 9
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 3, 0, 17, 13, 6, 0, 0, 0, 7
diceVariantNormalized4Grams, 0, 3, 0, 10, 10, 3, 0, 0, 0, 5
rkrGst4GramOverlapMinMatchLength2, 0, 34, 5, 408, 3231, 181, 5, 4, 10, 313
rkrGstShingle3DiceMinMatchLength2, 0, no result, 0, 31, 26, no result, 0, 0, 1, no result
winnowingTokenDiceVariant, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
winnowingShingle2Dice, 0, 2, 0, 8, 4, no result, 0, 0, 0, 2
winnowing4GramDiceVariant, 0, 3, 0, 12, 10, 4, 0, 0, 1, 5
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 5, 0, 32, 31, no result, 0, 0, 1, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 6, 0, 36, 33, no result, 1, 0, 2, no result
jaccardNormalizedShingles3, 0, 3, 0, 10, 11, no result, 0, 0, 0, no result
rkrGstShingle2DiceVariantMinMatchLength2, 0, 5, 0, 32, 22, no result, 0, 0, 0, 9
winnowingTokenJaccard, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
rkrGst3GramOverlapMinMatchLength1, 0, 37, 6, 366, 2219, 238, 3, 3, 8, 289
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 23, 2, 159, 331, 38, 2, 1, 4, 158
rkrGst4GramJaccardMinMatchLength1, 0, 38, 5, 359, 3019, 173, 4, 3, 12, 314
