max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
optimalAlignment4GramFingerprint, 0, 351, 23, 2, 31, 0, 52, 0, 24, 1
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 97, 2, 1, 10, 1, 9, 0, 6, 0
rkrGstTokenJaccardMinMatchLength3, 0, 80, 2, 1, 12, 0, 9, 0, 6, 0
rkrGstTokenDiceMinMatchLength3, 0, 57, 2, 1, 11, 0, 11, 0, 5, 0
winnowingNormalized2GramDice, 0, 76, 3, 2, 4, 0, 4, 0, 3, 0
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0, 512, 22, 7, 57, 1, 62, 0, 44, 5
rkrGst2GramDiceMinMatchLength2, 0, 692, 23, 6, 94, 2, 72, 0, 50, 3
winnowing5GramDiceVariant, 0, 15, 1, 0, 3, 0, 3, 0, 2, 0
winnowingShingle2Dice, 0, 29, 1, 1, 2, no result, 2, 0, 1, 0
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 85, 3, 1, 13, no result, 15, 0, 9, 1
rkrGstTokenOverlapMinMatchLength1, 0, 54, 1, 0, 8, 0, 8, 0, 5, 0
rkrGstTokenDiceMinMatchLength2, 0, 45, 1, 0, 8, 0, 6, 0, 4, 0
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 3, 1, 13, no result, 13, 0, 8, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 77, 4, 1, 13, no result, 15, 0, 9, 0
rkrGst3GramJaccardMinMatchLength3, 0, 656, 22, 5, 70, 2, 75, 0, 54, 4
jaccardNormalizedTokens, 0, 76, 2, 1, 4, 0, 5, 0, 3, 0
rkrGst2GramDiceMinMatchLength1, 0, 658, 20, 5, 73, 2, 79, 0, 55, 4
winnowingNormalizedShingle3Overlap, 0, 24, 1, 1, 4, no result, 4, 0, 3, no result
rkrGst3GramJaccardMinMatchLength2, 0, 677, 21, 4, 72, 2, 74, 0, 54, 4
rkrGst2GramJaccardMinMatchLength3, 0, 662, 19, 4, 67, 2, 67, 0, 49, 4
rkrGstShingle2JaccardMinMatchLength1, 0, 74, 2, 1, 12, no result, 13, 0, 7, 0
winnowing2GramOverlap, 0, 16, 1, 1, 2, 0, 3, 0, 2, 0
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 2, 1, 17, no result, 14, 0, 18, no result
winnowing3GramDice, 0, 53, 1, 0, 3, 0, 3, 0, 2, 0
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 599, 17, 4, 91, 1, 65, 0, 59, 4
diceNormalizedTokens, 0, 9, 0, 0, 1, 1, 1, 0, 1, 0
