total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,24,2,1,4,0,4,0,3,0
cosineNormalized2GramsNormalizedTermFrequency,0,23,2,1,4,0,4,0,3,0
cosineNormalized2GramsTermFrequency,0,23,2,1,4,0,5,0,5,1
cosineNormalized3GramsBool,0,30,2,1,5,0,6,0,4,1
cosineNormalized3GramsNormalizedTermFrequency,0,31,2,1,5,0,6,0,4,1
cosineNormalized3GramsTermFrequency,0,30,2,1,5,0,8,0,4,1
cosineNormalized4GramsBool,0,34,2,1,5,0,7,0,5,1
cosineNormalized4GramsNormalizedTermFrequency,0,36,2,1,5,0,7,0,5,1
cosineNormalized4GramsTermFrequency,0,40,3,1,6,0,7,0,5,1
cosineNormalized5GramsBool,0,36,2,1,6,0,7,0,5,1
cosineNormalized5GramsNormalizedTermFrequency,0,35,2,1,6,0,8,0,5,1
cosineNormalized5GramsTermFrequency,0,37,3,1,7,0,8,0,5,1
cosineNormalizedShingle2Bool,0,24,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2NormalizedTermFrequency,0,24,1,1,4, no result,6,0,4,0
cosineNormalizedShingle2TermFrequency,0,25,1,1,4, no result,5,0,3,0
cosineNormalizedShingle3Bool,0,27,2,1,7, no result,6,0,4, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,29,2,1,6, no result,8,0,4, no result
cosineNormalizedShingle3TermFrequency,0,39,2,1,5, no result,6,0,4, no result
cosineNormalizedTokensBool,0,10,0,0,2,0,2,0,1,0
cosineNormalizedTokensNormalizedTermFrequency,0,11,0,0,2,0,2,0,1,0
cosineNormalizedTokensTermFrequency,0,10,0,0,2,0,2,0,1,0
damerauLevenshteinNormalized,0,631,49,2,74,1,155,0,73,3
damerauLevenshteinStandard,0,557,32,2,69,1,131,0,66,3
dice2Grams,0,13,1,0,2,0,3,0,1,0
dice3Grams,0,15,1,0,2,0,3,0,2,0
dice4Grams,0,16,1,0,2,0,3,0,2,0
dice5Grams,0,17,1,0,2,0,3,0,2,0
diceNormalized2Grams,0,17,1,0,3,0,3,0,2,0
diceNormalized3Grams,0,18,1,1,3,0,4,0,2,0
diceNormalized4Grams,0,20,1,0,3,0,4,0,3,0
diceNormalized5Grams,0,20,1,0,3,0,4,0,2,0
diceNormalizedPadding2grams,0,17,1,1,3,0,3,0,4,0
diceNormalizedPadding3grams,0,19,1,1,3,0,4,0,2,0
diceNormalizedPadding4grams,0,21,2,1,3,0,4,0,3,0
diceNormalizedPadding5grams,0,21,1,1,3,0,4,0,3,0
diceNormalizedShingles2,0,21,1,1,4, no result,5,0,3,0
diceNormalizedShingles3,0,27,2,1,5, no result,5,0,3, no result
diceNormalizedTokens,0,7,0,0,1,0,2,0,1,0
diceShingles2,0,12,0,0,2, no result,2,0,2,0
diceShingles3,0, no result,1,0,3, no result,2,0,2, no result
diceTokens,0,4,0,0,0,0,0,0,0,0
diceVariant2Grams,0,12,1,0,2,0,3,0,2,0
diceVariant3Grams,0,16,1,0,2,0,3,0,2,0
diceVariant4Grams,0,16,1,0,3,0,3,0,2,0
diceVariant5Grams,0,18,1,0,2,0,4,0,2,0
diceVariantNormalized2Grams,0,16,1,1,3,0,3,0,2,0
diceVariantNormalized3Grams,0,19,1,0,3,0,4,0,2,0
diceVariantNormalized4Grams,0,23,1,1,3,0,4,0,3,0
diceVariantNormalized5Grams,0,21,1,0,3,0,4,0,2,0
diceVariantNormalizedPadding2grams,0,17,1,0,3,0,3,0,2,0
diceVariantNormalizedPadding3grams,0,19,1,1,3,0,4,0,3,0
diceVariantNormalizedPadding4grams,0,22,1,1,3,0,4,0,2,0
diceVariantNormalizedPadding5grams,0,26,2,1,4,0,5,0,3,0
diceVariantNormalizedShingles2,0,20,1,1,4, no result,4,0,3,0
diceVariantNormalizedShingles3,0,23,1,1,4, no result,4,0,3, no result
diceVariantNormalizedTokens,0,8,0,0,1,0,1,0,1,0
diceVariantShingles2,0,11,0,0,2, no result,2,0,1,0
diceVariantShingles3,0, no result,0,0,2, no result,2,0,2, no result
diceVariantTokens,0,4,0,0,0,0,0,0,0,0
jaccard2Grams,0,17,1,1,3,0,4,0,2,0
jaccard3Grams,0,18,1,0,3,0,4,0,2,0
jaccard4Grams,0,20,1,0,3,0,5,0,3,0
jaccard5Grams,0,22,1,1,3,0,4,0,3,0
jaccardNormalized2Grams,0,19,1,1,3,0,4,0,3,0
jaccardNormalized3Grams,0,22,2,1,3,0,5,0,3,0
jaccardNormalized4Grams,0,24,2,1,4,0,4,0,3,0
jaccardNormalized5Grams,0,26,2,1,4,0,5,0,3,0
jaccardNormalizedPadding2grams,0,18,2,1,3,0,4,0,4,1
jaccardNormalizedPadding3grams,0,25,2,1,4,0,5,0,3,1
jaccardNormalizedPadding4grams,0,24,1,1,4,0,5,0,3,0
jaccardNormalizedPadding5grams,0,26,2,1,4,0,5,0,3,0
jaccardNormalizedShingles2,0,21,1,1,4, no result,4,0,3,0
jaccardNormalizedShingles3,0,24,1,1,4, no result,5,0,3, no result
jaccardNormalizedTokens,0,23,1,1,4,0,5,0,3,0
jaccardShingles2,0,12,0,0,2, no result,2,0,2,0
jaccardShingles3,0, no result,0,1,5, no result,2,0,2, no result
jaccardTokens,0,4,0,0,0,0,0,0,0,0
levenshteinNormalized,0,103,6,0,13,0,23,0,11,0
levenshteinStandard,0,95,5,0,11,0,22,0,10,0
longestCommonSubsequence2GramFingerprint,0,42,3,0,6,0,9,0,5,0
longestCommonSubsequence2GramFingerprintNormalized,0,77,5,0,9,0,18,0,9,0
longestCommonSubsequence3GramFingerprint,0,26,1,0,4,0,6,0,3,0
longestCommonSubsequence3GramFingerprintNormalized,0,76,5,0,9,0,19,0,9,0
longestCommonSubsequence4GramFingerprint,0,20,2,0,3,0,4,0,2,0
longestCommonSubsequence4GramFingerprintNormalized,0,76,5,0,9,0,18,0,8,0
longestCommonSubsequence5GramFingerprint,0,16,1,0,2,0,3,0,2,0
longestCommonSubsequence5GramFingerprintNormalized,0,77,5,0,9,0,18,0,9,0
longestCommonSubsequenceNormalized,0,182,11,1,24,0,43,0,21,1
longestCommonSubsequenceShingle2Fingerprint,0,12,0,0,2, no result,2,0,1,0
longestCommonSubsequenceShingle2FingerprintNormalized,0,21,1,1,5, no result,4,0,3,0
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,0,2, no result,2,0,4, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,23,1,1,4, no result,5,0,3, no result
longestCommonSubsequenceStandard,0,205,10,0,27,0,42,0,20,1
manhattanNormalized2Grams,0,24,2,1,4,0,4,0,3,1
manhattanNormalized3Grams,0,31,2,1,5,0,6,0,5,1
manhattanNormalized4Grams,0,32,2,1,5,0,6,0,5,1
manhattanNormalized5Grams,0,34,2,1,6,0,7,0,4,1
manhattanNormalizedShingles2,0,24,1,1,4, no result,7,0,4,0
manhattanNormalizedShingles3,0,26,1,1,5, no result,5,0,4, no result
manhattanNormalizedTokens,0,10,0,0,1,0,2,0,1,0
optimalAlignment2GramFingerprint,0,252,16,1,31,0,57,0,28,1
optimalAlignment2GramFingerprintNormalized,0,185,12,1,22,0,44,0,21,1
optimalAlignment3GramFingerprint,0,294,15,1,31,0,56,0,28,1
optimalAlignment3GramFingerprintNormalized,0,182,15,1,24,0,44,0,24,2
optimalAlignment4GramFingerprint,0,245,14,1,33,0,56,0,28,1
optimalAlignment4GramFingerprintNormalized,0,181,14,1,23,0,46,0,22,1
optimalAlignment5GramFingerprint,0,262,15,1,31,0,66,0,29,1
optimalAlignment5GramFingerprintNormalized,0,181,12,1,21,0,44,0,23,1
optimalAlignmentNormalized,0,420,25,2,59,1,121,0,50,2
optimalAlignmentShingle2Fingerprint,0,16,0,0,3, no result,3,0,2,0
optimalAlignmentShingle2FingerprintNormalized,0,26,1,1,4, no result,5,0,3,0
optimalAlignmentShingle3Fingerprint,0, no result,0,0,3, no result,3,0,2, no result
optimalAlignmentShingle3FingerprintNormalized,0,30,2,1,5, no result,6,0,4, no result
optimalAlignmentStandard,0,436,25,1,53,0,106,0,48,2
overlap2Grams,0,14,1,0,2,0,2,0,2,0
overlap3Grams,0,16,1,0,2,0,3,0,2,0
overlap4Grams,0,17,1,0,2,0,3,0,2,0
overlap5Grams,0,17,1,0,3,0,4,0,2,0
overlapNormalized2Grams,0,20,1,0,3,0,3,0,2,0
overlapNormalized3Grams,0,23,3,1,3,0,4,0,2,0
overlapNormalized4Grams,0,21,1,1,3,0,4,0,3,0
overlapNormalized5Grams,0,20,1,0,3,0,4,0,3,0
overlapNormalizedPadding2grams,0,24,1,1,3,0,4,0,2,0
overlapNormalizedPadding3grams,0,19,1,1,3,0,4,0,3,0
overlapNormalizedPadding4grams,0,21,1,1,3,0,6,0,3,0
overlapNormalizedPadding5grams,0,21,1,1,3,0,4,0,3,0
overlapNormalizedShingles2,0,23,1,1,4, no result,4,0,3,0
overlapNormalizedShingles3,0,22,1,1,4, no result,4,0,3, no result
overlapNormalizedTokens,0,20,1,0,3,0,4,0,2,0
overlapShingles2,0,12,0,0,2, no result,2,0,1,0
overlapShingles3,0, no result,0,0,2, no result,2,0,2, no result
overlapTokens,0,3,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength1,0,668,19,5,72,2,74,0,51,4
rkrGst2GramDiceMinMatchLength2,0,688,19,4,70,2,68,0,49,3
rkrGst2GramDiceMinMatchLength3,0,582,19,4,66,1,69,0,49,3
rkrGst2GramDiceVariantMinMatchLength1,0,721,25,6,90,2,75,0,53,6
rkrGst2GramDiceVariantMinMatchLength2,0,637,22,5,72,2,67,0,51,4
rkrGst2GramDiceVariantMinMatchLength3,0,601,20,4,67,1,66,0,51,4
rkrGst2GramJaccardMinMatchLength1,0,691,25,6,75,2,74,0,54,4
rkrGst2GramJaccardMinMatchLength2,0,656,19,5,71,2,73,0,53,4
rkrGst2GramJaccardMinMatchLength3,0,598,19,5,68,2,67,0,51,4
rkrGst2GramOverlapMinMatchLength1,0,678,22,5,72,2,80,0,57,4
rkrGst2GramOverlapMinMatchLength2,0,614,19,4,67,2,66,0,51,4
rkrGst2GramOverlapMinMatchLength3,0,599,20,4,68,2,66,0,53,3
rkrGst3GramDiceMinMatchLength1,0,732,25,7,79,2,85,0,55,4
rkrGst3GramDiceMinMatchLength2,0,653,20,4,71,2,79,0,54,4
rkrGst3GramDiceMinMatchLength3,0,675,19,4,72,1,74,0,53,4
rkrGst3GramDiceVariantMinMatchLength1,0,752,24,6,80,2,80,0,53,4
rkrGst3GramDiceVariantMinMatchLength2,0,678,20,4,71,1,89,0,58,5
rkrGst3GramDiceVariantMinMatchLength3,0,669,19,4,71,2,91,0,60,4
rkrGst3GramJaccardMinMatchLength1,0,756,24,6,88,2,95,0,56,5
rkrGst3GramJaccardMinMatchLength2,0,670,20,4,70,2,76,0,55,4
rkrGst3GramJaccardMinMatchLength3,0,659,22,5,71,2,82,0,55,4
rkrGst3GramOverlapMinMatchLength1,0,764,24,5,90,2,85,0,64,5
rkrGst3GramOverlapMinMatchLength2,0,682,19,4,70,1,76,0,53,4
rkrGst3GramOverlapMinMatchLength3,0,642,19,4,70,1,72,0,51,4
rkrGst4GramDiceMinMatchLength1,0,765,22,5,78,2,86,0,57,4
rkrGst4GramDiceMinMatchLength2,0,764,21,4,73,2,76,0,55,4
