average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
longestCommonSubsequence4GramFingerprint, 0.0, 20.0, 2.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
winnowing4GramDice, 0.0, 15.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0.0, 558.0, 19.0, 3.0, 135.0, 2.0, 64.0, 0.0, 48.0, 4.0
rkrGstTokenOverlapMinMatchLength2, 0.0, 43.0, 1.0, 0.0, 7.0, 0.0, 7.0, 0.0, 4.0, 0.0
rkrGst2GramOverlapMinMatchLength3, 0.0, 599.0, 20.0, 4.0, 68.0, 2.0, 66.0, 0.0, 53.0, 3.0
rkrGstNormalized5GramOverlapMinMatchLength3, 0.0, 616.0, 18.0, 4.0, 64.0, 1.0, 66.0, 0.0, 46.0, 4.0
rkrGstShingle3OverlapMinMatchLength1, 0.0, no result, 2.0, 1.0, 16.0, no result, 14.0, 0.0, 9.0, no result
diceShingles3, 0.0, no result, 1.0, 0.0, 3.0, no result, 2.0, 0.0, 2.0, no result
rkrGst3GramDiceMinMatchLength2, 0.0, 653.0, 20.0, 4.0, 71.0, 2.0, 79.0, 0.0, 54.0, 4.0
winnowingNormalizedShingle3DiceVariant, 0.0, 22.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, no result
winnowingNormalizedShingle2Overlap, 0.0, 20.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, 0.0
longestCommonSubsequence2GramFingerprint, 0.0, 42.0, 3.0, 0.0, 6.0, 0.0, 9.0, 0.0, 5.0, 0.0
cosineNormalizedTokensTermFrequency, 0.0, 10.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0
diceVariantNormalizedPadding3grams, 0.0, 19.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 3.0, 0.0
cosineNormalizedShingle2NormalizedTermFrequency, 0.0, 24.0, 1.0, 1.0, 4.0, no result, 6.0, 0.0, 4.0, 0.0
winnowingNormalizedTokenDice, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
jaccard4Grams, 0.0, 20.0, 1.0, 0.0, 3.0, 0.0, 5.0, 0.0, 3.0, 0.0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0.0, 603.0, 19.0, 5.0, 71.0, 3.0, 64.0, 0.0, 41.0, 4.0
winnowing4GramOverlap, 0.0, 16.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
longestCommonSubsequence5GramFingerprintNormalized, 0.0, 77.0, 5.0, 0.0, 9.0, 0.0, 18.0, 0.0, 9.0, 0.0
rkrGst5GramDiceMinMatchLength1, 0.0, 803.0, 21.0, 5.0, 82.0, 2.0, 83.0, 0.0, 63.0, 5.0
optimalAlignment4GramFingerprintNormalized, 0.0, 181.0, 14.0, 1.0, 23.0, 0.0, 46.0, 0.0, 22.0, 1.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0.0, 71.0, 3.0, 1.0, 12.0, no result, 14.0, 0.0, 8.0, 1.0
rkrGstNormalized4GramOverlapMinMatchLength1, 0.0, 604.0, 19.0, 5.0, 59.0, 1.0, 72.0, 0.0, 49.0, 4.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0.0, 95.0, 4.0, 1.0, 14.0, no result, 16.0, 0.0, 9.0, no result
diceShingles2, 0.0, 12.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 2.0, 0.0
rkrGstNormalizedTokenOverlapMinMatchLength3, 0.0, 49.0, 1.0, 0.0, 8.0, 0.0, 6.0, 0.0, 5.0, 0.0
diceVariantNormalized3Grams, 0.0, 19.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
diceVariantShingles3, 0.0, no result, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 2.0, no result
manhattanNormalized5Grams, 0.0, 34.0, 2.0, 1.0, 6.0, 0.0, 7.0, 0.0, 4.0, 1.0
diceNormalized3Grams, 0.0, 18.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
