average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle2DiceMinMatchLength2, 0.0, 2.0, 0.0, 25.0, 19.0, no result, 1.0, 0.0, 1.0, 13.0
winnowingNormalized5GramDice, 0.0, 3.0, 0.0, 10.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstShingle2OverlapMinMatchLength3, 0.0, 2.0, 0.0, 26.0, 18.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0.0, 3.0, 0.0, 17.0, 13.0, 6.0, 0.0, 0.0, 0.0, 7.0
diceVariantNormalized4Grams, 0.0, 3.0, 0.0, 10.0, 10.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGst4GramOverlapMinMatchLength2, 0.0, 34.0, 5.0, 408.0, 3231.0, 181.0, 5.0, 4.0, 10.0, 313.0
rkrGstShingle3DiceMinMatchLength2, 0.0, no result, 0.0, 31.0, 26.0, no result, 0.0, 0.0, 1.0, no result
winnowingTokenDiceVariant, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
winnowingShingle2Dice, 0.0, 2.0, 0.0, 8.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
winnowing4GramDiceVariant, 0.0, 3.0, 0.0, 12.0, 10.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0.0, 5.0, 0.0, 32.0, 31.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0.0, 6.0, 0.0, 36.0, 33.0, no result, 1.0, 0.0, 2.0, no result
jaccardNormalizedShingles3, 0.0, 3.0, 0.0, 10.0, 11.0, no result, 0.0, 0.0, 0.0, no result
rkrGstShingle2DiceVariantMinMatchLength2, 0.0, 5.0, 0.0, 32.0, 22.0, no result, 0.0, 0.0, 0.0, 9.0
winnowingTokenJaccard, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
rkrGst3GramOverlapMinMatchLength1, 0.0, 37.0, 6.0, 366.0, 2219.0, 238.0, 3.0, 3.0, 8.0, 289.0
rkrGstNormalized3GramJaccardMinMatchLength1, 0.0, 23.0, 2.0, 159.0, 331.0, 38.0, 2.0, 1.0, 4.0, 158.0
rkrGst4GramJaccardMinMatchLength1, 0.0, 38.0, 5.0, 359.0, 3019.0, 173.0, 4.0, 3.0, 12.0, 314.0
rkrGstShingle2JaccardMinMatchLength1, 0.0, 3.0, 0.0, 27.0, 24.0, no result, 0.0, 0.0, 0.0, 10.0
jaccardNormalizedPadding5grams, 0.0, 4.0, 0.0, 12.0, 9.0, 4.0, 0.0, 0.0, 1.0, 7.0
