similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariantNormalized5Grams, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 23, 0, 16, 6, 0, 0, 0, 0, 8
winnowingNormalized2GramDice, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
longestCommonSubsequenceStandard, 0, 5, 3, 1, 1, 6, 3, 0, 2, 2
rkrGst5GramDiceMinMatchLength1, 0, 5, 3, 10, 1, 4, 3, 0, 1, 1
winnowingNormalizedShingle2DiceVariant, 0, 1, 3, 1, 0, no result, 2, 0, 0, 0
manhattanNormalized5Grams, 0, 3, 3, 2, 1, 7, 3, 0, 1, 2
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 3, 4, 2, no result, 3, 0, 5, no result
winnowingNormalized3GramOverlap, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
optimalAlignment5GramFingerprint, 0, 7, 3, 2, 1, 7, 3, 0, 2, 2
optimalAlignmentNormalized, 0, 5, 3, 3, 1, 6, 3, 0, 2, 2
rkrGst4GramDiceMinMatchLength2, 0, 5, 3, 10, 7, 10, 3, 0, 1, 1
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 15, 0, 16, 6, 2, 0, 0, 0, 8
winnowingNormalizedTokenDiceVariant, 0, 3, 0, 2, 0, 1, 2, 0, 0, 0
diceNormalized5Grams, 0, 3, 3, 1, 1, 7, 3, 0, 1, 0
rkrGst3GramDiceVariantMinMatchLength3, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
rkrGst4GramJaccardMinMatchLength1, 0, 2, 1, 15, 6, 11, 1, 0, 0, 4
manhattanNormalizedShingles2, 0, 5, 3, 2, 1, no result, 3, 0, 1, 2
optimalAlignment2GramFingerprintNormalized, 0, 5, 3, 3, 1, 7, 3, 0, 2, 2
winnowingNormalizedTokenJaccard, 0, 9, 5, 4, 2, 8, 6, 1, 5, 2
diceVariantNormalizedShingles3, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
rkrGst2GramDiceVariantMinMatchLength2, 0, 23, 0, 16, 6, 10, 0, 0, 0, 8
winnowingNormalized3GramDice, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
cosineNormalizedShingle2Bool, 0, 5, 3, 2, 1, no result, 3, 0, 1, 2
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 3, 3, 2, no result, 3, 0, 5, no result
winnowingNormalizedShingle3Jaccard, 0, 9, 3, 3, 1, no result, 6, 1, 7, no result
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 16, 0, 9, 6, 2, 0, 0, 0, 8
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 2, 0, 16, 6, 0, 0, 0, 0, 8
cosineNormalized5GramsTermFrequency, 0, 3, 3, 1, 0, 6, 3, 0, 1, 0
rkrGstTokenDiceMinMatchLength2, 0, 5, 3, 2, 1, 7, 3, 0, 2, 1
rkrGst5GramJaccardMinMatchLength2, 0, 3, 2, 15, 0, 4, 2, 0, 0, 1
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 1, 7, 0, no result, 1, 0, 0, no result
rkrGstNormalizedShingle3DiceMinMatchLength3, 0, 5, 3, 2, 1, no result, 3, 1, 2, no result
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 3, 1, 6, 6, 5, 2, 0, 1, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 10, 0, 7, 0, no result, 0, 0, 0, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 16, 0, 9, 6, 2, 0, 0, 0, 8
winnowingNormalizedShingle3Dice, 0, 8, 3, 3, 1, no result, 6, 1, 5, no result
