average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariantNormalized5Grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 1.0, 6.0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0.0, 22.0, 2.0, 127.0, 433.0, 33.0, 2.0, 1.0, 4.0, 165.0
winnowingNormalized2GramDice, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
longestCommonSubsequenceStandard, 0.0, 9.0, 1.0, 175.0, 479.0, 44.0, 1.0, 0.0, 7.0, 98.0
rkrGst5GramDiceMinMatchLength1, 0.0, 38.0, 6.0, 409.0, 3206.0, 133.0, 4.0, 3.0, 9.0, 287.0
winnowingNormalizedShingle2DiceVariant, 0.0, 2.0, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, 4.0
manhattanNormalized5Grams, 0.0, 5.0, 0.0, 16.0, 11.0, 5.0, 0.0, 0.0, 1.0, 6.0
rkrGstShingle3OverlapMinMatchLength3, 0.0, no result, 0.0, 28.0, 21.0, no result, 0.0, 0.0, 0.0, no result
winnowingNormalized3GramOverlap, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
optimalAlignment5GramFingerprint, 0.0, 13.0, 2.0, 240.0, 644.0, 65.0, 2.0, 1.0, 11.0, 135.0
optimalAlignmentNormalized, 0.0, 17.0, 3.0, 220.0, 604.0, 44.0, 3.0, 1.0, 12.0, 166.0
rkrGst4GramDiceMinMatchLength2, 0.0, 34.0, 5.0, 349.0, 2881.0, 167.0, 4.0, 3.0, 10.0, 275.0
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0.0, 24.0, 2.0, 142.0, 337.0, 40.0, 2.0, 1.0, 4.0, 152.0
winnowingNormalizedTokenDiceVariant, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
diceNormalized5Grams, 0.0, 4.0, 0.0, 11.0, 9.0, 4.0, 0.0, 0.0, 0.0, 5.0
rkrGst3GramDiceVariantMinMatchLength3, 0.0, 33.0, 5.0, 296.0, 2165.0, 209.0, 3.0, 3.0, 8.0, 260.0
rkrGst4GramJaccardMinMatchLength1, 0.0, 38.0, 5.0, 366.0, 2983.0, 182.0, 4.0, 3.0, 9.0, 286.0
manhattanNormalizedShingles2, 0.0, 3.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
optimalAlignment2GramFingerprintNormalized, 0.0, 9.0, 1.0, 92.0, 269.0, 18.0, 1.0, 0.0, 5.0, 79.0
winnowingNormalizedTokenJaccard, 0.0, 1.0, 0.0, 4.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
diceVariantNormalizedShingles3, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGst2GramDiceVariantMinMatchLength2, 0.0, 35.0, 4.0, 286.0, 1150.0, 341.0, 3.0, 2.0, 7.0, 237.0
winnowingNormalized3GramDice, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
cosineNormalizedShingle2Bool, 0.0, 3.0, 0.0, 15.0, 9.0, no result, 0.0, 0.0, 0.0, 5.0
rkrGstShingle3OverlapMinMatchLength2, 0.0, no result, 0.0, 28.0, 23.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalizedShingle3Jaccard, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0.0, 26.0, 2.0, 163.0, 369.0, 40.0, 2.0, 1.0, 4.0, 136.0
rkrGstNormalized2GramJaccardMinMatchLength1, 0.0, 23.0, 2.0, 152.0, 317.0, 36.0, 2.0, 1.0, 4.0, 141.0
cosineNormalized5GramsTermFrequency, 0.0, 5.0, 0.0, 16.0, 11.0, 5.0, 0.0, 0.0, 1.0, 7.0
rkrGstTokenDiceMinMatchLength2, 0.0, 1.0, 0.0, 16.0, 12.0, 5.0, 0.0, 0.0, 0.0, 6.0
rkrGst5GramJaccardMinMatchLength2, 0.0, 51.0, 7.0, 398.0, 3169.0, 130.0, 4.0, 3.0, 10.0, 332.0
rkrGstShingle3DiceVariantMinMatchLength1, 0.0, no result, 0.0, 28.0, 23.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle3DiceMinMatchLength3, 0.0, 4.0, 0.0, 28.0, 26.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized4GramJaccardMinMatchLength2, 0.0, 23.0, 2.0, 148.0, 368.0, 35.0, 2.0, 1.0, 4.0, 122.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0.0, 4.0, 0.0, 23.0, 22.0, no result, 0.0, 0.0, 1.0, 10.0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0.0, 23.0, 2.0, 147.0, 345.0, 38.0, 2.0, 1.0, 4.0, 122.0
winnowingNormalizedShingle3Dice, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGst2GramOverlapMinMatchLength2, 0.0, 38.0, 4.0, 270.0, 1153.0, 337.0, 3.0, 2.0, 11.0, 274.0
winnowingNormalized2GramOverlap, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 6.0
rkrGst4GramJaccardMinMatchLength3, 0.0, 45.0, 7.0, 387.0, 3255.0, 187.0, 4.0, 3.0, 9.0, 276.0
jaccardShingles3, 0.0, no result, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, no result
rkrGstShingle2DiceMinMatchLength1, 0.0, 2.0, 0.0, 24.0, 19.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0.0, 4.0, 0.0, 24.0, 24.0, no result, 0.0, 0.0, 1.0, 11.0
winnowing5GramOverlap, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized2GramJaccardMinMatchLength2, 0.0, 21.0, 2.0, 138.0, 312.0, 33.0, 2.0, 1.0, 4.0, 138.0
rkrGstNormalized3GramOverlapMinMatchLength3, 0.0, 21.0, 2.0, 131.0, 327.0, 34.0, 2.0, 1.0, 4.0, 157.0
cosineNormalizedShingle2NormalizedTermFrequency, 0.0, 3.0, 0.0, 10.0, 8.0, no result, 0.0, 0.0, 0.0, 4.0
winnowing2GramOverlap, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
winnowingNormalized4GramDice, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
diceVariantNormalized3Grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
winnowingNormalizedTokenDice, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
jaccardNormalizedPadding3grams, 0.0, 4.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstTokenDiceMinMatchLength3, 0.0, 1.0, 0.0, 16.0, 12.0, 5.0, 0.0, 0.0, 0.0, 6.0
rkrGstNormalized2GramOverlapMinMatchLength1, 0.0, 22.0, 2.0, 147.0, 321.0, 37.0, 2.0, 1.0, 4.0, 150.0
rkrGst3GramDiceVariantMinMatchLength2, 0.0, 36.0, 5.0, 301.0, 2447.0, 246.0, 4.0, 3.0, 8.0, 257.0
rkrGst4GramOverlapMinMatchLength2, 0.0, 46.0, 6.0, 363.0, 2861.0, 161.0, 3.0, 3.0, 9.0, 304.0
jaccard4Grams, 0.0, 3.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized4GramDiceMinMatchLength2, 0.0, 22.0, 2.0, 147.0, 337.0, 36.0, 2.0, 1.0, 5.0, 136.0
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0.0, 25.0, 2.0, 157.0, 344.0, 38.0, 4.0, 1.0, 4.0, 123.0
winnowingNormalizedShingle3Overlap, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
cosineNormalized2GramsBool, 0.0, 4.0, 0.0, 13.0, 7.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGst5GramDiceVariantMinMatchLength2, 0.0, 36.0, 6.0, 389.0, 3134.0, 132.0, 4.0, 3.0, 9.0, 292.0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0.0, 4.0, 0.0, 24.0, 25.0, no result, 0.0, 0.0, 1.0, 11.0
overlap3Grams, 0.0, 2.0, 0.0, 8.0, 6.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0.0, 4.0, 0.0, 26.0, 26.0, no result, 0.0, 0.0, 1.0, no result
cosineNormalizedShingle2TermFrequency, 0.0, 3.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
winnowingNormalized4GramJaccard, 0.0, 3.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
longestCommonSubsequenceShingle2Fingerprint, 0.0, 1.0, 0.0, 6.0, 5.0, no result, 0.0, 0.0, 0.0, 2.0
longestCommonSubsequence4GramFingerprintNormalized, 0.0, 4.0, 0.0, 38.0, 104.0, 8.0, 0.0, 0.0, 2.0, 31.0
rkrGstNormalized3GramOverlapMinMatchLength2, 0.0, 21.0, 2.0, 137.0, 332.0, 34.0, 2.0, 1.0, 4.0, 149.0
