total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,23,2,1,4,0,4,0,3,0
cosineNormalized2GramsNormalizedTermFrequency,0,25,2,1,4,0,5,0,5,0
cosineNormalized2GramsTermFrequency,0,23,2,1,4,0,4,0,4,0
cosineNormalized3GramsBool,0,30,3,1,5,0,6,0,4,1
cosineNormalized3GramsNormalizedTermFrequency,0,33,2,1,7,0,7,0,5,1
cosineNormalized3GramsTermFrequency,0,34,3,1,6,0,9,0,5,1
cosineNormalized4GramsBool,0,39,2,1,6,0,7,0,5,1
cosineNormalized4GramsNormalizedTermFrequency,0,36,2,2,5,0,9,0,5,1
cosineNormalized4GramsTermFrequency,0,34,2,1,5,0,6,0,5,1
cosineNormalized5GramsBool,0,36,2,1,6,0,7,0,5,1
cosineNormalized5GramsNormalizedTermFrequency,0,35,2,1,6,0,7,0,5,1
cosineNormalized5GramsTermFrequency,0,36,2,1,6,0,7,0,5,1
cosineNormalizedShingle2Bool,0,28,1,1,7, no result,6,0,4,0
cosineNormalizedShingle2NormalizedTermFrequency,0,26,2,1,5, no result,5,0,3,0
cosineNormalizedShingle2TermFrequency,0,24,1,1,4, no result,5,0,3,0
cosineNormalizedShingle3Bool,0,30,2,1,5, no result,5,0,4, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,27,2,1,5, no result,7,0,6, no result
cosineNormalizedShingle3TermFrequency,0,26,2,1,5, no result,5,0,3, no result
cosineNormalizedTokensBool,0,11,0,0,2,0,2,0,1,0
cosineNormalizedTokensNormalizedTermFrequency,0,13,1,0,2,0,2,0,1,0
cosineNormalizedTokensTermFrequency,0,11,0,0,2,0,2,0,1,0
damerauLevenshteinNormalized,0,763,34,2,70,1,137,0,66,3
damerauLevenshteinStandard,0,638,41,2,79,1,136,0,63,4
dice2Grams,0,12,1,0,2,0,2,0,1,0
dice3Grams,0,26,2,1,5,0,3,0,2,0
dice4Grams,0,22,2,0,3,0,3,0,2,0
dice5Grams,0,16,1,0,2,0,3,0,4,0
diceNormalized2Grams,0,19,1,1,3,0,4,0,2,0
diceNormalized3Grams,0,21,2,1,3,0,4,0,2,0
diceNormalized4Grams,0,24,1,1,3,0,4,0,3,0
