average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariantNormalized5Grams, 0.0, 23.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0.0, 515.0, 16.0, 4.0, 59.0, 1.0, 64.0, 0.0, 40.0, 3.0
winnowingNormalized2GramDice, 0.0, 18.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0
longestCommonSubsequenceStandard, 0.0, 177.0, 10.0, 0.0, 23.0, 0.0, 41.0, 0.0, 20.0, 1.0
rkrGst5GramDiceMinMatchLength1, 0.0, 773.0, 21.0, 6.0, 82.0, 2.0, 83.0, 0.0, 59.0, 4.0
winnowingNormalizedShingle2DiceVariant, 0.0, 20.0, 1.0, 1.0, 3.0, no result, 4.0, 0.0, 3.0, 0.0
manhattanNormalized5Grams, 0.0, 36.0, 3.0, 1.0, 6.0, 0.0, 6.0, 0.0, 4.0, 1.0
rkrGstShingle3OverlapMinMatchLength3, 0.0, no result, 2.0, 0.0, 11.0, no result, 10.0, 0.0, 7.0, no result
winnowingNormalized3GramOverlap, 0.0, 18.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
optimalAlignment5GramFingerprint, 0.0, 235.0, 14.0, 1.0, 29.0, 0.0, 59.0, 0.0, 28.0, 1.0
optimalAlignmentNormalized, 0.0, 436.0, 25.0, 2.0, 53.0, 1.0, 96.0, 0.0, 47.0, 2.0
rkrGst4GramDiceMinMatchLength2, 0.0, 683.0, 20.0, 4.0, 70.0, 2.0, 91.0, 0.0, 60.0, 4.0
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0.0, 542.0, 18.0, 4.0, 53.0, 2.0, 64.0, 0.0, 46.0, 4.0
winnowingNormalizedTokenDiceVariant, 0.0, 8.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0
diceNormalized5Grams, 0.0, 21.0, 1.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 0.0
rkrGst3GramDiceVariantMinMatchLength3, 0.0, 641.0, 19.0, 4.0, 71.0, 1.0, 72.0, 0.0, 53.0, 4.0
