average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
optimalAlignment4GramFingerprint, 0.0, 21.0, 2.0, 278.0, 609.0, 54.0, 2.0, 1.0, 9.0, 122.0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0.0, 4.0, 0.0, 22.0, 43.0, 12.0, 0.0, 0.0, 1.0, 8.0
rkrGstTokenJaccardMinMatchLength3, 0.0, 3.0, 0.0, 31.0, 16.0, 8.0, 0.0, 0.0, 0.0, 8.0
rkrGstTokenDiceMinMatchLength3, 0.0, 3.0, 0.0, 22.0, 22.0, 10.0, 0.0, 0.0, 0.0, 8.0
winnowingNormalized2GramDice, 0.0, 8.0, 0.0, 11.0, 12.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0.0, 32.0, 2.0, 140.0, 320.0, 33.0, 2.0, 1.0, 3.0, 195.0
rkrGst2GramDiceMinMatchLength2, 0.0, 46.0, 6.0, 353.0, 1258.0, 346.0, 3.0, 2.0, 7.0, 239.0
winnowing5GramDiceVariant, 0.0, 3.0, 0.0, 13.0, 9.0, 4.0, 0.0, 0.0, 0.0, 4.0
winnowingShingle2Dice, 0.0, 3.0, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, 2.0
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0.0, 5.0, 0.0, 27.0, 24.0, no result, 0.0, 0.0, 1.0, 11.0
rkrGstTokenOverlapMinMatchLength1, 0.0, 3.0, 0.0, 18.0, 15.0, 6.0, 0.0, 0.0, 0.0, 8.0
rkrGstTokenDiceMinMatchLength2, 0.0, 2.0, 0.0, 18.0, 13.0, 6.0, 0.0, 0.0, 0.0, 6.0
rkrGstShingle3DiceVariantMinMatchLength1, 0.0, no result, 0.0, 30.0, 25.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0.0, 6.0, 0.0, 25.0, 22.0, no result, 0.0, 0.0, 1.0, 10.0
rkrGst3GramJaccardMinMatchLength3, 0.0, 34.0, 5.0, 302.0, 2303.0, 221.0, 4.0, 3.0, 8.0, 267.0
jaccardNormalizedTokens, 0.0, 5.0, 0.0, 11.0, 8.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGst2GramDiceMinMatchLength1, 0.0, 36.0, 5.0, 368.0, 1227.0, 390.0, 4.0, 3.0, 8.0, 245.0
winnowingNormalizedShingle3Overlap, 0.0, 3.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGst3GramJaccardMinMatchLength2, 0.0, 36.0, 5.0, 317.0, 2338.0, 245.0, 4.0, 3.0, 9.0, 282.0
rkrGst2GramJaccardMinMatchLength3, 0.0, 36.0, 5.0, 272.0, 1175.0, 319.0, 3.0, 2.0, 8.0, 305.0
