similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized2Grams, 0, 5, 3, 2, 1, 6, 2, 0, 3, 0
diceVariantNormalizedShingles2, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
winnowing5GramOverlap, 0, 8, 4, 5, 2, 7, 6, 1, 5, 1
diceVariantNormalized2Grams, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
jaccard4Grams, 0, 7, 3, 3, 1, 6, 4, 0, 3, 1
rkrGst5GramJaccardMinMatchLength1, 0, 3, 2, 15, 0, 4, 2, 0, 0, 1
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 5, 3, 2, 1, no result, 3, 1, 2, no result
winnowingNormalized4GramOverlap, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
winnowingShingle2DiceVariant, 0, 12, 0, 2, 1, no result, 2, 0, 1, 1
overlap4Grams, 0, 2, 0, 2, 0, 5, 1, 0, 1, 0
cosineNormalized5GramsBool, 0, 3, 3, 1, 1, 6, 3, 0, 1, 0
cosineNormalizedShingle3TermFrequency, 0, 5, 3, 2, 1, no result, 3, 1, 2, no result
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 15, 0, 9, 6, 2, 0, 0, 0, 8
rkrGst2GramDiceVariantMinMatchLength2, 0, 23, 0, 16, 6, 10, 0, 0, 0, 8
winnowing4GramDice, 0, 8, 4, 5, 2, 7, 6, 1, 7, 2
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 5, 3, 3, 1, no result, 3, 1, 5, no result
rkrGstShingle3DiceMinMatchLength1, 0, no result, 5, 3, 2, no result, 3, 0, 5, no result
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 2, 0, 2, 6, 5, 1, 0, 1, 9
winnowing5GramDiceVariant, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 5, 3, 7, 1, 5, 4, 0, 0, 0
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 7, 3, 3, 1, no result, 3, 1, 5, no result
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 5, 3, 6, 1, no result, 3, 0, 1, 1
rkrGst3GramJaccardMinMatchLength2, 0, 2, 0, 15, 6, 10, 0, 0, 0, 8
rkrGstNormalized3GramDiceMinMatchLength2, 0, 3, 3, 1, 6, 5, 2, 0, 1, 2
diceVariantShingles2, 0, 2, 0, 2, 0, no result, 1, 0, 0, 0
winnowingNormalizedTokenDiceVariant, 0, 3, 0, 2, 0, 1, 2, 0, 0, 0
winnowingNormalizedShingle3DiceVariant, 0, 1, 2, 0, 0, no result, 5, 0, 1, no result
rkrGst4GramJaccardMinMatchLength2, 0, 2, 1, 15, 6, 11, 2, 0, 0, 4
longestCommonSubsequence4GramFingerprint, 0, 8, 5, 5, 2, 7, 6, 1, 7, 2
winnowingNormalized2GramOverlap, 0, 9, 3, 3, 2, 7, 5, 1, 7, 1
rkrGstShingle2DiceMinMatchLength3, 0, 7, 4, 2, 2, no result, 3, 0, 4, 2
rkrGst4GramDiceVariantMinMatchLength3, 0, 15, 0, 16, 6, 10, 0, 0, 0, 8
cosineNormalized2GramsNormalizedTermFrequency, 0, 2, 1, 1, 0, 3, 2, 0, 1, 0
diceShingles2, 0, 7, 3, 2, 2, no result, 3, 0, 0, 2
rkrGst5GramDiceVariantMinMatchLength1, 0, 15, 0, 16, 6, 10, 0, 0, 0, 8
winnowing3GramDiceVariant, 0, 3, 0, 2, 0, 2, 0, 0, 0, 0
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 10, 0, 3, 7, 4, 1, 0, 1, 8
diceNormalizedPadding3grams, 0, 3, 3, 1, 1, 5, 3, 0, 1, 0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 23, 0, 16, 6, 0, 0, 0, 0, 8
rkrGstShingle2DiceMinMatchLength2, 0, 7, 3, 2, 2, no result, 3, 0, 4, 2
winnowingNormalizedShingle3Jaccard, 0, 9, 3, 3, 1, no result, 6, 1, 7, no result
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 16, 0, 9, 6, 2, 0, 0, 0, 8
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 16, 0, 9, 6, 2, 0, 0, 0, 8
dice4Grams, 0, 3, 2, 2, 1, 5, 3, 0, 1, 0
rkrGst5GramDiceVariantMinMatchLength3, 0, 15, 0, 16, 6, 10, 0, 0, 0, 8
winnowingNormalized5GramDice, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
manhattanNormalized2Grams, 0, 3, 3, 1, 0, 4, 3, 0, 1, 2
winnowingNormalized2GramJaccard, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 7, 3, 3, 1, no result, 3, 1, 5, no result
overlap2Grams, 0, 2, 0, 1, 0, 3, 1, 0, 1, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 9, 0, 16, 6, 0, 0, 0, 0, 8
rkrGstNormalized3GramDiceMinMatchLength3, 0, 3, 3, 1, 6, 5, 2, 0, 1, 2
overlapNormalizedPadding5grams, 0, 3, 0, 1, 1, 5, 2, 0, 1, 0
longestCommonSubsequenceShingle2Fingerprint, 0, 7, 5, 2, 2, no result, 4, 0, 3, 2
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 16, 0, 9, 6, 2, 0, 0, 0, 8
overlapShingles2, 0, 7, 2, 2, 2, no result, 3, 0, 0, 0
winnowing2GramDiceVariant, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0
winnowingNormalized5GramDiceVariant, 0, 4, 1, 0, 0, 4, 3, 0, 3, 0
jaccardTokens, 0, 5, 5, 2, 2, 7, 4, 0, 2, 2
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 3, 1, 2, 1, no result, 3, 0, 1, no result
overlap5Grams, 0, 3, 0, 2, 1, 5, 1, 0, 1, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 10, 0, 8, 6, 2, 1, 0, 0, 1
cosineNormalized5GramsNormalizedTermFrequency, 0, 3, 3, 1, 1, 6, 3, 0, 1, 0
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 3, 3, 2, 1, 4, 3, 0, 0, 1
winnowingShingle3DiceVariant, 0, no result, 2, 2, 1, no result, 4, 0, 1, no result
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 3, 0, 4, 6, 5, 1, 0, 1, 9
rkrGstShingle2DiceVariantMinMatchLength2, 0, 10, 1, 8, 0, no result, 1, 0, 0, 0
winnowingNormalizedShingle2DiceVariant, 0, 1, 3, 1, 0, no result, 2, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 2, 0, 6, 6, 3, 2, 0, 0, 7
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 10, 0, 7, 0, no result, 2, 0, 0, no result
rkrGst3GramDiceVariantMinMatchLength3, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
manhattanNormalizedShingles3, 0, 5, 3, 2, 1, no result, 3, 1, 2, no result
rkrGstNormalized5GramDiceMinMatchLength1, 0, 3, 3, 2, 1, 6, 3, 0, 1, 2
rkrGstNormalized2GramDiceMinMatchLength2, 0, 3, 3, 1, 6, 4, 2, 0, 1, 2
diceVariantNormalizedPadding5grams, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalizedTokenOverlap, 0, 8, 3, 4, 2, 7, 5, 0, 3, 2
cosineNormalizedShingle2Bool, 0, 5, 3, 2, 1, no result, 3, 0, 1, 2
optimalAlignmentShingle2Fingerprint, 0, 7, 5, 2, 2, no result, 6, 0, 3, 2
winnowingNormalizedShingle2Overlap, 0, 8, 3, 4, 1, no result, 6, 1, 2, 1
diceNormalized5Grams, 0, 3, 3, 1, 1, 7, 3, 0, 1, 0
rkrGst3GramDiceMinMatchLength2, 0, 3, 3, 10, 7, 9, 2, 0, 1, 2
rkrGstNormalizedTokenJaccardMinMatchLength1, 0, 5, 3, 7, 0, 3, 4, 0, 0, 0
rkrGst3GramJaccardMinMatchLength3, 0, 2, 0, 15, 6, 10, 0, 0, 0, 8
rkrGstShingle2DiceVariantMinMatchLength1, 0, 10, 0, 8, 0, no result, 1, 0, 0, 0
levenshteinNormalized, 0, 5, 3, 3, 1, 6, 3, 0, 2, 2
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 3, 1, 2, 1, no result, 2, 0, 0, 0
winnowingNormalizedShingle3Overlap, 0, 8, 2, 3, 1, no result, 6, 1, 5, no result
rkrGst4GramOverlapMinMatchLength1, 0, 4, 0, 10, 7, 10, 1, 0, 0, 9
overlap3Grams, 0, 2, 0, 2, 0, 5, 1, 0, 1, 0
dice5Grams, 0, 5, 2, 2, 1, 6, 3, 0, 1, 0
longestCommonSubsequence2GramFingerprintNormalized, 0, 5, 3, 2, 1, 7, 3, 0, 2, 2
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 2, 0, 4, 6, 5, 1, 0, 1, 9
winnowingNormalizedShingle3Dice, 0, 8, 3, 3, 1, no result, 6, 1, 5, no result
rkrGstNormalized5GramDiceMinMatchLength2, 0, 3, 3, 2, 1, 6, 3, 0, 1, 2
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 3, 1, 6, 6, 5, 2, 0, 1, 0
winnowingNormalized5GramOverlap, 0, 9, 3, 4, 2, 8, 5, 1, 7, 2
overlapNormalizedTokens, 0, 3, 0, 2, 0, 5, 1, 0, 1, 0
winnowing3GramOverlap, 0, 8, 3, 5, 2, 7, 6, 1, 7, 1
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 2, 0, 16, 6, 0, 0, 0, 0, 8
cosineNormalized2GramsTermFrequency, 0, 2, 3, 1, 0, 3, 2, 0, 1, 0
rkrGstShingle2OverlapMinMatchLength2, 0, 7, 2, 2, 2, no result, 3, 0, 4, 0
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 2, 0, 6, 6, 3, 2, 0, 0, 3
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 5, 3, 2, 1, no result, 3, 0, 1, 2
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 2, 0, 4, 6, 5, 1, 0, 1, 9
damerauLevenshteinStandard, 0, 5, 3, 2, 1, 7, 3, 0, 2, 2
rkrGst3GramDiceVariantMinMatchLength1, 0, 23, 0, 16, 6, 10, 0, 0, 0, 8
winnowingNormalizedShingle2Jaccard, 0, 9, 3, 4, 1, no result, 6, 1, 7, 3
rkrGst5GramDiceMinMatchLength2, 0, 5, 3, 10, 1, 4, 3, 0, 1, 1
rkrGstTokenJaccardMinMatchLength1, 0, 5, 3, 7, 1, 3, 4, 0, 0, 0
rkrGst4GramDiceMinMatchLength3, 0, 5, 3, 10, 1, 10, 3, 0, 1, 2
winnowingTokenJaccard, 0, 10, 4, 4, 2, 9, 6, 0, 5, 3
rkrGstTokenDiceMinMatchLength3, 0, 5, 3, 2, 2, 7, 3, 0, 2, 1
winnowingNormalizedTokenJaccard, 0, 9, 5, 4, 2, 8, 6, 1, 5, 2
jaccardNormalizedPadding2grams, 0, 5, 3, 2, 1, 6, 3, 0, 3, 0
cosineNormalized3GramsTermFrequency, 0, 2, 3, 1, 0, 4, 3, 0, 1, 0
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 10, 0, 7, 0, no result, 1, 0, 0, no result
rkrGstTokenDiceVariantMinMatchLength2, 0, 10, 0, 8, 5, 2, 1, 0, 0, 0
jaccardShingles3, 0, no result, 5, 5, 2, no result, 4, 2, 4, no result
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 3, 3, 2, 2, 7, 3, 0, 2, 1
overlapNormalizedPadding3grams, 0, 2, 0, 1, 0, 5, 1, 0, 1, 0
rkrGstNormalized2GramDiceMinMatchLength1, 0, 3, 3, 11, 6, 3, 2, 0, 1, 4
rkrGstNormalized4GramDiceMinMatchLength2, 0, 3, 3, 2, 6, 6, 2, 0, 1, 2
diceVariantNormalizedTokens, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0
jaccardNormalized4Grams, 0, 5, 3, 3, 1, 7, 3, 0, 6, 2
rkrGst2GramOverlapMinMatchLength1, 0, 24, 0, 11, 6, 10, 0, 0, 0, 9
diceNormalizedShingles2, 0, 5, 3, 2, 1, no result, 3, 0, 1, 2
winnowingTokenOverlap, 0, 9, 3, 4, 2, 7, 6, 0, 4, 3
rkrGstNormalized4GramDiceMinMatchLength1, 0, 3, 3, 2, 6, 6, 2, 0, 1, 2
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 5, 5, 2, no result, 4, 2, 7, no result
