average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized2Grams, 0.0, 4.0, 0.0, 10.0, 7.0, 3.0, 2.0, 0.0, 0.0, 4.0
diceVariantNormalizedShingles2, 0.0, 2.0, 0.0, 8.0, 7.0, no result, 0.0, 0.0, 0.0, 3.0
winnowing5GramOverlap, 0.0, 3.0, 0.0, 9.0, 9.0, 3.0, 0.0, 0.0, 0.0, 4.0
diceVariantNormalized2Grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
jaccard4Grams, 0.0, 3.0, 0.0, 11.0, 8.0, 4.0, 0.0, 0.0, 0.0, 4.0
rkrGst5GramJaccardMinMatchLength1, 0.0, 58.0, 6.0, 417.0, 3383.0, 152.0, 4.0, 3.0, 11.0, 378.0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0.0, 4.0, 0.0, 35.0, 37.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalized4GramOverlap, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
winnowingShingle2DiceVariant, 0.0, 1.0, 0.0, 6.0, 5.0, no result, 0.0, 0.0, 0.0, 2.0
overlap4Grams, 0.0, 2.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
cosineNormalized5GramsBool, 0.0, 5.0, 0.0, 16.0, 12.0, 5.0, 0.0, 0.0, 1.0, 8.0
cosineNormalizedShingle3TermFrequency, 0.0, 4.0, 0.0, 12.0, 8.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0.0, 24.0, 2.0, 166.0, 518.0, 40.0, 2.0, 1.0, 5.0, 142.0
rkrGst2GramDiceVariantMinMatchLength2, 0.0, 86.0, 8.0, 367.0, 1572.0, 406.0, 3.0, 3.0, 9.0, 321.0
winnowing4GramDice, 0.0, 3.0, 0.0, 11.0, 9.0, 6.0, 0.0, 0.0, 0.0, 7.0
longestCommonSubsequenceShingle3FingerprintNormalized, 0.0, 2.0, 0.0, 14.0, 10.0, no result, 0.0, 0.0, 0.0, no result
rkrGstShingle3DiceMinMatchLength1, 0.0, no result, 0.0, 56.0, 27.0, no result, 0.0, 0.0, 2.0, no result
rkrGstNormalized3GramOverlapMinMatchLength2, 0.0, 22.0, 2.0, 138.0, 357.0, 34.0, 2.0, 1.0, 7.0, 156.0
winnowing5GramDiceVariant, 0.0, 4.0, 0.0, 13.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedTokenJaccardMinMatchLength3, 0.0, 2.0, 0.0, 18.0, 15.0, 6.0, 0.0, 0.0, 0.0, 7.0
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0.0, 5.0, 0.0, 31.0, 33.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0.0, 6.0, 0.0, 28.0, 28.0, no result, 0.0, 0.0, 1.0, 11.0
rkrGst3GramJaccardMinMatchLength2, 0.0, 50.0, 20.0, 351.0, 2380.0, 255.0, 4.0, 3.0, 11.0, 315.0
rkrGstNormalized3GramDiceMinMatchLength2, 0.0, 26.0, 3.0, 174.0, 375.0, 47.0, 2.0, 1.0, 4.0, 169.0
diceVariantShingles2, 0.0, 1.0, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, 3.0
winnowingNormalizedTokenDiceVariant, 0.0, 1.0, 0.0, 5.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
winnowingNormalizedShingle3DiceVariant, 0.0, 3.0, 0.0, 11.0, 7.0, no result, 0.0, 0.0, 1.0, no result
rkrGst4GramJaccardMinMatchLength2, 0.0, 45.0, 7.0, 399.0, 3255.0, 194.0, 6.0, 3.0, 11.0, 345.0
longestCommonSubsequence4GramFingerprint, 0.0, 2.0, 0.0, 15.0, 26.0, 4.0, 0.0, 0.0, 1.0, 7.0
winnowingNormalized2GramOverlap, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
