max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle2DiceMinMatchLength2, 0, 61, 2, 1, 11, no result, 13, 0, 8, 1
winnowingNormalized5GramDice, 0, 20, 1, 0, 3, 0, 4, 0, 2, 0
rkrGstShingle2OverlapMinMatchLength3, 0, 60, 2, 0, 10, no result, 9, 0, 6, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 53, 1, 1, 8, 0, 6, 0, 4, 0
diceVariantNormalized4Grams, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
rkrGst4GramOverlapMinMatchLength2, 0, 961, 20, 5, 70, 2, 89, 0, 90, 4
rkrGstShingle3DiceMinMatchLength2, 0, no result, 2, 1, 14, no result, 13, 0, 8, no result
winnowingTokenDiceVariant, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0
winnowingShingle2Dice, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
winnowing4GramDiceVariant, 0, 19, 1, 1, 3, 0, 3, 0, 2, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 97, 6, 2, 17, no result, 20, 0, 11, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 134, 6, 2, 18, no result, 59, 0, 29, no result
jaccardNormalizedShingles3, 0, 46, 4, 1, 4, no result, 7, 0, 3, no result
rkrGstShingle2DiceVariantMinMatchLength2, 0, 75, 2, 1, 12, no result, 11, 0, 6, 0
winnowingTokenJaccard, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0
rkrGst3GramOverlapMinMatchLength1, 0, 791, 26, 6, 75, 2, 76, 0, 54, 4
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 549, 17, 4, 58, 2, 63, 0, 44, 3
rkrGst4GramJaccardMinMatchLength1, 0, 735, 22, 5, 78, 2, 85, 0, 57, 6
rkrGstShingle2JaccardMinMatchLength1, 0, 63, 2, 1, 11, no result, 10, 0, 7, 0
jaccardNormalizedPadding5grams, 0, 24, 2, 1, 4, 0, 5, 0, 3, 1
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 3, 1, 12, no result, 11, 0, 7, no result
winnowingNormalizedShingle2Dice, 0, 20, 1, 1, 4, no result, 4, 0, 3, 0
winnowing4GramDice, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
winnowingTokenDice, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0, 480, 17, 4, 47, 1, 59, 0, 40, 3
overlap4Grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 701, 36, 19, 81, 1, 66, 0, 44, 3
manhattanNormalized5Grams, 0, 37, 2, 1, 6, 0, 7, 0, 5, 1
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 91, 5, 2, 15, no result, 19, 0, 14, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 98, 4, 3, 18, no result, 18, 0, 11, no result
cosineNormalized2GramsBool, 0, 38, 2, 1, 4, 0, 5, 0, 4, 1
cosineNormalizedTokensNormalizedTermFrequency, 0, 11, 0, 0, 2, 0, 2, 0, 3, 0
diceVariantNormalizedShingles2, 0, 22, 1, 1, 4, no result, 4, 0, 4, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 673, 20, 5, 59, 2, 66, 0, 50, 4
winnowingNormalized4GramJaccard, 0, 20, 1, 0, 3, 0, 4, 0, 4, 1
optimalAlignmentShingle3Fingerprint, 0, no result, 1, 0, 3, no result, 3, 0, 2, no result
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 700, 22, 8, 66, 2, 67, 0, 47, 4
rkrGstShingle3JaccardMinMatchLength1, 0, no result, 3, 1, 12, no result, 11, 0, 7, no result
rkrGstNormalized5GramDiceMinMatchLength2, 0, 542, 17, 4, 55, 1, 63, 0, 45, 3
rkrGstTokenOverlapMinMatchLength3, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 48, 1, 0, 8, 0, 6, 0, 4, 0
winnowingNormalized5GramDiceVariant, 0, 18, 1, 0, 4, 0, 4, 0, 2, 0
winnowing2GramDiceVariant, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
