similarity (false positives) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst3GramOverlapMinMatchLength1, 0, 9, 0, 8, 1, 1, 0, 0, 0, 1
manhattanNormalizedShingles3, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
cosineNormalized5GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramDiceVariantMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstTokenDiceVariantMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
longestCommonSubsequence2GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
rkrGst4GramOverlapMinMatchLength1, 0, 14, 0, 8, 1, 2, 0, 0, 0, 1
longestCommonSubsequence5GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingShingle3Dice, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 11, 0, 8, 1, 0, 0, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
optimalAlignmentStandard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3DiceMinMatchLength1, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
cosineNormalized3GramsTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalizedPadding3grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst5GramJaccardMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingNormalized3GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccardTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingTokenDice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalizedPadding2grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramDiceMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalizedShingle3NormalizedTermFrequency, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
winnowing2GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalizedShingle3TermFrequency, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
jaccardNormalized4Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle3Fingerprint, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
cosineNormalizedShingle3Bool, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
rkrGst2GramDiceMinMatchLength1, 0, 5, 0, 8, 1, 2, 0, 0, 0, 3
rkrGstShingle2JaccardMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
jaccardNormalizedShingles3, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalized3GramDiceMinMatchLength3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
rkrGstShingle2DiceMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle3FingerprintNormalized, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
overlap5Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
