average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowingNormalized5GramDice, 0.0, 18.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
manhattanNormalized2Grams, 0.0, 22.0, 2.0, 1.0, 5.0, 1.0, 5.0, 0.0, 4.0, 1.0
winnowingNormalized2GramJaccard, 0.0, 21.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0.0, 83.0, 4.0, 1.0, 14.0, no result, 16.0, 0.0, 10.0, no result
overlap2Grams, 0.0, 12.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0.0, 55.0, 2.0, 1.0, 9.0, 0.0, 6.0, 0.0, 5.0, 0.0
rkrGstNormalized3GramDiceMinMatchLength3, 0.0, 500.0, 16.0, 3.0, 47.0, 1.0, 58.0, 0.0, 40.0, 3.0
overlapNormalizedPadding5grams, 0.0, 20.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 3.0, 0.0
longestCommonSubsequenceShingle2Fingerprint, 0.0, 12.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, 0.0
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0.0, 595.0, 19.0, 5.0, 60.0, 1.0, 72.0, 0.0, 53.0, 5.0
overlapShingles2, 0.0, 11.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, 0.0
winnowing2GramDiceVariant, 0.0, 14.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
winnowingNormalized5GramDiceVariant, 0.0, 18.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
jaccardTokens, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0.0, 87.0, 4.0, 1.0, 14.0, no result, 17.0, 0.0, 9.0, no result
overlap5Grams, 0.0, 16.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0.0, 46.0, 1.0, 0.0, 8.0, 0.0, 5.0, 0.0, 4.0, 0.0
cosineNormalized5GramsNormalizedTermFrequency, 0.0, 34.0, 3.0, 1.0, 7.0, 0.0, 8.0, 0.0, 6.0, 1.0
rkrGstNormalizedTokenDiceMinMatchLength1, 0.0, 58.0, 2.0, 1.0, 9.0, 0.0, 6.0, 0.0, 5.0, 0.0
winnowingShingle3DiceVariant, 0.0, no result, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, no result
rkrGstNormalized5GramOverlapMinMatchLength1, 0.0, 597.0, 18.0, 4.0, 59.0, 2.0, 69.0, 0.0, 48.0, 4.0
rkrGstShingle2DiceVariantMinMatchLength2, 0.0, 55.0, 2.0, 0.0, 10.0, no result, 9.0, 0.0, 6.0, 0.0
winnowingNormalizedShingle2DiceVariant, 0.0, 20.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, 0.0
rkrGstNormalized3GramJaccardMinMatchLength2, 0.0, 504.0, 17.0, 4.0, 49.0, 1.0, 59.0, 0.0, 41.0, 3.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0.0, 90.0, 4.0, 1.0, 13.0, no result, 16.0, 0.0, 9.0, no result
rkrGst3GramDiceVariantMinMatchLength3, 0.0, 638.0, 19.0, 4.0, 70.0, 2.0, 69.0, 0.0, 51.0, 4.0
manhattanNormalizedShingles3, 0.0, 25.0, 1.0, 1.0, 5.0, no result, 5.0, 0.0, 3.0, no result
rkrGstNormalized5GramDiceMinMatchLength1, 0.0, 599.0, 19.0, 4.0, 66.0, 1.0, 70.0, 0.0, 48.0, 4.0
rkrGstNormalized2GramDiceMinMatchLength2, 0.0, 488.0, 16.0, 3.0, 55.0, 1.0, 56.0, 0.0, 37.0, 3.0
diceVariantNormalizedPadding5grams, 0.0, 20.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
winnowingNormalizedTokenOverlap, 0.0, 8.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
cosineNormalizedShingle2Bool, 0.0, 24.0, 1.0, 1.0, 4.0, no result, 5.0, 0.0, 3.0, 0.0
optimalAlignmentShingle2Fingerprint, 0.0, 15.0, 0.0, 0.0, 3.0, no result, 2.0, 0.0, 2.0, 0.0
winnowingNormalizedShingle2Overlap, 0.0, 19.0, 1.0, 1.0, 3.0, no result, 4.0, 0.0, 3.0, 0.0
diceNormalized5Grams, 0.0, 20.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
rkrGst3GramDiceMinMatchLength2, 0.0, 642.0, 19.0, 4.0, 67.0, 2.0, 69.0, 0.0, 50.0, 4.0
rkrGstNormalizedTokenJaccardMinMatchLength1, 0.0, 56.0, 2.0, 1.0, 9.0, 0.0, 6.0, 0.0, 5.0, 0.0
rkrGst3GramJaccardMinMatchLength3, 0.0, 645.0, 20.0, 4.0, 68.0, 2.0, 71.0, 0.0, 51.0, 4.0
rkrGstShingle2DiceVariantMinMatchLength1, 0.0, 63.0, 2.0, 1.0, 10.0, no result, 9.0, 0.0, 6.0, 0.0
levenshteinNormalized, 0.0, 96.0, 5.0, 0.0, 11.0, 0.0, 23.0, 0.0, 11.0, 0.0
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0.0, 71.0, 3.0, 1.0, 14.0, no result, 17.0, 0.0, 10.0, 1.0
winnowingNormalizedShingle3Overlap, 0.0, 24.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, no result
rkrGst4GramOverlapMinMatchLength1, 0.0, 727.0, 22.0, 5.0, 76.0, 2.0, 82.0, 0.0, 56.0, 4.0
overlap3Grams, 0.0, 16.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
dice5Grams, 0.0, 21.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
longestCommonSubsequence2GramFingerprintNormalized, 0.0, 81.0, 5.0, 0.0, 9.0, 0.0, 18.0, 0.0, 9.0, 0.0
rkrGstNormalized4GramOverlapMinMatchLength2, 0.0, 528.0, 17.0, 4.0, 49.0, 1.0, 60.0, 0.0, 41.0, 3.0
winnowingNormalizedShingle3Dice, 0.0, 21.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, no result
rkrGstNormalized5GramDiceMinMatchLength2, 0.0, 634.0, 22.0, 4.0, 68.0, 2.0, 76.0, 0.0, 50.0, 4.0
rkrGstNormalized4GramJaccardMinMatchLength2, 0.0, 619.0, 18.0, 4.0, 55.0, 2.0, 68.0, 0.0, 48.0, 4.0
winnowingNormalized5GramOverlap, 0.0, 22.0, 1.0, 1.0, 4.0, 0.0, 6.0, 0.0, 2.0, 0.0
overlapNormalizedTokens, 0.0, 20.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
winnowing3GramOverlap, 0.0, 19.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0
rkrGstNormalized2GramJaccardMinMatchLength1, 0.0, 607.0, 20.0, 6.0, 59.0, 1.0, 59.0, 0.0, 40.0, 3.0
cosineNormalized2GramsTermFrequency, 0.0, 23.0, 2.0, 1.0, 4.0, 0.0, 5.0, 0.0, 3.0, 2.0
rkrGstShingle2OverlapMinMatchLength2, 0.0, 56.0, 2.0, 0.0, 9.0, no result, 9.0, 0.0, 6.0, 0.0
rkrGstNormalized3GramJaccardMinMatchLength3, 0.0, 501.0, 17.0, 4.0, 49.0, 1.0, 59.0, 0.0, 41.0, 3.0
rkrGstNormalizedShingle2DiceMinMatchLength2, 0.0, 73.0, 3.0, 1.0, 12.0, no result, 14.0, 0.0, 8.0, 0.0
rkrGstNormalized4GramOverlapMinMatchLength1, 0.0, 575.0, 18.0, 4.0, 63.0, 2.0, 67.0, 0.0, 44.0, 3.0
damerauLevenshteinStandard, 0.0, 549.0, 32.0, 2.0, 68.0, 1.0, 130.0, 0.0, 63.0, 3.0
rkrGst3GramDiceVariantMinMatchLength1, 0.0, 666.0, 23.0, 6.0, 74.0, 2.0, 77.0, 0.0, 53.0, 4.0
winnowingNormalizedShingle2Jaccard, 0.0, 20.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, 0.0
rkrGst5GramDiceMinMatchLength2, 0.0, 718.0, 20.0, 4.0, 75.0, 2.0, 78.0, 0.0, 55.0, 4.0
rkrGstTokenJaccardMinMatchLength1, 0.0, 49.0, 1.0, 0.0, 9.0, 0.0, 7.0, 0.0, 4.0, 0.0
rkrGst4GramDiceMinMatchLength3, 0.0, 695.0, 20.0, 4.0, 69.0, 2.0, 77.0, 0.0, 54.0, 4.0
winnowingTokenJaccard, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
rkrGstTokenDiceMinMatchLength3, 0.0, 44.0, 1.0, 0.0, 7.0, 0.0, 7.0, 0.0, 4.0, 0.0
winnowingNormalizedTokenJaccard, 0.0, 8.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
jaccardNormalizedPadding2grams, 0.0, 19.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
cosineNormalized3GramsTermFrequency, 0.0, 33.0, 2.0, 1.0, 6.0, 0.0, 7.0, 0.0, 4.0, 1.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0.0, 89.0, 6.0, 1.0, 15.0, no result, 17.0, 0.0, 10.0, no result
rkrGstTokenDiceVariantMinMatchLength2, 0.0, 43.0, 1.0, 0.0, 7.0, 0.0, 6.0, 0.0, 4.0, 0.0
jaccardShingles3, 0.0, no result, 0.0, 0.0, 3.0, no result, 3.0, 0.0, 2.0, no result
rkrGstNormalizedTokenDiceMinMatchLength3, 0.0, 48.0, 1.0, 0.0, 8.0, 0.0, 6.0, 0.0, 5.0, 0.0
overlapNormalizedPadding3grams, 0.0, 19.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
rkrGstNormalized2GramDiceMinMatchLength1, 0.0, 551.0, 18.0, 4.0, 60.0, 1.0, 58.0, 0.0, 39.0, 3.0
rkrGstNormalized4GramDiceMinMatchLength2, 0.0, 534.0, 18.0, 4.0, 51.0, 1.0, 62.0, 0.0, 42.0, 3.0
diceVariantNormalizedTokens, 0.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
jaccardNormalized4Grams, 0.0, 23.0, 2.0, 1.0, 4.0, 0.0, 5.0, 0.0, 3.0, 0.0
rkrGst2GramOverlapMinMatchLength1, 0.0, 656.0, 20.0, 5.0, 72.0, 2.0, 79.0, 0.0, 52.0, 4.0
diceNormalizedShingles2, 0.0, 21.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, 0.0
winnowingTokenOverlap, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
rkrGstNormalized4GramDiceMinMatchLength1, 0.0, 576.0, 18.0, 4.0, 57.0, 1.0, 64.0, 0.0, 44.0, 3.0
rkrGstShingle3JaccardMinMatchLength3, 0.0, no result, 2.0, 1.0, 11.0, no result, 11.0, 0.0, 7.0, no result
rkrGstShingle2OverlapMinMatchLength3, 0.0, 56.0, 2.0, 0.0, 9.0, no result, 9.0, 0.0, 6.0, 0.0
rkrGstShingle2JaccardMinMatchLength2, 0.0, 58.0, 2.0, 0.0, 10.0, no result, 9.0, 0.0, 6.0, 0.0
rkrGstShingle3DiceMinMatchLength3, 0.0, no result, 2.0, 0.0, 11.0, no result, 10.0, 0.0, 7.0, no result
optimalAlignment5GramFingerprintNormalized, 0.0, 177.0, 12.0, 1.0, 23.0, 0.0, 43.0, 0.0, 20.0, 1.0
rkrGst3GramDiceMinMatchLength3, 0.0, 636.0, 19.0, 4.0, 68.0, 1.0, 69.0, 0.0, 50.0, 4.0
