max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
longestCommonSubsequence4GramFingerprint, 0, 20, 2, 0, 3, 0, 4, 0, 2, 0
winnowing4GramDice, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 558, 19, 3, 135, 2, 64, 0, 48, 4
rkrGstTokenOverlapMinMatchLength2, 0, 43, 1, 0, 7, 0, 7, 0, 4, 0
rkrGst2GramOverlapMinMatchLength3, 0, 599, 20, 4, 68, 2, 66, 0, 53, 3
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 616, 18, 4, 64, 1, 66, 0, 46, 4
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 2, 1, 16, no result, 14, 0, 9, no result
diceShingles3, 0, no result, 1, 0, 3, no result, 2, 0, 2, no result
rkrGst3GramDiceMinMatchLength2, 0, 653, 20, 4, 71, 2, 79, 0, 54, 4
winnowingNormalizedShingle3DiceVariant, 0, 22, 1, 1, 4, no result, 4, 0, 3, no result
winnowingNormalizedShingle2Overlap, 0, 20, 1, 1, 4, no result, 4, 0, 3, 0
longestCommonSubsequence2GramFingerprint, 0, 42, 3, 0, 6, 0, 9, 0, 5, 0
cosineNormalizedTokensTermFrequency, 0, 10, 0, 0, 2, 0, 2, 0, 1, 0
diceVariantNormalizedPadding3grams, 0, 19, 1, 1, 3, 0, 4, 0, 3, 0
cosineNormalizedShingle2NormalizedTermFrequency, 0, 24, 1, 1, 4, no result, 6, 0, 4, 0
winnowingNormalizedTokenDice, 0, 9, 0, 0, 1, 0, 1, 0, 1, 0
jaccard4Grams, 0, 20, 1, 0, 3, 0, 5, 0, 3, 0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 603, 19, 5, 71, 3, 64, 0, 41, 4
winnowing4GramOverlap, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
longestCommonSubsequence5GramFingerprintNormalized, 0, 77, 5, 0, 9, 0, 18, 0, 9, 0
rkrGst5GramDiceMinMatchLength1, 0, 803, 21, 5, 82, 2, 83, 0, 63, 5
optimalAlignment4GramFingerprintNormalized, 0, 181, 14, 1, 23, 0, 46, 0, 22, 1
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 71, 3, 1, 12, no result, 14, 0, 8, 1
