total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,5,0,13,8,4,0,0,1,5
cosineNormalized2GramsNormalizedTermFrequency,0,4,0,11,7,4,0,0,1,5
cosineNormalized2GramsTermFrequency,0,6,0,12,8,4,0,0,1,5
cosineNormalized3GramsBool,0,5,0,14,9,5,0,0,1,6
cosineNormalized3GramsNormalizedTermFrequency,0,5,0,14,9,5,0,0,1,6
cosineNormalized3GramsTermFrequency,0,5,0,14,9,5,0,0,1,6
cosineNormalized4GramsBool,0,6,0,15,11,6,0,0,1,7
cosineNormalized4GramsNormalizedTermFrequency,0,5,0,14,10,5,0,0,1,7
cosineNormalized4GramsTermFrequency,0,5,0,15,10,5,0,0,1,6
cosineNormalized5GramsBool,0,5,0,16,11,5,0,0,1,7
cosineNormalized5GramsNormalizedTermFrequency,0,6,0,17,12,5,0,0,1,7
cosineNormalized5GramsTermFrequency,0,6,0,16,11,5,0,0,1,7
cosineNormalizedShingle2Bool,0,3,0,10,7, no result,0,0,0,4
cosineNormalizedShingle2NormalizedTermFrequency,0,3,0,11,8, no result,0,0,1,4
cosineNormalizedShingle2TermFrequency,0,4,0,12,9, no result,0,0,0,4
cosineNormalizedShingle3Bool,0,3,0,10,8, no result,0,0,0, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,3,0,12,8, no result,0,0,1, no result
cosineNormalizedShingle3TermFrequency,0,3,0,12,10, no result,0,0,1, no result
cosineNormalizedTokensBool,0,1,0,6,3,2,0,0,0,2
cosineNormalizedTokensNormalizedTermFrequency,0,2,0,6,4,2,0,0,2,2
cosineNormalizedTokensTermFrequency,0,1,0,5,3,2,0,0,0,2
damerauLevenshteinNormalized,0,24,4,309,934,61,4,2,16,233
damerauLevenshteinStandard,0,29,4,563,1684,139,5,2,27,453
dice2Grams,0,2,0,7,6,2,0,0,0,3
dice3Grams,0,2,0,8,6,3,0,0,0,3
dice4Grams,0,2,0,9,7,3,0,0,0,4
dice5Grams,0,2,0,10,7,3,0,0,0,4
diceNormalized2Grams,0,3,0,9,9,3,0,0,0,4
diceNormalized3Grams,0,3,0,10,7,3,0,0,0,4
diceNormalized4Grams,0,3,0,10,9,3,0,0,0,5
diceNormalized5Grams,0,3,0,11,9,3,0,0,1,6
diceNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,4
diceNormalizedPadding3grams,0,3,0,9,7,3,0,0,0,4
diceNormalizedPadding4grams,0,3,0,10,8,3,0,0,0,5
diceNormalizedPadding5grams,0,3,0,10,8,3,0,0,0,5
diceNormalizedShingles2,0,2,0,8,6, no result,0,0,0,3
diceNormalizedShingles3,0,2,0,10,7, no result,0,0,0, no result
diceNormalizedTokens,0,1,0,3,2,1,0,0,0,1
diceShingles2,0,1,0,7,5, no result,0,0,0,2
diceShingles3,0, no result,0,9,6, no result,0,0,0, no result
diceTokens,0,0,0,3,2,1,0,0,0,1
diceVariant2Grams,0,2,0,7,6,2,0,0,0,3
diceVariant3Grams,0,3,0,10,7,3,0,0,0,4
diceVariant4Grams,0,2,0,16,11,5,0,0,0,4
diceVariant5Grams,0,2,0,9,9,3,0,0,0,4
diceVariantNormalized2Grams,0,3,0,9,6,3,0,0,0,4
