max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst3GramOverlapMinMatchLength3, 0, 37, 5, 364, 2233, 137, 3, 3, 8, 267
longestCommonSubsequence3GramFingerprint, 0, 3, 0, 21, 43, 6, 0, 0, 1, 10
manhattanNormalized2Grams, 0, 4, 0, 11, 7, 4, 0, 0, 1, 5
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
cosineNormalizedTokensBool, 0, 1, 0, 6, 3, 2, 0, 0, 0, 2
rkrGstTokenDiceVariantMinMatchLength1, 0, 3, 0, 21, 17, 6, 0, 0, 0, 7
winnowingNormalized2GramDice, 0, 3, 0, 10, 9, 3, 0, 0, 0, 5
longestCommonSubsequence2GramFingerprint, 0, 4, 0, 35, 92, 10, 0, 0, 1, 18
rkrGst4GramDiceMinMatchLength2, 0, 34, 5, 368, 2845, 137, 4, 3, 8, 308
rkrGst4GramDiceMinMatchLength3, 0, 34, 5, 349, 2849, 137, 3, 3, 8, 274
winnowing5GramDice, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalized4GramDiceMinMatchLength1, 0, 25, 2, 153, 337, 41, 2, 1, 4, 124
winnowingNormalized2GramJaccard, 0, 3, 0, 11, 9, 3, 0, 0, 0, 5
winnowingNormalized4GramDiceVariant, 0, 3, 0, 11, 9, 3, 0, 0, 0, 5
rkrGstTokenOverlapMinMatchLength1, 0, 1, 0, 16, 13, 6, 0, 0, 0, 7
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 23, 2, 143, 361, 39, 2, 1, 4, 159
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 0, 32, 25, no result, 0, 0, 1, no result
rkrGstNormalized2GramDiceMinMatchLength2, 0, 22, 2, 156, 346, 37, 2, 1, 4, 157
rkrGstShingle3DiceMinMatchLength1, 0, no result, 0, 30, 25, no result, 0, 0, 1, no result
longestCommonSubsequence5GramFingerprintNormalized, 0, 5, 0, 43, 124, 8, 0, 0, 2, 38
rkrGstNormalized5GramDiceMinMatchLength2, 0, 28, 2, 180, 399, 45, 2, 1, 4, 164
