average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst3GramJaccardMinMatchLength2, 0.0, 44.0, 10.0, 342.0, 2267.0, 142.0, 4.0, 3.0, 8.0, 280.0
rkrGst5GramDiceVariantMinMatchLength1, 0.0, 94.0, 8.0, 407.0, 3629.0, 142.0, 5.0, 5.0, 11.0, 314.0
dice4Grams, 0.0, 2.0, 0.0, 8.0, 6.0, 2.0, 0.0, 0.0, 0.0, 3.0
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0.0, 24.0, 2.0, 153.0, 338.0, 38.0, 2.0, 1.0, 4.0, 126.0
cosineNormalizedShingle3Bool, 0.0, 3.0, 0.0, 11.0, 8.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle2DiceMinMatchLength3, 0.0, 4.0, 0.0, 23.0, 23.0, no result, 0.0, 0.0, 1.0, 10.0
rkrGstNormalized4GramOverlapMinMatchLength1, 0.0, 25.0, 2.0, 155.0, 368.0, 44.0, 2.0, 1.0, 4.0, 131.0
overlapNormalizedShingles2, 0.0, 3.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, 3.0
rkrGst4GramDiceVariantMinMatchLength2, 0.0, 36.0, 5.0, 352.0, 2934.0, 155.0, 4.0, 3.0, 8.0, 318.0
rkrGstTokenDiceVariantMinMatchLength2, 0.0, 2.0, 0.0, 17.0, 13.0, 5.0, 0.0, 0.0, 0.0, 6.0
diceNormalizedTokens, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
rkrGstShingle2DiceVariantMinMatchLength1, 0.0, 3.0, 0.0, 25.0, 20.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGstNormalizedShingle2DiceMinMatchLength1, 0.0, 4.0, 0.0, 24.0, 24.0, no result, 0.0, 0.0, 1.0, 12.0
overlapNormalizedPadding4grams, 0.0, 3.0, 0.0, 11.0, 9.0, 4.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 13.0, 6.0, 0.0, 0.0, 0.0, 6.0
winnowing5GramJaccard, 0.0, 2.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
cosineNormalized5GramsNormalizedTermFrequency, 0.0, 5.0, 0.0, 16.0, 11.0, 5.0, 0.0, 0.0, 1.0, 7.0
winnowingNormalized2GramDice, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalized5GramOverlapMinMatchLength2, 0.0, 23.0, 2.0, 154.0, 360.0, 37.0, 2.0, 1.0, 4.0, 132.0
winnowing4GramDice, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized2GramJaccardMinMatchLength3, 0.0, 22.0, 2.0, 127.0, 391.0, 33.0, 2.0, 1.0, 5.0, 148.0
rkrGstShingle3OverlapMinMatchLength1, 0.0, no result, 0.0, 27.0, 23.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0.0, 5.0, 0.0, 29.0, 29.0, no result, 0.0, 0.0, 1.0, 11.0
rkrGstShingle3DiceVariantMinMatchLength1, 0.0, no result, 0.0, 30.0, 24.0, no result, 0.0, 0.0, 1.0, no result
winnowingTokenJaccard, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
rkrGstNormalized4GramDiceMinMatchLength2, 0.0, 28.0, 2.0, 153.0, 339.0, 36.0, 2.0, 1.0, 4.0, 122.0
jaccardNormalized5Grams, 0.0, 3.0, 0.0, 11.0, 9.0, 4.0, 0.0, 0.0, 1.0, 5.0
optimalAlignmentShingle2FingerprintNormalized, 0.0, 4.0, 0.0, 11.0, 9.0, no result, 0.0, 0.0, 0.0, 4.0
overlapNormalized4Grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
jaccardNormalized3Grams, 0.0, 3.0, 0.0, 10.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
optimalAlignmentStandard, 0.0, 22.0, 3.0, 390.0, 1075.0, 102.0, 4.0, 2.0, 18.0, 231.0
winnowingNormalized3GramDiceVariant, 0.0, 3.0, 0.0, 14.0, 10.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGst4GramDiceMinMatchLength3, 0.0, 35.0, 5.0, 371.0, 2888.0, 148.0, 3.0, 3.0, 10.0, 309.0
cosineNormalizedTokensNormalizedTermFrequency, 0.0, 1.0, 0.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0, 2.0
optimalAlignment3GramFingerprint, 0.0, 15.0, 2.0, 225.0, 625.0, 57.0, 2.0, 1.0, 12.0, 135.0
rkrGstShingle3JaccardMinMatchLength2, 0.0, no result, 0.0, 29.0, 22.0, no result, 0.0, 0.0, 1.0, no result
winnowingShingle2Dice, 0.0, 1.0, 0.0, 6.0, 3.0, no result, 0.0, 0.0, 0.0, 2.0
winnowingNormalizedShingle2DiceVariant, 0.0, 2.0, 0.0, 9.0, 6.0, no result, 0.0, 0.0, 0.0, 3.0
manhattanNormalized5Grams, 0.0, 5.0, 0.0, 15.0, 11.0, 5.0, 0.0, 0.0, 1.0, 8.0
winnowingShingle2DiceVariant, 0.0, 2.0, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, 3.0
rkrGstNormalized3GramOverlapMinMatchLength3, 0.0, 21.0, 3.0, 137.0, 332.0, 35.0, 2.0, 1.0, 4.0, 152.0
rkrGst4GramOverlapMinMatchLength1, 0.0, 38.0, 5.0, 365.0, 2970.0, 139.0, 4.0, 3.0, 8.0, 285.0
diceTokens, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0
winnowingNormalizedShingle3Dice, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstShingle3DiceVariantMinMatchLength2, 0.0, no result, 0.0, 27.0, 22.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalized5GramDiceVariant, 0.0, 3.0, 0.0, 10.0, 11.0, 3.0, 0.0, 0.0, 0.0, 5.0
diceNormalized4Grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0.0, 29.0, 3.0, 174.0, 392.0, 51.0, 2.0, 1.0, 4.0, 134.0
rkrGstShingle2DiceMinMatchLength1, 0.0, 2.0, 0.0, 24.0, 19.0, no result, 0.0, 0.0, 1.0, 9.0
rkrGstShingle2OverlapMinMatchLength2, 0.0, 2.0, 0.0, 33.0, 31.0, no result, 0.0, 0.0, 0.0, 12.0
rkrGst3GramDiceVariantMinMatchLength1, 0.0, 40.0, 7.0, 352.0, 2741.0, 183.0, 4.0, 4.0, 10.0, 372.0
rkrGst3GramOverlapMinMatchLength2, 0.0, 35.0, 5.0, 302.0, 2214.0, 143.0, 3.0, 3.0, 8.0, 275.0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0.0, 22.0, 2.0, 138.0, 343.0, 34.0, 2.0, 1.0, 5.0, 157.0
diceVariantNormalized3Grams, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
overlap2Grams, 0.0, 2.0, 0.0, 7.0, 5.0, 2.0, 0.0, 0.0, 0.0, 2.0
winnowingNormalizedShingle2Dice, 0.0, 3.0, 0.0, 10.0, 6.0, no result, 0.0, 0.0, 0.0, 4.0
diceVariantShingles3, 0.0, no result, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, no result
rkrGst3GramOverlapMinMatchLength3, 0.0, 35.0, 5.0, 298.0, 2462.0, 164.0, 4.0, 3.0, 9.0, 299.0
longestCommonSubsequenceShingle3FingerprintNormalized, 0.0, 2.0, 0.0, 10.0, 8.0, no result, 0.0, 0.0, 1.0, no result
rkrGst2GramDiceMinMatchLength2, 0.0, 33.0, 4.0, 272.0, 1109.0, 162.0, 3.0, 2.0, 7.0, 240.0
overlapNormalizedShingles3, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGst5GramDiceVariantMinMatchLength3, 0.0, 37.0, 6.0, 419.0, 3117.0, 138.0, 4.0, 3.0, 9.0, 296.0
manhattanNormalizedShingles2, 0.0, 3.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized3GramJaccardMinMatchLength1, 0.0, 25.0, 2.0, 142.0, 332.0, 47.0, 2.0, 1.0, 4.0, 156.0
