total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariant2Grams,0,10,1,0,1,0,2,0,1,0
diceVariant3Grams,0,12,1,0,2,0,2,0,2,0
diceVariant4Grams,0,14,1,0,2,0,3,0,2,0
diceVariant5Grams,0,15,1,0,2,0,3,0,2,0
diceVariantNormalized2Grams,0,16,1,0,2,0,3,0,2,0
diceVariantNormalized3Grams,0,20,1,0,3,0,4,0,2,0
diceVariantNormalized4Grams,0,19,1,0,3,0,4,0,3,0
diceVariantNormalized5Grams,0,22,1,1,3,0,4,0,2,0
diceVariantNormalizedPadding2grams,0,16,1,0,3,0,3,0,2,0
diceVariantNormalizedPadding3grams,0,18,1,0,3,0,3,0,2,0
diceVariantNormalizedPadding4grams,0,19,1,0,3,0,4,0,3,0
diceVariantNormalizedPadding5grams,0,20,2,0,3,0,4,0,3,0
diceVariantNormalizedShingles2,0,25,1,1,4, no result,5,0,3,0
diceVariantNormalizedShingles3,0,22,1,1,4, no result,4,0,3, no result
diceVariantNormalizedTokens,0,7,0,0,1,0,1,0,1,0
diceVariantShingles2,0,10,0,0,2, no result,1,0,1,0
diceVariantShingles3,0, no result,1,0,2, no result,2,0,1, no result
diceVariantTokens,0,3,0,0,0,0,0,0,0,0
jaccard2Grams,0,11,1,0,2,0,2,0,1,0
jaccard3Grams,0,15,1,0,2,0,3,0,2,0
jaccard4Grams,0,22,1,0,3,0,4,0,2,0
jaccard5Grams,0,17,1,0,3,0,4,0,2,0
jaccardNormalized2Grams,0,19,1,1,4,0,4,0,3,0
jaccardNormalized3Grams,0,20,1,0,3,0,4,0,3,0
jaccardNormalized4Grams,0,22,1,0,3,0,4,0,3,0
jaccardNormalized5Grams,0,23,1,0,4,0,4,0,3,0
jaccardNormalizedPadding2grams,0,18,1,1,3,0,3,0,2,0
jaccardNormalizedPadding3grams,0,20,1,1,3,0,4,0,3,0
jaccardNormalizedPadding4grams,0,23,1,1,3,0,4,0,3,0
jaccardNormalizedPadding5grams,0,22,1,1,4,0,5,0,3,0
jaccardNormalizedShingles2,0,23,1,1,4, no result,4,0,4,0
jaccardNormalizedShingles3,0,23,1,1,4, no result,5,0,3, no result
jaccardNormalizedTokens,0,21,1,0,3,0,4,0,3,0
jaccardShingles2,0,11,0,0,2, no result,2,0,1,0
jaccardShingles3,0, no result,0,0,2, no result,2,0,1, no result
jaccardTokens,0,3,0,0,0,0,0,0,0,0
levenshteinNormalized,0,97,5,0,12,0,23,0,11,0
levenshteinStandard,0,100,5,0,11,0,23,0,10,0
longestCommonSubsequence2GramFingerprint,0,41,2,0,7,0,9,0,5,0
longestCommonSubsequence2GramFingerprintNormalized,0,75,5,0,9,0,18,0,9,0
longestCommonSubsequence3GramFingerprint,0,25,1,0,3,0,5,0,3,0
longestCommonSubsequence3GramFingerprintNormalized,0,74,5,0,9,0,20,0,9,0
longestCommonSubsequence4GramFingerprint,0,18,1,0,3,0,4,0,2,0
longestCommonSubsequence4GramFingerprintNormalized,0,75,5,0,9,0,17,0,8,0
longestCommonSubsequence5GramFingerprint,0,17,1,0,2,0,3,0,2,0
longestCommonSubsequence5GramFingerprintNormalized,0,72,5,0,11,0,17,0,8,0
longestCommonSubsequenceNormalized,0,200,12,1,26,0,47,0,24,1
longestCommonSubsequenceShingle2Fingerprint,0,10,0,0,3, no result,2,0,1,0
longestCommonSubsequenceShingle2FingerprintNormalized,0,22,1,1,4, no result,4,0,3,0
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,0,2, no result,2,0,1, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,31,2,1,4, no result,6,0,4, no result
longestCommonSubsequenceStandard,0,206,11,1,24,0,44,0,22,1
manhattanNormalized2Grams,0,21,2,1,4,0,4,0,3,0
manhattanNormalized3Grams,0,28,2,1,5,0,6,0,4,1
manhattanNormalized4Grams,0,32,4,1,5,0,6,0,4,1
manhattanNormalized5Grams,0,34,2,1,6,0,6,0,4,1
manhattanNormalizedShingles2,0,23,1,1,4, no result,4,0,3,0
manhattanNormalizedShingles3,0,25,2,1,5, no result,5,0,3, no result
manhattanNormalizedTokens,0,10,0,0,2,0,1,0,1,0
optimalAlignment2GramFingerprint,0,223,13,1,28,0,53,0,26,1
optimalAlignment2GramFingerprintNormalized,0,172,11,1,20,0,41,0,20,1
optimalAlignment3GramFingerprint,0,250,14,1,32,0,60,0,29,1
optimalAlignment3GramFingerprintNormalized,0,183,11,1,19,0,40,0,19,1
optimalAlignment4GramFingerprint,0,222,13,1,28,0,52,0,26,1
optimalAlignment4GramFingerprintNormalized,0,166,11,1,19,0,40,0,20,1
optimalAlignment5GramFingerprint,0,226,13,1,29,0,51,0,25,1
optimalAlignment5GramFingerprintNormalized,0,176,11,1,19,0,41,0,19,1
optimalAlignmentNormalized,0,412,24,1,51,1,95,0,48,2
optimalAlignmentShingle2Fingerprint,0,13,0,0,2, no result,2,0,2,0
optimalAlignmentShingle2FingerprintNormalized,0,25,1,1,5, no result,5,0,3,0
optimalAlignmentShingle3Fingerprint,0, no result,0,0,3, no result,3,0,2, no result
optimalAlignmentShingle3FingerprintNormalized,0,27,2,1,4, no result,5,0,3, no result
optimalAlignmentStandard,0,401,24,1,51,0,94,0,47,2
overlap2Grams,0,10,1,0,1,0,2,0,1,0
overlap3Grams,0,13,1,0,2,0,2,0,2,0
overlap4Grams,0,14,1,0,2,0,3,0,2,0
overlap5Grams,0,14,1,0,2,0,3,0,2,0
overlapNormalized2Grams,0,16,1,0,3,0,3,0,2,0
overlapNormalized3Grams,0,18,1,0,3,0,4,0,3,0
overlapNormalized4Grams,0,20,1,0,3,0,4,0,2,0
overlapNormalized5Grams,0,19,1,0,3,0,4,0,2,0
overlapNormalizedPadding2grams,0,16,1,0,4,0,3,0,2,0
overlapNormalizedPadding3grams,0,18,1,0,3,0,4,0,2,0
overlapNormalizedPadding4grams,0,19,2,1,3,0,4,0,3,0
overlapNormalizedPadding5grams,0,25,2,1,4,0,5,0,3,0
overlapNormalizedShingles2,0,22,1,1,4, no result,6,0,3,0
overlapNormalizedShingles3,0,22,1,1,4, no result,4,0,3, no result
overlapNormalizedTokens,0,21,1,1,3,0,4,0,2,0
overlapShingles2,0,10,0,0,3, no result,2,0,1,0
overlapShingles3,0, no result,0,0,2, no result,2,0,1, no result
overlapTokens,0,3,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength1,0,623,19,5,71,2,70,0,51,4
rkrGst2GramDiceMinMatchLength2,0,708,19,4,68,1,69,0,49,3
rkrGst2GramDiceMinMatchLength3,0,598,19,4,67,1,67,0,49,3
rkrGst2GramDiceVariantMinMatchLength1,0,631,20,5,81,2,72,0,52,4
rkrGst2GramDiceVariantMinMatchLength2,0,602,19,4,66,1,71,0,59,5
rkrGst2GramDiceVariantMinMatchLength3,0,633,19,5,67,2,68,0,49,4
rkrGst2GramJaccardMinMatchLength1,0,660,20,5,85,2,75,0,52,4
rkrGst2GramJaccardMinMatchLength2,0,701,20,7,69,2,71,0,53,4
rkrGst2GramJaccardMinMatchLength3,0,619,19,4,75,2,86,0,58,4
rkrGst2GramOverlapMinMatchLength1,0,644,20,5,72,2,72,0,54,4
rkrGst2GramOverlapMinMatchLength2,0,615,19,4,70,1,67,0,50,3
rkrGst2GramOverlapMinMatchLength3,0,627,19,4,77,2,70,0,51,3
rkrGst3GramDiceMinMatchLength1,0,694,21,5,75,2,80,0,60,4
rkrGst3GramDiceMinMatchLength2,0,671,20,4,72,2,73,0,52,4
rkrGst3GramDiceMinMatchLength3,0,653,21,4,72,2,72,0,60,5
rkrGst3GramDiceVariantMinMatchLength1,0,1327,23,7,106,2,89,0,62,5
rkrGst3GramDiceVariantMinMatchLength2,0,681,22,4,69,2,71,0,52,4
rkrGst3GramDiceVariantMinMatchLength3,0,669,20,5,70,2,73,0,60,5
rkrGst3GramJaccardMinMatchLength1,0,728,21,5,86,2,78,0,55,4
rkrGst3GramJaccardMinMatchLength2,0,815,23,8,80,2,74,0,53,4
rkrGst3GramJaccardMinMatchLength3,0,772,23,6,88,2,75,0,70,5
rkrGst3GramOverlapMinMatchLength1,0,777,22,5,95,2,78,0,59,5
rkrGst3GramOverlapMinMatchLength2,0,761,20,4,72,2,72,0,51,4
rkrGst3GramOverlapMinMatchLength3,0,683,21,4,71,2,80,0,78,5
rkrGst4GramDiceMinMatchLength1,0,767,24,5,77,2,82,0,58,4
rkrGst4GramDiceMinMatchLength2,0,707,21,4,73,2,76,0,69,5
rkrGst4GramDiceMinMatchLength3,0,811,20,5,73,2,75,0,55,4
rkrGst4GramDiceVariantMinMatchLength1,0,751,22,6,81,3,86,0,66,5
rkrGst4GramDiceVariantMinMatchLength2,0,728,21,5,73,2,111,0,56,4
rkrGst4GramDiceVariantMinMatchLength3,0,734,21,6,73,2,79,0,54,4
rkrGst4GramJaccardMinMatchLength1,0,753,22,5,78,2,85,0,59,5
rkrGst4GramJaccardMinMatchLength2,0,716,21,5,76,2,77,0,55,4
rkrGst4GramJaccardMinMatchLength3,0,724,21,5,73,2,77,0,55,4
rkrGst4GramOverlapMinMatchLength1,0,763,22,5,78,2,83,0,57,4
rkrGst4GramOverlapMinMatchLength2,0,709,21,5,80,2,77,0,55,4
rkrGst4GramOverlapMinMatchLength3,0,726,21,4,73,2,77,0,56,4
rkrGst5GramDiceMinMatchLength1,0,776,23,5,88,2,87,0,62,4
rkrGst5GramDiceMinMatchLength2,0,742,23,4,76,2,77,0,56,4
rkrGst5GramDiceMinMatchLength3,0,726,21,6,80,2,87,0,76,4
rkrGst5GramDiceVariantMinMatchLength1,0,826,32,6,89,2,92,0,69,6
rkrGst5GramDiceVariantMinMatchLength2,0,743,21,5,87,2,96,0,71,5
rkrGst5GramDiceVariantMinMatchLength3,0,728,21,5,96,2,82,0,60,5
rkrGst5GramJaccardMinMatchLength1,0,771,22,5,86,2,86,0,62,5
rkrGst5GramJaccardMinMatchLength2,0,726,21,5,78,2,88,0,62,4
rkrGst5GramJaccardMinMatchLength3,0,803,26,9,84,2,79,0,59,4
rkrGst5GramOverlapMinMatchLength1,0,823,25,6,83,2,86,0,61,5
rkrGst5GramOverlapMinMatchLength2,0,736,20,4,76,2,79,0,57,4
rkrGst5GramOverlapMinMatchLength3,0,760,21,5,77,2,82,0,60,4
rkrGstNormalized2GramDiceMinMatchLength1,0,512,16,4,54,2,62,0,41,3
rkrGstNormalized2GramDiceMinMatchLength2,0,539,17,4,48,2,61,0,42,4
rkrGstNormalized2GramDiceMinMatchLength3,0,502,16,3,48,1,57,0,41,3
rkrGstNormalized2GramDiceVariantMinMatchLength1,0,578,17,5,52,1,62,0,41,4
rkrGstNormalized2GramDiceVariantMinMatchLength2,0,522,16,4,49,1,59,0,39,3
rkrGstNormalized2GramDiceVariantMinMatchLength3,0,591,16,4,47,1,61,0,42,4
rkrGstNormalized2GramJaccardMinMatchLength1,0,549,19,5,53,2,62,0,41,3
rkrGstNormalized2GramJaccardMinMatchLength2,0,506,18,4,51,3,58,0,39,3
rkrGstNormalized2GramJaccardMinMatchLength3,0,511,16,4,50,1,58,0,39,3
rkrGstNormalized2GramOverlapMinMatchLength1,0,516,17,4,54,1,60,0,41,3
rkrGstNormalized2GramOverlapMinMatchLength2,0,610,20,4,51,1,69,0,46,3
rkrGstNormalized2GramOverlapMinMatchLength3,0,494,16,3,48,1,57,0,39,3
rkrGstNormalized3GramDiceMinMatchLength1,0,604,18,4,53,1,65,0,45,3
rkrGstNormalized3GramDiceMinMatchLength2,0,526,18,4,51,1,60,0,42,3
rkrGstNormalized3GramDiceMinMatchLength3,0,511,18,4,51,1,59,0,41,3
rkrGstNormalized3GramDiceVariantMinMatchLength1,0,542,19,4,54,1,64,0,45,4
rkrGstNormalized3GramDiceVariantMinMatchLength2,0,522,17,4,53,1,62,0,43,3
rkrGstNormalized3GramDiceVariantMinMatchLength3,0,566,17,4,58,1,61,0,46,3
rkrGstNormalized3GramJaccardMinMatchLength1,0,546,18,4,55,2,75,0,51,4
rkrGstNormalized3GramJaccardMinMatchLength2,0,541,17,4,51,1,60,0,42,3
rkrGstNormalized3GramJaccardMinMatchLength3,0,520,17,4,59,1,64,0,42,3
rkrGstNormalized3GramOverlapMinMatchLength1,0,628,23,5,69,1,64,0,44,3
rkrGstNormalized3GramOverlapMinMatchLength2,0,528,17,4,60,1,67,0,45,3
rkrGstNormalized3GramOverlapMinMatchLength3,0,519,17,4,51,1,60,0,42,3
rkrGstNormalized4GramDiceMinMatchLength1,0,611,18,4,57,2,67,0,51,4
rkrGstNormalized4GramDiceMinMatchLength2,0,556,19,4,54,1,61,0,42,3
rkrGstNormalized4GramDiceMinMatchLength3,0,570,18,3,52,1,60,0,42,4
rkrGstNormalized4GramDiceVariantMinMatchLength1,0,594,19,4,56,2,67,0,47,4
rkrGstNormalized4GramDiceVariantMinMatchLength2,0,553,19,4,55,1,71,0,44,4
rkrGstNormalized4GramDiceVariantMinMatchLength3,0,586,19,4,54,1,64,0,45,4
rkrGstNormalized4GramJaccardMinMatchLength1,0,607,19,4,59,2,81,0,66,4
rkrGstNormalized4GramJaccardMinMatchLength2,0,554,18,4,53,1,67,0,47,4
rkrGstNormalized4GramJaccardMinMatchLength3,0,575,19,4,54,1,66,0,46,4
rkrGstNormalized4GramOverlapMinMatchLength1,0,594,19,4,56,2,73,0,46,3
rkrGstNormalized4GramOverlapMinMatchLength2,0,572,18,3,52,1,63,0,44,3
rkrGstNormalized4GramOverlapMinMatchLength3,0,689,30,5,53,1,65,0,43,3
rkrGstNormalized5GramDiceMinMatchLength1,0,613,19,4,61,1,73,0,50,4
rkrGstNormalized5GramDiceMinMatchLength2,0,639,18,4,58,1,65,0,50,4
rkrGstNormalized5GramDiceMinMatchLength3,0,566,18,4,56,1,65,0,49,4
rkrGstNormalized5GramDiceVariantMinMatchLength1,0,615,20,4,64,2,82,0,51,4
rkrGstNormalized5GramDiceVariantMinMatchLength2,0,555,18,4,57,1,66,0,47,4
rkrGstNormalized5GramDiceVariantMinMatchLength3,0,580,18,4,63,1,64,0,46,4
rkrGstNormalized5GramJaccardMinMatchLength1,0,649,19,4,64,2,72,0,50,5
rkrGstNormalized5GramJaccardMinMatchLength2,0,657,34,5,60,2,77,0,52,6
rkrGstNormalized5GramJaccardMinMatchLength3,0,576,19,4,58,1,65,0,49,4
rkrGstNormalized5GramOverlapMinMatchLength1,0,630,20,4,62,1,70,0,49,4
rkrGstNormalized5GramOverlapMinMatchLength2,0,564,18,4,56,1,64,0,46,4
rkrGstNormalized5GramOverlapMinMatchLength3,0,564,18,4,57,1,64,0,46,4
rkrGstNormalizedShingle2DiceMinMatchLength1,0,83,3,1,13, no result,15,0,8,0
rkrGstNormalizedShingle2DiceMinMatchLength2,0,73,3,1,15, no result,17,0,10,1
rkrGstNormalizedShingle2DiceMinMatchLength3,0,74,3,1,12, no result,14,0,8,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength1,0,97,5,1,16, no result,16,0,9,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2,0,72,3,1,12, no result,17,0,9,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3,0,73,3,1,13, no result,14,0,8,1
rkrGstNormalizedShingle2JaccardMinMatchLength1,0,80,4,1,13, no result,15,0,9,1
rkrGstNormalizedShingle2JaccardMinMatchLength2,0,78,4,1,13, no result,16,0,9,1
rkrGstNormalizedShingle2JaccardMinMatchLength3,0,79,4,1,13, no result,15,0,9,0
rkrGstNormalizedShingle2OverlapMinMatchLength1,0,79,3,1,13, no result,15,0,9,1
rkrGstNormalizedShingle2OverlapMinMatchLength2,0,72,3,1,12, no result,16,0,8,0
rkrGstNormalizedShingle2OverlapMinMatchLength3,0,74,3,1,12, no result,17,0,10,1
rkrGstNormalizedShingle3DiceMinMatchLength1,0,90,4,1,14, no result,17,0,10, no result
rkrGstNormalizedShingle3DiceMinMatchLength2,0,89,4,1,14, no result,19,0,10, no result
rkrGstNormalizedShingle3DiceMinMatchLength3,0,89,4,1,15, no result,16,0,11, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1,0,89,6,1,15, no result,17,0,10, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2,0,83,4,1,14, no result,16,0,9, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3,0,85,4,1,14, no result,16,0,9, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1,0,90,4,1,18, no result,20,0,10, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2,0,86,4,1,14, no result,16,0,12, no result
rkrGstNormalizedShingle3JaccardMinMatchLength3,0,100,5,1,16, no result,17,0,10, no result
rkrGstNormalizedShingle3OverlapMinMatchLength1,0,89,4,1,15, no result,17,0,10, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2,0,82,4,1,14, no result,16,0,9, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3,0,88,4,1,15, no result,18,0,9, no result
rkrGstNormalizedTokenDiceMinMatchLength1,0,61,2,0,9,0,6,0,5,0
rkrGstNormalizedTokenDiceMinMatchLength2,0,48,1,0,8,0,6,0,5,0
rkrGstNormalizedTokenDiceMinMatchLength3,0,48,1,0,8,0,6,0,5,0
rkrGstNormalizedTokenDiceVariantMinMatchLength1,0,55,2,1,9,0,6,0,5,0
rkrGstNormalizedTokenDiceVariantMinMatchLength2,0,47,1,0,8,0,5,0,5,0
rkrGstNormalizedTokenDiceVariantMinMatchLength3,0,55,1,1,9,0,6,0,4,0
rkrGstNormalizedTokenJaccardMinMatchLength1,0,64,3,1,9,0,7,0,5,0
rkrGstNormalizedTokenJaccardMinMatchLength2,0,50,1,0,10,0,6,0,5,0
rkrGstNormalizedTokenJaccardMinMatchLength3,0,50,1,0,8,0,6,0,6,0
rkrGstNormalizedTokenOverlapMinMatchLength1,0,54,1,0,9,0,6,0,5,0
rkrGstNormalizedTokenOverlapMinMatchLength2,0,50,1,0,8,0,6,0,4,0
rkrGstNormalizedTokenOverlapMinMatchLength3,0,50,1,0,8,0,6,0,5,0
rkrGstShingle2DiceMinMatchLength1,0,62,2,1,10, no result,9,0,6,0
rkrGstShingle2DiceMinMatchLength2,0,58,2,0,12, no result,11,0,8,0
rkrGstShingle2DiceMinMatchLength3,0,58,2,0,10, no result,9,0,6,0
rkrGstShingle2DiceVariantMinMatchLength1,0,63,2,1,10, no result,9,0,6,0
rkrGstShingle2DiceVariantMinMatchLength2,0,55,2,0,9, no result,8,0,6,0
rkrGstShingle2DiceVariantMinMatchLength3,0,56,2,0,10, no result,9,0,6,0
rkrGstShingle2JaccardMinMatchLength1,0,62,2,1,10, no result,9,0,6,0
rkrGstShingle2JaccardMinMatchLength2,0,58,2,0,10, no result,9,0,6,0
rkrGstShingle2JaccardMinMatchLength3,0,59,2,0,10, no result,9,0,6,0
rkrGstShingle2OverlapMinMatchLength1,0,63,2,0,10, no result,9,0,6,0
rkrGstShingle2OverlapMinMatchLength2,0,58,2,1,12, no result,19,0,6,0
rkrGstShingle2OverlapMinMatchLength3,0,57,2,0,9, no result,9,0,6,0
rkrGstShingle3DiceMinMatchLength1,0, no result,2,0,12, no result,11,0,7, no result
rkrGstShingle3DiceMinMatchLength2,0, no result,2,0,11, no result,10,0,7, no result
rkrGstShingle3DiceMinMatchLength3,0, no result,2,0,11, no result,10,0,8, no result
rkrGstShingle3DiceVariantMinMatchLength1,0, no result,2,1,13, no result,11,0,8, no result
rkrGstShingle3DiceVariantMinMatchLength2,0, no result,2,0,12, no result,10,0,7, no result
rkrGstShingle3DiceVariantMinMatchLength3,0, no result,2,0,12, no result,11,0,7, no result
rkrGstShingle3JaccardMinMatchLength1,0, no result,2,1,12, no result,11,0,8, no result
rkrGstShingle3JaccardMinMatchLength2,0, no result,2,0,11, no result,11,0,7, no result
rkrGstShingle3JaccardMinMatchLength3,0, no result,2,1,13, no result,12,0,8, no result
rkrGstShingle3OverlapMinMatchLength1,0, no result,2,1,12, no result,11,0,8, no result
rkrGstShingle3OverlapMinMatchLength2,0, no result,3,1,12, no result,13,0,7, no result
rkrGstShingle3OverlapMinMatchLength3,0, no result,2,0,11, no result,12,0,7, no result
rkrGstTokenDiceMinMatchLength1,0,55,1,0,9,0,7,0,4,0
rkrGstTokenDiceMinMatchLength2,0,44,1,0,7,0,6,0,4,0
rkrGstTokenDiceMinMatchLength3,0,44,1,0,7,0,6,0,4,0
rkrGstTokenDiceVariantMinMatchLength1,0,48,1,1,8,0,7,0,5,0
rkrGstTokenDiceVariantMinMatchLength2,0,42,1,0,7,0,6,0,4,0
rkrGstTokenDiceVariantMinMatchLength3,0,42,1,0,8,0,6,0,4,0
rkrGstTokenJaccardMinMatchLength1,0,74,1,0,8,0,7,0,5,0
rkrGstTokenJaccardMinMatchLength2,0,50,1,0,8,0,7,0,4,0
rkrGstTokenJaccardMinMatchLength3,0,43,1,0,7,0,6,0,4,0
rkrGstTokenOverlapMinMatchLength1,0,49,1,0,8,0,7,0,5,0
rkrGstTokenOverlapMinMatchLength2,0,41,1,0,7,0,6,0,5,0
rkrGstTokenOverlapMinMatchLength3,0,43,1,0,7,0,6,0,4,0
winnowing2GramDice,0,14,1,0,2,0,3,0,2,0
winnowing2GramDiceVariant,0,16,1,0,2,0,3,0,2,0
winnowing2GramJaccard,0,14,1,0,2,0,3,0,2,0
winnowing2GramOverlap,0,14,1,0,2,0,3,0,2,0
winnowing3GramDice,0,14,1,0,2,0,3,0,2,0
winnowing3GramDiceVariant,0,14,1,0,2,0,3,0,2,0
winnowing3GramJaccard,0,19,1,0,3,0,4,0,2,0
winnowing3GramOverlap,0,15,1,0,2,0,3,0,2,0
winnowing4GramDice,0,16,1,0,2,0,3,0,2,0
winnowing4GramDiceVariant,0,14,1,0,2,0,3,0,2,0
winnowing4GramJaccard,0,15,1,0,2,0,3,0,2,0
winnowing4GramOverlap,0,16,1,0,2,0,3,0,2,0
winnowing5GramDice,0,14,1,0,2,0,3,0,2,0
winnowing5GramDiceVariant,0,14,1,0,2,0,3,0,2,0
winnowing5GramJaccard,0,17,1,0,2,0,3,0,2,0
winnowing5GramOverlap,0,14,1,0,3,0,3,0,2,0
winnowingNormalized2GramDice,0,19,1,1,3,0,4,0,2,0
winnowingNormalized2GramDiceVariant,0,19,1,0,3,0,4,0,2,0
winnowingNormalized2GramJaccard,0,20,1,1,3,0,4,0,3,2
winnowingNormalized2GramOverlap,0,18,1,0,4,0,4,0,3,0
winnowingNormalized3GramDice,0,20,1,1,3,0,4,0,2,0
winnowingNormalized3GramDiceVariant,0,19,1,1,4,0,5,0,3,0
winnowingNormalized3GramJaccard,0,20,1,1,3,0,4,0,3,0
winnowingNormalized3GramOverlap,0,19,1,0,3,0,4,0,2,0
winnowingNormalized4GramDice,0,19,1,1,3,0,4,0,2,0
winnowingNormalized4GramDiceVariant,0,19,1,1,3,0,4,0,2,0
winnowingNormalized4GramJaccard,0,21,1,1,3,0,4,0,3,0
winnowingNormalized4GramOverlap,0,20,1,1,3,0,4,0,3,0
winnowingNormalized5GramDice,0,21,1,0,3,0,5,0,3,1
winnowingNormalized5GramDiceVariant,0,19,1,0,3,0,4,0,3,0
winnowingNormalized5GramJaccard,0,22,1,1,3,0,4,0,3,0
winnowingNormalized5GramOverlap,0,19,1,0,3,0,5,0,3,1
winnowingNormalizedShingle2Dice,0,22,1,1,4, no result,5,0,3,0
winnowingNormalizedShingle2DiceVariant,0,20,1,1,4, no result,4,0,3,0
winnowingNormalizedShingle2Jaccard,0,24,1,1,4, no result,4,0,3,0
winnowingNormalizedShingle2Overlap,0,20,1,1,3, no result,4,0,3,0
winnowingNormalizedShingle3Dice,0,21,1,1,4, no result,4,0,3, no result
winnowingNormalizedShingle3DiceVariant,0,21,1,1,4, no result,4,0,3, no result
winnowingNormalizedShingle3Jaccard,0,24,1,1,4, no result,5,0,3, no result
winnowingNormalizedShingle3Overlap,0,21,1,1,4, no result,4,0,3, no result
winnowingNormalizedTokenDice,0,7,0,0,1,0,1,0,1,0
winnowingNormalizedTokenDiceVariant,0,8,0,0,1,0,1,0,1,0
winnowingNormalizedTokenJaccard,0,8,0,0,1,0,1,0,1,0
winnowingNormalizedTokenOverlap,0,8,0,0,1,0,2,0,1,0
winnowingShingle2Dice,0,10,0,0,2, no result,1,0,1,0
winnowingShingle2DiceVariant,0,10,0,0,2, no result,2,0,3,0
winnowingShingle2Jaccard,0,11,0,0,2, no result,2,0,1,0
winnowingShingle2Overlap,0,11,0,0,2, no result,2,0,1,0
winnowingShingle3Dice,0, no result,0,0,2, no result,2,0,1, no result
winnowingShingle3DiceVariant,0, no result,0,0,2, no result,2,0,2, no result
