average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst3GramOverlapMinMatchLength3, 0.0, 37.0, 5.0, 364.0, 2233.0, 137.0, 3.0, 3.0, 8.0, 267.0
longestCommonSubsequence3GramFingerprint, 0.0, 3.0, 0.0, 21.0, 43.0, 6.0, 0.0, 0.0, 1.0, 10.0
manhattanNormalized2Grams, 0.0, 4.0, 0.0, 11.0, 7.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
cosineNormalizedTokensBool, 0.0, 1.0, 0.0, 6.0, 3.0, 2.0, 0.0, 0.0, 0.0, 2.0
rkrGstTokenDiceVariantMinMatchLength1, 0.0, 3.0, 0.0, 21.0, 17.0, 6.0, 0.0, 0.0, 0.0, 7.0
winnowingNormalized2GramDice, 0.0, 3.0, 0.0, 10.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
longestCommonSubsequence2GramFingerprint, 0.0, 4.0, 0.0, 35.0, 92.0, 10.0, 0.0, 0.0, 1.0, 18.0
rkrGst4GramDiceMinMatchLength2, 0.0, 34.0, 5.0, 368.0, 2845.0, 137.0, 4.0, 3.0, 8.0, 308.0
rkrGst4GramDiceMinMatchLength3, 0.0, 34.0, 5.0, 349.0, 2849.0, 137.0, 3.0, 3.0, 8.0, 274.0
winnowing5GramDice, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized4GramDiceMinMatchLength1, 0.0, 25.0, 2.0, 153.0, 337.0, 41.0, 2.0, 1.0, 4.0, 124.0
winnowingNormalized2GramJaccard, 0.0, 3.0, 0.0, 11.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
winnowingNormalized4GramDiceVariant, 0.0, 3.0, 0.0, 11.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstTokenOverlapMinMatchLength1, 0.0, 1.0, 0.0, 16.0, 13.0, 6.0, 0.0, 0.0, 0.0, 7.0
rkrGstNormalized3GramJaccardMinMatchLength2, 0.0, 23.0, 2.0, 143.0, 361.0, 39.0, 2.0, 1.0, 4.0, 159.0
rkrGstShingle3DiceVariantMinMatchLength1, 0.0, no result, 0.0, 32.0, 25.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized2GramDiceMinMatchLength2, 0.0, 22.0, 2.0, 156.0, 346.0, 37.0, 2.0, 1.0, 4.0, 157.0
rkrGstShingle3DiceMinMatchLength1, 0.0, no result, 0.0, 30.0, 25.0, no result, 0.0, 0.0, 1.0, no result
longestCommonSubsequence5GramFingerprintNormalized, 0.0, 5.0, 0.0, 43.0, 124.0, 8.0, 0.0, 0.0, 2.0, 38.0
rkrGstNormalized5GramDiceMinMatchLength2, 0.0, 28.0, 2.0, 180.0, 399.0, 45.0, 2.0, 1.0, 4.0, 164.0
diceVariantNormalizedPadding3grams, 0.0, 3.0, 0.0, 9.0, 7.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGstNormalized2GramOverlapMinMatchLength3, 0.0, 25.0, 2.0, 145.0, 310.0, 32.0, 2.0, 1.0, 4.0, 139.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0.0, 4.0, 0.0, 27.0, 27.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0.0, 24.0, 2.0, 135.0, 342.0, 36.0, 2.0, 1.0, 4.0, 164.0
winnowingShingle3Dice, 0.0, no result, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalizedTokenOverlapMinMatchLength1, 0.0, 2.0, 0.0, 18.0, 13.0, 6.0, 0.0, 0.0, 0.0, 7.0
cosineNormalized3GramsBool, 0.0, 5.0, 0.0, 15.0, 9.0, 5.0, 0.0, 0.0, 1.0, 6.0
winnowingShingle2Dice, 0.0, 1.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
diceVariantNormalizedPadding2grams, 0.0, 3.0, 0.0, 8.0, 6.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGst4GramOverlapMinMatchLength1, 0.0, 39.0, 7.0, 362.0, 2971.0, 144.0, 4.0, 3.0, 8.0, 275.0
rkrGstShingle3OverlapMinMatchLength3, 0.0, no result, 0.0, 28.0, 21.0, no result, 0.0, 0.0, 1.0, no result
rkrGstShingle3OverlapMinMatchLength2, 0.0, no result, 0.0, 26.0, 21.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalizedShingle2Overlap, 0.0, 2.0, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, 4.0
winnowing5GramDiceVariant, 0.0, 2.0, 0.0, 10.0, 9.0, 5.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized5GramOverlapMinMatchLength1, 0.0, 28.0, 2.0, 167.0, 397.0, 41.0, 2.0, 1.0, 5.0, 154.0
rkrGst2GramDiceVariantMinMatchLength1, 0.0, 40.0, 5.0, 319.0, 1188.0, 166.0, 3.0, 2.0, 7.0, 250.0
rkrGstNormalizedTokenDiceMinMatchLength3, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 7.0
diceNormalizedPadding3grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstShingle2DiceMinMatchLength3, 0.0, 2.0, 0.0, 22.0, 19.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGst3GramDiceVariantMinMatchLength1, 0.0, 37.0, 5.0, 301.0, 2231.0, 152.0, 4.0, 3.0, 8.0, 271.0
overlapNormalized3Grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized2GramJaccardMinMatchLength1, 0.0, 24.0, 2.0, 155.0, 314.0, 36.0, 2.0, 1.0, 4.0, 145.0
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0.0, 40.0, 3.0, 283.0, 835.0, 47.0, 3.0, 1.0, 5.0, 202.0
overlap3Grams, 0.0, 3.0, 0.0, 9.0, 6.0, 3.0, 1.0, 0.0, 0.0, 3.0
rkrGst5GramJaccardMinMatchLength2, 0.0, 39.0, 7.0, 501.0, 3490.0, 157.0, 4.0, 5.0, 10.0, 302.0
diceNormalized4Grams, 0.0, 3.0, 0.0, 10.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
winnowingShingle2DiceVariant, 0.0, 1.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
dice4Grams, 0.0, 2.0, 0.0, 8.0, 6.0, 2.0, 0.0, 0.0, 0.0, 3.0
optimalAlignment5GramFingerprint, 0.0, 13.0, 2.0, 226.0, 613.0, 62.0, 2.0, 1.0, 11.0, 135.0
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0.0, 24.0, 3.0, 172.0, 341.0, 37.0, 2.0, 1.0, 4.0, 154.0
rkrGstNormalized4GramDiceMinMatchLength2, 0.0, 23.0, 2.0, 146.0, 357.0, 41.0, 2.0, 1.0, 5.0, 136.0
winnowingTokenJaccard, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
winnowingTokenOverlap, 0.0, 0.0, 0.0, 3.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0
rkrGstShingle3DiceMinMatchLength3, 0.0, no result, 0.0, 42.0, 26.0, no result, 0.0, 0.0, 1.0, no result
rkrGst2GramOverlapMinMatchLength1, 0.0, 37.0, 5.0, 284.0, 1126.0, 171.0, 3.0, 3.0, 8.0, 256.0
rkrGst3GramJaccardMinMatchLength2, 0.0, 36.0, 6.0, 307.0, 2245.0, 150.0, 4.0, 3.0, 9.0, 265.0
rkrGst5GramJaccardMinMatchLength1, 0.0, 40.0, 6.0, 399.0, 3115.0, 142.0, 4.0, 3.0, 9.0, 290.0
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0.0, 4.0, 0.0, 26.0, 26.0, no result, 0.0, 0.0, 1.0, no result
winnowingShingle3Jaccard, 0.0, no result, 0.0, 7.0, 4.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalized2GramOverlapMinMatchLength1, 0.0, 23.0, 2.0, 133.0, 315.0, 37.0, 2.0, 1.0, 4.0, 144.0
