max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst3GramJaccardMinMatchLength2, 0, 44, 10, 342, 2267, 142, 4, 3, 8, 280
rkrGst5GramDiceVariantMinMatchLength1, 0, 94, 8, 407, 3629, 142, 5, 5, 11, 314
dice4Grams, 0, 2, 0, 8, 6, 2, 0, 0, 0, 3
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 24, 2, 153, 338, 38, 2, 1, 4, 126
cosineNormalizedShingle3Bool, 0, 3, 0, 11, 8, no result, 0, 0, 1, no result
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 4, 0, 23, 23, no result, 0, 0, 1, 10
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 25, 2, 155, 368, 44, 2, 1, 4, 131
overlapNormalizedShingles2, 0, 3, 0, 9, 7, no result, 0, 0, 0, 3
rkrGst4GramDiceVariantMinMatchLength2, 0, 36, 5, 352, 2934, 155, 4, 3, 8, 318
rkrGstTokenDiceVariantMinMatchLength2, 0, 2, 0, 17, 13, 5, 0, 0, 0, 6
diceNormalizedTokens, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
rkrGstShingle2DiceVariantMinMatchLength1, 0, 3, 0, 25, 20, no result, 0, 0, 0, 9
rkrGstNormalizedShingle2DiceMinMatchLength1, 0, 4, 0, 24, 24, no result, 0, 0, 1, 12
overlapNormalizedPadding4grams, 0, 3, 0, 11, 9, 4, 0, 0, 0, 5
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 2, 0, 16, 13, 6, 0, 0, 0, 6
winnowing5GramJaccard, 0, 2, 0, 10, 8, 3, 0, 0, 0, 4
cosineNormalized5GramsNormalizedTermFrequency, 0, 5, 0, 16, 11, 5, 0, 0, 1, 7
winnowingNormalized2GramDice, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 23, 2, 154, 360, 37, 2, 1, 4, 132
winnowing4GramDice, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 22, 2, 127, 391, 33, 2, 1, 5, 148
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 0, 27, 23, no result, 0, 0, 1, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 5, 0, 29, 29, no result, 0, 0, 1, 11
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 0, 30, 24, no result, 0, 0, 1, no result
winnowingTokenJaccard, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
rkrGstNormalized4GramDiceMinMatchLength2, 0, 28, 2, 153, 339, 36, 2, 1, 4, 122
jaccardNormalized5Grams, 0, 3, 0, 11, 9, 4, 0, 0, 1, 5
optimalAlignmentShingle2FingerprintNormalized, 0, 4, 0, 11, 9, no result, 0, 0, 0, 4
overlapNormalized4Grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
jaccardNormalized3Grams, 0, 3, 0, 10, 7, 3, 0, 0, 0, 4
optimalAlignmentStandard, 0, 22, 3, 390, 1075, 102, 4, 2, 18, 231
winnowingNormalized3GramDiceVariant, 0, 3, 0, 14, 10, 4, 0, 0, 1, 5
rkrGst4GramDiceMinMatchLength3, 0, 35, 5, 371, 2888, 148, 3, 3, 10, 309
cosineNormalizedTokensNormalizedTermFrequency, 0, 1, 0, 5, 3, 2, 0, 0, 0, 2
