max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
optimalAlignment4GramFingerprint, 0, 12, 2, 248, 683, 63, 2, 1, 10, 148
rkrGstNormalized2GramDiceMinMatchLength3, 0, 24, 3, 125, 370, 34, 2, 1, 5, 160
rkrGstTokenOverlapMinMatchLength1, 0, 2, 0, 21, 14, 6, 0, 0, 0, 8
rkrGstTokenDiceVariantMinMatchLength1, 0, 3, 0, 19, 14, 7, 0, 0, 0, 8
winnowingTokenDice, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
rkrGst2GramJaccardMinMatchLength3, 0, 41, 5, 295, 1227, 184, 3, 3, 10, 283
rkrGstShingle2DiceMinMatchLength3, 0, 2, 0, 23, 22, no result, 0, 0, 1, 12
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 2, 0, 17, 13, 6, 0, 0, 0, 7
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 24, 2, 133, 325, 38, 2, 1, 5, 166
jaccardNormalizedTokens, 0, 3, 0, 10, 7, 3, 0, 0, 0, 4
optimalAlignment4GramFingerprintNormalized, 0, 9, 1, 89, 250, 17, 1, 0, 4, 78
rkrGstShingle2DiceVariantMinMatchLength2, 0, 5, 0, 26, 17, no result, 0, 0, 0, 9
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 0, 26, 21, no result, 0, 0, 1, no result
winnowingNormalized4GramOverlap, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGstNormalized4GramDiceMinMatchLength1, 0, 25, 2, 152, 377, 39, 2, 1, 5, 147
rkrGst4GramOverlapMinMatchLength3, 0, 35, 5, 383, 3026, 135, 3, 3, 8, 277
winnowing5GramOverlap, 0, 2, 0, 9, 9, 3, 0, 0, 0, 4
winnowing2GramOverlap, 0, 3, 0, 11, 10, 3, 0, 0, 0, 4
winnowing3GramJaccard, 0, 3, 0, 12, 9, 3, 0, 0, 0, 4
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 24, 2, 162, 361, 37, 2, 1, 5, 137
diceNormalizedShingles2, 0, 2, 0, 9, 6, no result, 0, 0, 0, 3
longestCommonSubsequenceNormalized, 0, 10, 1, 114, 303, 24, 1, 0, 6, 92
rkrGstTokenJaccardMinMatchLength3, 0, 2, 0, 20, 15, 7, 0, 0, 0, 7
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 24, 2, 158, 359, 38, 2, 1, 4, 132
rkrGst4GramDiceMinMatchLength2, 0, 37, 5, 369, 2940, 140, 4, 3, 8, 278
diceVariantNormalized5Grams, 0, 3, 0, 10, 8, 3, 0, 0, 0, 4
diceTokens, 0, 0, 0, 2, 2, 1, 0, 0, 0, 1
manhattanNormalizedTokens, 0, 1, 0, 5, 3, 2, 0, 0, 0, 2
rkrGst2GramDiceVariantMinMatchLength2, 0, 34, 7, 264, 1114, 159, 3, 2, 7, 272
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 4, 0, 27, 26, no result, 0, 0, 1, no result
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 23, 2, 136, 327, 34, 3, 1, 4, 151
rkrGstTokenDiceVariantMinMatchLength2, 0, 1, 0, 16, 12, 5, 0, 0, 0, 6
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 21, 2, 124, 312, 32, 2, 1, 4, 142
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 23, 2, 136, 326, 37, 2, 1, 4, 152
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 2, 0, 16, 13, 7, 0, 0, 0, 7
winnowingNormalizedShingle3Jaccard, 0, 3, 0, 11, 8, no result, 0, 0, 0, no result
cosineNormalized3GramsBool, 0, 5, 0, 14, 9, 5, 0, 0, 1, 7
rkrGstShingle2JaccardMinMatchLength2, 0, 2, 0, 24, 18, no result, 0, 0, 0, 9
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 25, 2, 160, 364, 41, 2, 1, 4, 136
rkrGstTokenJaccardMinMatchLength1, 0, 2, 0, 18, 14, 8, 0, 0, 0, 6
winnowingNormalized2GramJaccard, 0, 3, 0, 10, 9, 3, 0, 0, 0, 5
rkrGstTokenDiceMinMatchLength3, 0, 1, 0, 16, 12, 5, 0, 0, 0, 6
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 24, 2, 143, 342, 35, 2, 1, 4, 153
diceVariant4Grams, 0, 2, 0, 8, 6, 2, 0, 0, 0, 3
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0, 22, 2, 127, 343, 34, 2, 1, 4, 163
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 10, 5, no result, 0, 0, 0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 4, 0, 28, 29, no result, 0, 0, 1, no result
rkrGst3GramJaccardMinMatchLength3, 0, 34, 5, 297, 2149, 143, 4, 3, 8, 262
jaccardNormalizedPadding3grams, 0, 3, 0, 11, 7, 3, 0, 0, 0, 5
rkrGst3GramDiceMinMatchLength1, 0, 35, 5, 299, 2141, 144, 3, 3, 8, 277
rkrGstNormalized3GramOverlapMinMatchLength3, 0, 21, 2, 132, 324, 35, 2, 1, 4, 162
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 28, 2, 152, 336, 35, 2, 1, 4, 125
winnowingNormalizedTokenJaccard, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
overlapNormalizedPadding2grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
cosineNormalized4GramsNormalizedTermFrequency, 0, 5, 0, 14, 10, 5, 0, 0, 1, 7
optimalAlignmentShingle3FingerprintNormalized, 0, 2, 0, 11, 10, no result, 0, 0, 0, no result
winnowingNormalizedShingle2Dice, 0, 2, 0, 11, 6, no result, 0, 0, 0, 3
rkrGstShingle2DiceVariantMinMatchLength3, 0, 3, 0, 24, 19, no result, 0, 0, 0, 9
rkrGstNormalized5GramDiceMinMatchLength3, 0, 31, 2, 166, 677, 46, 2, 1, 5, 141
