max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized5Grams, 0, 7, 0, 16, 9, 4, 0, 0, 1, 29
winnowingNormalizedShingle3DiceVariant, 0, 27, 0, 21, 10, no result, 0, 0, 1, no result
manhattanNormalized3Grams, 0, 9, 0, 24, 10, 5, 0, 0, 1, 6
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 41, 4, 206, 440, 51, 5, 2, 6, 156
rkrGstTokenOverlapMinMatchLength3, 0, 2, 0, 19, 15, 8, 0, 0, 0, 8
rkrGst4GramJaccardMinMatchLength3, 0, 45, 6, 382, 3009, 144, 4, 3, 10, 294
cosineNormalizedShingle2Bool, 0, 4, 0, 12, 8, no result, 0, 0, 1, 5
overlapNormalizedShingles3, 0, 3, 0, 10, 7, no result, 0, 0, 0, no result
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 33, 2, 141, 337, 37, 2, 1, 4, 160
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 31, 3, 180, 391, 43, 2, 1, 5, 145
diceVariantNormalizedPadding4grams, 0, 4, 0, 11, 9, 4, 0, 0, 0, 5
rkrGst4GramDiceMinMatchLength1, 0, 87, 6, 546, 3313, 148, 4, 3, 9, 298
winnowingNormalized3GramDiceVariant, 0, 4, 0, 11, 10, 4, 0, 0, 0, 6
diceVariantNormalized5Grams, 0, 3, 0, 11, 9, 3, 0, 0, 0, 5
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 5, 0, 28, 30, no result, 0, 0, 1, no result
rkrGstShingle2OverlapMinMatchLength1, 0, 3, 0, 24, 21, no result, 0, 0, 0, 9
winnowingTokenOverlap, 0, 1, 0, 4, 2, 1, 0, 0, 0, 1
optimalAlignmentShingle2Fingerprint, 0, 2, 0, 16, 6, no result, 0, 0, 0, 2
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 2, 0, 16, 13, 8, 0, 0, 0, 7
diceNormalizedPadding5grams, 0, 4, 0, 11, 11, 4, 0, 0, 0, 5
optimalAlignment3GramFingerprintNormalized, 0, 11, 1, 99, 284, 16, 1, 0, 4, 68
jaccardNormalizedPadding2grams, 0, 4, 0, 11, 7, 3, 0, 0, 0, 5
winnowingNormalized3GramOverlap, 0, 4, 0, 11, 11, 5, 0, 0, 0, 5
diceVariantNormalizedTokens, 0, 1, 0, 5, 3, 1, 0, 0, 0, 1
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 30, 2, 166, 358, 39, 2, 1, 4, 130
levenshteinStandard, 0, 5, 0, 90, 261, 21, 1, 0, 4, 55
rkrGst4GramJaccardMinMatchLength2, 0, 40, 5, 377, 2981, 162, 4, 3, 9, 307
rkrGstTokenDiceVariantMinMatchLength1, 0, 3, 0, 23, 15, 6, 0, 0, 0, 8
winnowingNormalized2GramOverlap, 0, 3, 0, 12, 10, 3, 1, 0, 1, 15
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 5, 0, 30, 30, no result, 0, 0, 1, no result
winnowingNormalizedShingle3Dice, 0, 3, 0, 10, 8, no result, 0, 0, 1, no result
rkrGst3GramOverlapMinMatchLength3, 0, 36, 5, 307, 2251, 159, 3, 3, 8, 270
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 5, 0, 29, 28, no result, 0, 0, 1, no result
winnowingNormalizedTokenDice, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
diceVariant3Grams, 0, 2, 0, 7, 5, 3, 0, 0, 0, 3
optimalAlignmentShingle3Fingerprint, 0, no result, 0, 8, 8, no result, 0, 0, 0, no result
rkrGst5GramOverlapMinMatchLength1, 0, 40, 6, 402, 3373, 143, 4, 3, 9, 427
rkrGst2GramDiceVariantMinMatchLength3, 0, 51, 5, 319, 1333, 190, 3, 3, 9, 265
rkrGstShingle3DiceMinMatchLength3, 0, no result, 0, 35, 30, no result, 0, 0, 1, no result
rkrGst2GramOverlapMinMatchLength1, 0, 41, 5, 321, 1146, 170, 3, 2, 9, 251
longestCommonSubsequenceShingle2FingerprintNormalized, 0, 2, 0, 10, 9, no result, 0, 0, 0, 4
longestCommonSubsequence4GramFingerprintNormalized, 0, 6, 1, 53, 135, 11, 0, 0, 2, 40
winnowingNormalizedShingle2Overlap, 0, 4, 0, 8, 6, no result, 0, 0, 0, 3
winnowingNormalized4GramDice, 0, 4, 0, 10, 9, 4, 0, 0, 0, 5
cosineNormalized4GramsNormalizedTermFrequency, 0, 6, 0, 16, 11, 6, 0, 0, 1, 6
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 4, 0, 28, 26, no result, 0, 0, 1, no result
rkrGstShingle2JaccardMinMatchLength2, 0, 2, 0, 27, 18, no result, 1, 0, 1, 10
winnowingNormalizedShingle3Overlap, 0, 8, 0, 10, 22, no result, 0, 0, 1, no result
rkrGst2GramOverlapMinMatchLength2, 0, 37, 4, 267, 1132, 168, 3, 3, 7, 240
winnowingNormalized3GramDice, 0, 3, 0, 10, 9, 4, 0, 0, 0, 5
diceNormalized2Grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
diceVariantNormalized3Grams, 0, 3, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalized4GramDiceMinMatchLength1, 0, 26, 2, 162, 345, 40, 2, 1, 4, 126
cosineNormalized4GramsTermFrequency, 0, 7, 0, 15, 11, 5, 0, 0, 1, 7
winnowing5GramOverlap, 0, 2, 0, 9, 9, 3, 0, 0, 0, 4
rkrGstShingle3DiceMinMatchLength1, 0, no result, 0, 28, 26, no result, 0, 0, 1, no result
rkrGstNormalized3GramDiceMinMatchLength3, 0, 21, 2, 137, 326, 34, 2, 1, 4, 149
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 26, 2, 146, 329, 36, 2, 1, 5, 225
diceShingles3, 0, no result, 0, 8, 5, no result, 0, 0, 0, no result
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 0, 32, 23, no result, 0, 0, 1, no result
rkrGst4GramOverlapMinMatchLength2, 0, 37, 5, 353, 3025, 141, 4, 3, 9, 304
winnowing3GramDiceVariant, 0, 3, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 2, 0, 17, 12, 6, 0, 0, 0, 7
winnowing4GramDiceVariant, 0, 2, 0, 9, 11, 4, 0, 0, 0, 5
winnowingShingle3Jaccard, 0, no result, 0, 7, 5, no result, 0, 0, 1, no result
