average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized5Grams, 0.0, 7.0, 0.0, 16.0, 9.0, 4.0, 0.0, 0.0, 1.0, 29.0
winnowingNormalizedShingle3DiceVariant, 0.0, 27.0, 0.0, 21.0, 10.0, no result, 0.0, 0.0, 1.0, no result
manhattanNormalized3Grams, 0.0, 9.0, 0.0, 24.0, 10.0, 5.0, 0.0, 0.0, 1.0, 6.0
rkrGstNormalized4GramJaccardMinMatchLength1, 0.0, 41.0, 4.0, 206.0, 440.0, 51.0, 5.0, 2.0, 6.0, 156.0
rkrGstTokenOverlapMinMatchLength3, 0.0, 2.0, 0.0, 19.0, 15.0, 8.0, 0.0, 0.0, 0.0, 8.0
rkrGst4GramJaccardMinMatchLength3, 0.0, 45.0, 6.0, 382.0, 3009.0, 144.0, 4.0, 3.0, 10.0, 294.0
cosineNormalizedShingle2Bool, 0.0, 4.0, 0.0, 12.0, 8.0, no result, 0.0, 0.0, 1.0, 5.0
overlapNormalizedShingles3, 0.0, 3.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalized3GramOverlapMinMatchLength1, 0.0, 33.0, 2.0, 141.0, 337.0, 37.0, 2.0, 1.0, 4.0, 160.0
rkrGstNormalized5GramJaccardMinMatchLength1, 0.0, 31.0, 3.0, 180.0, 391.0, 43.0, 2.0, 1.0, 5.0, 145.0
diceVariantNormalizedPadding4grams, 0.0, 4.0, 0.0, 11.0, 9.0, 4.0, 0.0, 0.0, 0.0, 5.0
rkrGst4GramDiceMinMatchLength1, 0.0, 87.0, 6.0, 546.0, 3313.0, 148.0, 4.0, 3.0, 9.0, 298.0
winnowingNormalized3GramDiceVariant, 0.0, 4.0, 0.0, 11.0, 10.0, 4.0, 0.0, 0.0, 0.0, 6.0
diceVariantNormalized5Grams, 0.0, 3.0, 0.0, 11.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0.0, 5.0, 0.0, 28.0, 30.0, no result, 0.0, 0.0, 1.0, no result
rkrGstShingle2OverlapMinMatchLength1, 0.0, 3.0, 0.0, 24.0, 21.0, no result, 0.0, 0.0, 0.0, 9.0
winnowingTokenOverlap, 0.0, 1.0, 0.0, 4.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
