total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,5,0,12,7,4,0,0,1,5
cosineNormalized2GramsNormalizedTermFrequency,0,4,0,11,7,4,0,0,1,5
cosineNormalized2GramsTermFrequency,0,5,0,20,10,4,0,0,1,5
cosineNormalized3GramsBool,0,5,0,14,9,5,0,0,1,7
cosineNormalized3GramsNormalizedTermFrequency,0,7,0,14,11,22,0,0,1,6
cosineNormalized3GramsTermFrequency,0,5,0,14,9,7,0,0,1,6
cosineNormalized4GramsBool,0,5,0,15,10,5,0,0,1,6
cosineNormalized4GramsNormalizedTermFrequency,0,5,0,14,10,5,0,0,1,7
cosineNormalized4GramsTermFrequency,0,5,0,15,12,6,0,0,1,7
cosineNormalized5GramsBool,0,5,0,16,10,5,0,0,1,7
cosineNormalized5GramsNormalizedTermFrequency,0,5,0,15,10,5,0,0,1,7
cosineNormalized5GramsTermFrequency,0,6,0,17,12,6,1,0,1,7
cosineNormalizedShingle2Bool,0,3,0,10,7, no result,0,0,0,5
cosineNormalizedShingle2NormalizedTermFrequency,0,3,0,11,8, no result,0,0,1,4
cosineNormalizedShingle2TermFrequency,0,2,0,10,8, no result,0,0,1,4
cosineNormalizedShingle3Bool,0,2,0,10,8, no result,0,0,1, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,3,0,13,10, no result,0,0,0, no result
cosineNormalizedShingle3TermFrequency,0,4,0,12,8, no result,0,0,1, no result
cosineNormalizedTokensBool,0,1,0,5,3,2,0,0,0,2
cosineNormalizedTokensNormalizedTermFrequency,0,1,0,5,4,2,0,0,0,3
cosineNormalizedTokensTermFrequency,0,1,0,5,3,2,0,0,0,2
damerauLevenshteinNormalized,0,24,4,311,950,75,4,2,17,285
damerauLevenshteinStandard,0,28,4,533,1619,132,6,2,23,316
dice2Grams,0,2,0,7,5,2,0,0,0,2
dice3Grams,0,2,0,7,5,2,0,0,0,4
dice4Grams,0,2,0,7,5,2,0,0,0,3
dice5Grams,0,2,0,9,7,3,0,0,0,3
diceNormalized2Grams,0,2,0,8,6,3,0,0,0,4
diceNormalized3Grams,0,3,0,9,7,3,0,0,0,4
diceNormalized4Grams,0,3,0,9,7,3,0,0,0,4
diceNormalized5Grams,0,3,0,10,8,3,0,0,0,5
diceNormalizedPadding2grams,0,2,0,9,6,3,0,0,0,4
diceNormalizedPadding3grams,0,3,0,9,7,3,0,0,0,4
diceNormalizedPadding4grams,0,3,0,11,8,4,0,0,0,5
diceNormalizedPadding5grams,0,3,0,10,8,3,0,0,0,5
diceNormalizedShingles2,0,2,0,9,6, no result,0,0,0,3
diceNormalizedShingles3,0,2,0,9,7, no result,0,0,0, no result
diceNormalizedTokens,0,1,0,4,2,1,0,0,0,1
diceShingles2,0,1,0,5,4, no result,0,0,0,2
diceShingles3,0, no result,0,6,4, no result,0,0,0, no result
diceTokens,0,0,0,2,2,1,0,0,0,1
diceVariant2Grams,0,2,0,7,6,2,0,0,0,3
diceVariant3Grams,0,2,0,7,6,2,0,0,0,3
diceVariant4Grams,0,2,0,8,6,2,0,0,0,3
diceVariant5Grams,0,2,0,8,8,3,0,0,0,3
diceVariantNormalized2Grams,0,2,0,9,6,3,0,0,0,4
diceVariantNormalized3Grams,0,3,0,10,7,3,0,0,0,4
diceVariantNormalized4Grams,0,4,0,11,8,3,0,0,0,5
diceVariantNormalized5Grams,0,3,0,10,8,3,0,0,0,4
diceVariantNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,4
diceVariantNormalizedPadding3grams,0,3,0,9,7,3,0,0,0,4
diceVariantNormalizedPadding4grams,0,3,0,10,8,3,0,0,1,6
diceVariantNormalizedPadding5grams,0,3,0,10,8,3,0,0,0,5
diceVariantNormalizedShingles2,0,2,0,8,8, no result,0,0,0,4
diceVariantNormalizedShingles3,0,2,0,9,7, no result,0,0,2, no result
diceVariantNormalizedTokens,0,1,0,3,2,1,0,0,0,1
diceVariantShingles2,0,1,0,6,4, no result,0,0,0,2
diceVariantShingles3,0, no result,0,6,5, no result,0,0,0, no result
diceVariantTokens,0,0,0,2,2,1,0,0,0,1
jaccard2Grams,0,3,0,8,6,3,0,0,0,3
jaccard3Grams,0,2,0,8,5,3,0,0,0,3
jaccard4Grams,0,3,0,9,7,4,0,0,0,4
jaccard5Grams,0,2,0,9,7,3,0,0,1,4
jaccardNormalized2Grams,0,3,0,9,7,3,0,0,0,4
jaccardNormalized3Grams,0,4,0,11,8,4,0,0,0,5
jaccardNormalized4Grams,0,4,0,12,9,4,0,0,1,5
jaccardNormalized5Grams,0,3,0,11,8,4,0,0,0,5
jaccardNormalizedPadding2grams,0,3,0,10,7,3,0,0,0,5
jaccardNormalizedPadding3grams,0,3,0,11,7,3,0,0,0,5
jaccardNormalizedPadding4grams,0,4,0,13,10,4,0,0,1,5
jaccardNormalizedPadding5grams,0,3,0,14,11,4,0,0,1,5
jaccardNormalizedShingles2,0,2,0,9,6, no result,0,0,0,4
jaccardNormalizedShingles3,0,2,0,10,7, no result,0,0,0, no result
jaccardNormalizedTokens,0,3,0,10,7,3,0,0,0,4
jaccardShingles2,0,1,0,7,6, no result,0,0,0,2
jaccardShingles3,0, no result,0,8,5, no result,0,0,0, no result
jaccardTokens,0,0,0,3,2,1,0,0,0,1
levenshteinNormalized,0,4,0,51,139,11,0,0,3,44
levenshteinStandard,0,5,0,95,338,21,1,0,4,65
longestCommonSubsequence2GramFingerprint,0,4,0,34,91,10,0,0,2,23
longestCommonSubsequence2GramFingerprintNormalized,0,5,0,38,103,8,0,0,2,31
longestCommonSubsequence3GramFingerprint,0,3,0,19,40,5,0,0,1,10
longestCommonSubsequence3GramFingerprintNormalized,0,5,0,37,101,8,0,0,2,30
longestCommonSubsequence4GramFingerprint,0,2,0,15,38,5,0,0,1,7
longestCommonSubsequence4GramFingerprintNormalized,0,5,0,38,103,8,0,0,2,31
longestCommonSubsequence5GramFingerprint,0,2,0,11,18,4,0,0,0,6
longestCommonSubsequence5GramFingerprintNormalized,0,5,0,37,99,8,0,0,2,30
longestCommonSubsequenceNormalized,0,10,1,114,303,24,1,0,6,92
longestCommonSubsequenceShingle2Fingerprint,0,1,0,7,5, no result,1,0,0,3
longestCommonSubsequenceShingle2FingerprintNormalized,0,2,0,9,7, no result,0,0,0,3
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,10,5, no result,0,0,0, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,2,0,10,8, no result,0,0,0, no result
longestCommonSubsequenceStandard,0,10,1,197,559,51,2,1,8,111
manhattanNormalized2Grams,0,4,0,12,8,4,0,0,1,5
manhattanNormalized3Grams,0,5,0,13,8,5,0,0,1,5
manhattanNormalized4Grams,0,5,0,14,10,5,0,0,1,6
manhattanNormalized5Grams,0,5,0,16,11,6,0,0,1,7
manhattanNormalizedShingles2,0,3,0,10,7, no result,0,0,0,4
manhattanNormalizedShingles3,0,3,0,11,8, no result,0,0,0, no result
manhattanNormalizedTokens,0,1,0,5,3,2,0,0,0,2
optimalAlignment2GramFingerprint,0,13,2,259,677,70,3,1,10,152
