total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,22,2,1,4,0,4,0,3,0
cosineNormalized2GramsNormalizedTermFrequency,0,23,2,1,4,0,4,0,3,0
cosineNormalized2GramsTermFrequency,0,23,2,1,4,0,4,0,3,1
cosineNormalized3GramsBool,0,31,2,1,5,0,7,0,4,1
cosineNormalized3GramsNormalizedTermFrequency,0,36,2,1,6,0,7,0,4,1
cosineNormalized3GramsTermFrequency,0,28,2,1,6,0,6,0,4,1
cosineNormalized4GramsBool,0,35,5,1,5,0,7,0,5,1
cosineNormalized4GramsNormalizedTermFrequency,0,39,3,1,6,0,7,0,7,1
cosineNormalized4GramsTermFrequency,0,33,2,1,5,0,7,0,6,1
cosineNormalized5GramsBool,0,35,2,1,6,0,7,0,5,1
cosineNormalized5GramsNormalizedTermFrequency,0,35,2,1,6,0,7,0,5,1
cosineNormalized5GramsTermFrequency,0,38,2,1,6,0,7,0,5,1
cosineNormalizedShingle2Bool,0,23,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2NormalizedTermFrequency,0,24,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2TermFrequency,0,36,1,1,4, no result,5,0,3,0
cosineNormalizedShingle3Bool,0,25,1,1,5, no result,6,0,4, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,32,2,1,6, no result,6,0,3, no result
cosineNormalizedShingle3TermFrequency,0,25,2,1,5, no result,5,0,3, no result
cosineNormalizedTokensBool,0,10,0,0,2,0,2,0,1,0
cosineNormalizedTokensNormalizedTermFrequency,0,10,0,0,2,0,2,0,1,0
cosineNormalizedTokensTermFrequency,0,10,0,0,1,0,2,0,1,0
damerauLevenshteinNormalized,0,556,33,2,67,1,130,0,63,3
damerauLevenshteinStandard,0,566,33,3,66,1,135,0,60,3
dice2Grams,0,11,1,0,1,0,2,0,2,0
dice3Grams,0,12,1,0,2,0,2,0,2,0
