max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowingNormalized2GramDice, 0, 21, 1, 1, 3, 0, 4, 0, 2, 0
winnowingNormalized4GramOverlap, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
cosineNormalized4GramsBool, 0, 35, 5, 1, 5, 0, 7, 0, 5, 1
rkrGst3GramDiceVariantMinMatchLength1, 0, 887, 22, 6, 80, 2, 77, 0, 55, 5
winnowing2GramDiceVariant, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 2, 0, 11, no result, 10, 0, 7, no result
cosineNormalized5GramsBool, 0, 35, 2, 1, 6, 0, 7, 0, 5, 1
jaccard4Grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
optimalAlignment4GramFingerprint, 0, 221, 14, 1, 27, 0, 53, 0, 26, 1
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 558, 18, 4, 51, 1, 63, 0, 43, 3
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 81, 3, 1, 12, no result, 14, 0, 8, 1
longestCommonSubsequence3GramFingerprint, 0, 24, 1, 0, 3, 0, 5, 0, 3, 0
rkrGst2GramDiceVariantMinMatchLength2, 0, 602, 19, 4, 66, 1, 70, 0, 51, 4
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 601, 19, 4, 63, 2, 73, 0, 47, 4
overlapNormalizedShingles2, 0, 21, 1, 1, 3, no result, 4, 0, 2, 0
optimalAlignment4GramFingerprintNormalized, 0, 178, 13, 1, 20, 0, 41, 0, 20, 1
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 507, 16, 4, 52, 1, 58, 0, 39, 3
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 571, 24, 4, 58, 1, 64, 0, 47, 4
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 521, 18, 4, 55, 1, 58, 0, 39, 3
optimalAlignmentShingle2FingerprintNormalized, 0, 30, 1, 1, 5, no result, 6, 0, 4, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 60, 2, 1, 9, 0, 6, 0, 5, 0
levenshteinNormalized, 0, 99, 6, 0, 12, 0, 29, 0, 12, 0
winnowing4GramDice, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
diceNormalizedPadding5grams, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
rkrGst3GramDiceMinMatchLength1, 0, 728, 21, 5, 75, 2, 78, 0, 53, 4
winnowingNormalizedShingle3Overlap, 0, 21, 1, 1, 4, no result, 5, 0, 3, no result
diceVariantTokens, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
manhattanNormalized3Grams, 0, 29, 2, 1, 5, 0, 6, 0, 4, 1
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 523, 17, 4, 52, 1, 60, 0, 40, 4
optimalAlignment3GramFingerprintNormalized, 0, 169, 11, 1, 19, 0, 40, 0, 19, 1
rkrGstNormalized5GramDiceMinMatchLength3, 0, 558, 18, 4, 56, 1, 64, 0, 48, 3
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 92, 4, 1, 14, no result, 16, 0, 9, no result
winnowingNormalizedShingle3Jaccard, 0, 23, 2, 1, 5, no result, 7, 0, 4, no result
rkrGstShingle2OverlapMinMatchLength1, 0, 64, 2, 1, 10, no result, 9, 0, 6, 0
