total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,23,2,1,4,0,6,0,4,1
cosineNormalized2GramsNormalizedTermFrequency,0,23,2,1,4,0,4,0,3,0
cosineNormalized2GramsTermFrequency,0,22,2,1,4,0,4,0,3,0
cosineNormalized3GramsBool,0,33,3,1,5,0,7,0,4,1
cosineNormalized3GramsNormalizedTermFrequency,0,31,2,1,5,0,6,0,4,1
cosineNormalized3GramsTermFrequency,0,29,2,1,6,0,7,0,5,1
cosineNormalized4GramsBool,0,35,2,1,5,0,6,0,5,1
cosineNormalized4GramsNormalizedTermFrequency,0,40,3,1,6,0,8,0,5,1
cosineNormalized4GramsTermFrequency,0,34,2,1,5,0,7,0,6,1
cosineNormalized5GramsBool,0,36,2,1,6,0,7,0,5,1
cosineNormalized5GramsNormalizedTermFrequency,0,37,3,1,7,0,8,0,5,1
cosineNormalized5GramsTermFrequency,0,35,2,1,6,0,7,0,5,1
cosineNormalizedShingle2Bool,0,33,2,1,5, no result,5,0,4,0
cosineNormalizedShingle2NormalizedTermFrequency,0,24,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2TermFrequency,0,28,2,1,5, no result,5,0,3,0
cosineNormalizedShingle3Bool,0,31,2,1,6, no result,7,0,4, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,25,1,1,4, no result,6,0,4, no result
cosineNormalizedShingle3TermFrequency,0,25,2,1,4, no result,5,0,3, no result
cosineNormalizedTokensBool,0,11,0,0,2,0,1,0,1,0
cosineNormalizedTokensNormalizedTermFrequency,0,10,0,0,2,0,2,0,1,0
cosineNormalizedTokensTermFrequency,0,10,0,0,2,0,2,0,1,0
damerauLevenshteinNormalized,0,569,37,2,66,1,130,0,63,3
damerauLevenshteinStandard,0,594,31,2,65,1,125,0,79,3
dice2Grams,0,10,1,0,1,0,2,0,1,0
dice3Grams,0,16,1,0,2,0,3,0,2,0
dice4Grams,0,14,1,0,2,0,3,0,2,0
dice5Grams,0,16,1,0,2,0,3,0,2,0
diceNormalized2Grams,0,17,1,0,3,0,3,0,2,0
diceNormalized3Grams,0,18,1,0,4,0,4,0,3,0
diceNormalized4Grams,0,20,1,0,3,0,4,0,3,0
diceNormalized5Grams,0,20,1,0,3,0,4,0,2,0
diceNormalizedPadding2grams,0,17,1,0,3,0,3,0,2,0
diceNormalizedPadding3grams,0,18,1,0,3,0,4,0,2,0
diceNormalizedPadding4grams,0,20,1,1,4,0,4,0,3,0
diceNormalizedPadding5grams,0,23,1,1,4,0,4,0,3,0
diceNormalizedShingles2,0,20,1,1,3, no result,4,0,3,0
diceNormalizedShingles3,0,21,1,1,4, no result,4,0,3, no result
diceNormalizedTokens,0,7,0,0,1,0,1,0,1,0
diceShingles2,0,10,0,0,2, no result,1,0,1,0
diceShingles3,0, no result,1,0,2, no result,2,0,1, no result
diceTokens,0,3,0,0,0,0,0,0,0,0
diceVariant2Grams,0,10,1,0,1,0,2,0,1,0
diceVariant3Grams,0,13,1,0,2,0,3,0,2,0
diceVariant4Grams,0,14,1,0,2,0,3,0,2,0
diceVariant5Grams,0,16,1,0,2,0,3,0,2,0
diceVariantNormalized2Grams,0,16,1,0,2,0,3,0,2,0
diceVariantNormalized3Grams,0,20,1,0,3,0,4,0,2,0
diceVariantNormalized4Grams,0,20,1,0,3,0,4,0,3,0
diceVariantNormalized5Grams,0,22,1,1,3,0,4,0,3,0
diceVariantNormalizedPadding2grams,0,16,1,0,2,0,3,0,2,0
diceVariantNormalizedPadding3grams,0,18,1,0,3,0,4,0,2,0
diceVariantNormalizedPadding4grams,0,24,1,1,3,0,5,0,3,0
diceVariantNormalizedPadding5grams,0,21,1,1,4,0,4,0,3,0
diceVariantNormalizedShingles2,0,20,1,1,4, no result,4,0,3,0
diceVariantNormalizedShingles3,0,22,1,1,4, no result,4,0,3, no result
diceVariantNormalizedTokens,0,7,0,0,1,0,1,0,1,0
diceVariantShingles2,0,10,0,0,2, no result,2,0,1,0
diceVariantShingles3,0, no result,1,0,2, no result,2,0,1, no result
diceVariantTokens,0,3,0,0,0,0,0,0,0,0
jaccard2Grams,0,12,1,0,3,0,2,0,1,0
jaccard3Grams,0,18,1,0,2,0,3,0,2,0
jaccard4Grams,0,17,1,0,3,0,4,0,2,0
jaccard5Grams,0,17,1,0,3,0,4,0,2,0
