total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized2Grams,0,18,1,1,3,0,3,0,2,1
jaccardNormalized3Grams,0,20,1,0,3,0,4,0,3,0
jaccardNormalized4Grams,0,22,1,1,3,0,4,0,3,0
jaccardNormalized5Grams,0,151,3,18,6,0,5,0,3,1
jaccardNormalizedPadding2grams,0,20,1,1,3,0,6,0,4,0
jaccardNormalizedPadding3grams,0,23,2,1,4,0,4,0,3,0
jaccardNormalizedPadding4grams,0,26,2,1,4,0,5,0,4,0
jaccardNormalizedPadding5grams,0,26,2,1,4,0,5,0,3,0
jaccardNormalizedShingles2,0,23,1,1,5, no result,5,0,4,0
jaccardNormalizedShingles3,0,24,1,1,4, no result,4,0,3, no result
jaccardNormalizedTokens,0,22,1,0,5,0,5,0,3,0
jaccardShingles2,0,11,0,0,2, no result,2,0,1,0
jaccardShingles3,0, no result,0,0,2, no result,2,0,1, no result
jaccardTokens,0,4,0,0,0,0,0,0,0,0
levenshteinNormalized,0,98,5,0,12,0,24,0,11,0
levenshteinStandard,0,125,6,0,11,0,22,0,11,0
longestCommonSubsequence2GramFingerprint,0,41,2,0,6,0,9,0,5,0
longestCommonSubsequence2GramFingerprintNormalized,0,103,6,1,12,0,23,0,12,1
longestCommonSubsequence3GramFingerprint,0,25,1,0,3,0,5,0,3,0
longestCommonSubsequence3GramFingerprintNormalized,0,104,6,1,12,0,24,0,12,1
longestCommonSubsequence4GramFingerprint,0,20,1,0,3,0,4,0,2,0
longestCommonSubsequence4GramFingerprintNormalized,0,106,7,1,12,0,23,0,11,1
longestCommonSubsequence5GramFingerprint,0,17,1,2,2,0,3,0,2,0
longestCommonSubsequence5GramFingerprintNormalized,0,97,6,0,13,0,24,0,12,1
longestCommonSubsequenceNormalized,0,204,12,1,27,0,45,0,23,1
longestCommonSubsequenceShingle2Fingerprint,0,11,0,0,2, no result,2,0,1,0
longestCommonSubsequenceShingle2FingerprintNormalized,0,39,1,1,5, no result,5,0,3,0
longestCommonSubsequenceShingle3Fingerprint,0, no result,1,0,2, no result,2,0,1, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,22,1,1,4, no result,5,0,3, no result
longestCommonSubsequenceStandard,0,226,11,1,24,0,46,0,24,1
manhattanNormalized2Grams,0,22,2,1,4,0,4,0,3,0
manhattanNormalized3Grams,0,75,4,3,5,0,7,0,4,1
manhattanNormalized4Grams,0,32,4,1,5,0,6,0,4,1
manhattanNormalized5Grams,0,33,2,1,6,0,6,0,4,1
manhattanNormalizedShingles2,0,23,1,1,4, no result,5,0,3,0
manhattanNormalizedShingles3,0,25,2,3,4, no result,5,0,3, no result
manhattanNormalizedTokens,0,10,0,0,1,0,1,0,1,0
optimalAlignment2GramFingerprint,0,213,12,1,25,0,58,0,26,1
optimalAlignment2GramFingerprintNormalized,0,161,11,1,19,0,37,0,18,1
optimalAlignment3GramFingerprint,0,219,15,1,35,0,53,0,30,1
optimalAlignment3GramFingerprintNormalized,0,184,13,1,21,0,39,0,18,1
optimalAlignment4GramFingerprint,0,205,12,1,25,0,47,0,23,1
optimalAlignment4GramFingerprintNormalized,0,158,11,1,18,0,39,0,21,1
optimalAlignment5GramFingerprint,0,221,13,1,27,0,52,0,28,1
optimalAlignment5GramFingerprintNormalized,0,155,10,1,18,0,37,0,18,1
optimalAlignmentNormalized,0,472,24,2,51,0,93,0,47,2
optimalAlignmentShingle2Fingerprint,0,49,2,0,3, no result,3,0,2,0
optimalAlignmentShingle2FingerprintNormalized,0,25,2,1,4, no result,5,0,3,0
optimalAlignmentShingle3Fingerprint,0, no result,0,0,3, no result,2,0,2, no result
optimalAlignmentShingle3FingerprintNormalized,0,29,2,1,5, no result,5,0,3, no result
optimalAlignmentStandard,0,416,24,1,57,0,95,0,51,2
overlap2Grams,0,10,0,0,1,0,2,0,1,0
overlap3Grams,0,13,1,0,2,0,2,0,2,0
overlap4Grams,0,14,1,3,4,0,3,0,2,0
overlap5Grams,0,18,1,0,2,0,3,0,2,0
overlapNormalized2Grams,0,16,1,0,3,0,3,0,2,0
overlapNormalized3Grams,0,21,1,0,3,0,4,0,2,0
overlapNormalized4Grams,0,21,1,1,3,0,4,0,2,0
overlapNormalized5Grams,0,20,1,0,3,0,4,0,2,0
overlapNormalizedPadding2grams,0,19,1,1,3,0,3,0,2,0
overlapNormalizedPadding3grams,0,18,1,1,3,0,4,0,2,0
overlapNormalizedPadding4grams,0,21,1,1,3,0,4,0,3,0
overlapNormalizedPadding5grams,0,20,1,0,3,0,4,0,3,0
overlapNormalizedShingles2,0,20,1,1,4, no result,4,0,3,0
overlapNormalizedShingles3,0,23,1,2,4, no result,4,0,3, no result
overlapNormalizedTokens,0,24,1,1,4,0,5,0,3,0
overlapShingles2,0,10,0,0,2, no result,2,0,1,0
overlapShingles3,0, no result,0,0,2, no result,2,0,1, no result
overlapTokens,0,3,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength1,0,626,19,5,70,2,75,0,52,4
rkrGst2GramDiceMinMatchLength2,0,604,19,4,68,1,70,0,49,3
rkrGst2GramDiceMinMatchLength3,0,616,20,4,69,2,85,0,54,4
rkrGst2GramDiceVariantMinMatchLength1,0,680,21,5,71,2,76,0,52,4
rkrGst2GramDiceVariantMinMatchLength2,0,612,21,5,69,2,70,0,51,4
rkrGst2GramDiceVariantMinMatchLength3,0,866,24,5,91,3,73,0,56,6
rkrGst2GramJaccardMinMatchLength1,0,647,20,5,72,2,91,0,54,4
rkrGst2GramJaccardMinMatchLength2,0,635,20,4,71,2,70,0,52,4
rkrGst2GramJaccardMinMatchLength3,0,615,19,4,69,2,73,0,54,4
rkrGst2GramOverlapMinMatchLength1,0,741,25,5,75,2,74,0,52,4
rkrGst2GramOverlapMinMatchLength2,0,609,20,4,71,2,69,0,51,3
rkrGst2GramOverlapMinMatchLength3,0,627,20,4,67,2,67,0,49,3
rkrGst3GramDiceMinMatchLength1,0,693,23,6,77,2,77,0,54,4
rkrGst3GramDiceMinMatchLength2,0,661,25,5,73,1,72,0,52,4
rkrGst3GramDiceMinMatchLength3,0,787,21,5,71,2,72,0,51,4
rkrGst3GramDiceVariantMinMatchLength1,0,714,21,5,79,2,92,0,65,5
rkrGst3GramDiceVariantMinMatchLength2,0,656,20,4,73,2,70,0,54,4
rkrGst3GramDiceVariantMinMatchLength3,0,689,25,6,80,2,78,0,61,4
rkrGst3GramJaccardMinMatchLength1,0,710,22,5,77,2,78,0,54,4
rkrGst3GramJaccardMinMatchLength2,0,688,21,5,72,2,74,0,70,4
rkrGst3GramJaccardMinMatchLength3,0,666,22,4,72,2,75,0,53,4
rkrGst3GramOverlapMinMatchLength1,0,741,21,5,77,2,76,0,57,4
rkrGst3GramOverlapMinMatchLength2,0,689,20,4,77,3,71,0,51,4
rkrGst3GramOverlapMinMatchLength3,0,699,20,4,82,3,76,0,53,4
rkrGst4GramDiceMinMatchLength1,0,778,37,6,90,2,85,0,59,5
rkrGst4GramDiceMinMatchLength2,0,723,21,5,87,2,80,0,69,5
rkrGst4GramDiceMinMatchLength3,0,719,21,4,75,2,82,0,58,4
rkrGst4GramDiceVariantMinMatchLength1,0,755,23,7,85,2,85,0,60,5
rkrGst4GramDiceVariantMinMatchLength2,0,708,21,5,73,2,78,0,54,4
rkrGst4GramDiceVariantMinMatchLength3,0,709,23,5,79,2,95,0,60,4
rkrGst4GramJaccardMinMatchLength1,0,762,22,5,79,3,103,0,68,4
rkrGst4GramJaccardMinMatchLength2,0,722,22,5,77,2,84,0,59,4
rkrGst4GramJaccardMinMatchLength3,0,782,23,6,78,2,87,0,64,5
rkrGst4GramOverlapMinMatchLength1,0,846,22,5,77,2,93,0,60,4
rkrGst4GramOverlapMinMatchLength2,0,766,23,4,74,2,79,0,55,4
rkrGst4GramOverlapMinMatchLength3,0,720,21,4,72,2,79,0,63,5
rkrGst5GramDiceMinMatchLength1,0,803,22,6,86,2,91,0,62,4
rkrGst5GramDiceMinMatchLength2,0,748,20,4,79,2,82,0,59,4
rkrGst5GramDiceMinMatchLength3,0,747,21,4,79,2,86,0,58,4
rkrGst5GramDiceVariantMinMatchLength1,0,904,23,6,98,2,101,0,73,6
rkrGst5GramDiceVariantMinMatchLength2,0,739,21,5,91,2,81,0,58,4
rkrGst5GramDiceVariantMinMatchLength3,0,737,22,4,81,3,84,0,57,4
rkrGst5GramJaccardMinMatchLength1,0,791,22,6,86,3,89,0,63,4
rkrGst5GramJaccardMinMatchLength2,0,788,21,5,84,2,82,0,61,4
rkrGst5GramJaccardMinMatchLength3,0,749,22,5,87,2,83,0,71,5
rkrGst5GramOverlapMinMatchLength1,0,811,22,5,91,2,90,0,63,7
rkrGst5GramOverlapMinMatchLength2,0,768,21,4,78,2,79,0,57,4
rkrGst5GramOverlapMinMatchLength3,0,753,21,5,76,2,80,0,62,4
rkrGstNormalized2GramDiceMinMatchLength1,0,535,17,4,54,2,61,0,41,3
rkrGstNormalized2GramDiceMinMatchLength2,0,508,16,5,48,1,58,0,38,3
rkrGstNormalized2GramDiceMinMatchLength3,0,552,16,3,48,1,56,0,39,3
rkrGstNormalized2GramDiceVariantMinMatchLength1,0,532,17,4,56,2,65,0,45,4
rkrGstNormalized2GramDiceVariantMinMatchLength2,0,501,17,4,51,1,59,0,39,3
rkrGstNormalized2GramDiceVariantMinMatchLength3,0,543,21,11,49,1,57,0,39,3
rkrGstNormalized2GramJaccardMinMatchLength1,0,535,19,4,53,2,61,0,42,3
rkrGstNormalized2GramJaccardMinMatchLength2,0,505,17,4,50,1,58,0,39,3
rkrGstNormalized2GramJaccardMinMatchLength3,0,508,17,4,58,1,59,0,39,3
rkrGstNormalized2GramOverlapMinMatchLength1,0,524,20,5,58,2,59,0,42,3
rkrGstNormalized2GramOverlapMinMatchLength2,0,504,20,4,51,1,59,0,39,3
rkrGstNormalized2GramOverlapMinMatchLength3,0,528,16,3,49,1,63,0,41,3
rkrGstNormalized3GramDiceMinMatchLength1,0,628,22,6,64,1,78,0,56,4
rkrGstNormalized3GramDiceMinMatchLength2,0,520,17,3,55,1,59,0,42,3
rkrGstNormalized3GramDiceMinMatchLength3,0,534,27,4,50,1,60,0,41,3
rkrGstNormalized3GramDiceVariantMinMatchLength1,0,548,18,6,56,2,69,0,45,4
rkrGstNormalized3GramDiceVariantMinMatchLength2,0,533,24,5,52,1,63,0,43,4
rkrGstNormalized3GramDiceVariantMinMatchLength3,0,530,20,5,52,1,61,0,44,4
rkrGstNormalized3GramJaccardMinMatchLength1,0,566,22,5,55,2,69,0,45,3
rkrGstNormalized3GramJaccardMinMatchLength2,0,517,18,4,52,1,60,0,42,3
rkrGstNormalized3GramJaccardMinMatchLength3,0,557,17,4,51,1,62,0,42,3
rkrGstNormalized3GramOverlapMinMatchLength1,0,630,18,4,58,2,65,0,45,3
rkrGstNormalized3GramOverlapMinMatchLength2,0,542,17,4,50,1,59,0,43,3
rkrGstNormalized3GramOverlapMinMatchLength3,0,544,17,3,57,5,64,0,44,3
rkrGstNormalized4GramDiceMinMatchLength1,0,625,18,6,58,2,69,0,46,4
rkrGstNormalized4GramDiceMinMatchLength2,0,574,19,4,55,1,62,0,43,4
rkrGstNormalized4GramDiceMinMatchLength3,0,638,28,4,57,1,71,0,47,4
rkrGstNormalized4GramDiceVariantMinMatchLength1,0,601,19,5,62,3,75,0,45,5
rkrGstNormalized4GramDiceVariantMinMatchLength2,0,551,19,4,53,1,62,0,42,4
rkrGstNormalized4GramDiceVariantMinMatchLength3,0,539,18,4,52,1,66,0,46,4
rkrGstNormalized4GramJaccardMinMatchLength1,0,743,24,7,70,3,90,0,62,6
rkrGstNormalized4GramJaccardMinMatchLength2,0,571,19,5,63,1,62,0,44,3
rkrGstNormalized4GramJaccardMinMatchLength3,0,587,18,4,52,1,62,0,44,3
rkrGstNormalized4GramOverlapMinMatchLength1,0,631,19,4,58,2,68,0,49,4
rkrGstNormalized4GramOverlapMinMatchLength2,0,590,19,4,56,1,64,0,44,4
rkrGstNormalized4GramOverlapMinMatchLength3,0,549,18,4,56,1,74,0,52,4
rkrGstNormalized5GramDiceMinMatchLength1,0,624,19,4,63,2,74,0,51,4
rkrGstNormalized5GramDiceMinMatchLength2,0,566,18,4,57,1,65,0,47,3
rkrGstNormalized5GramDiceMinMatchLength3,0,560,18,4,56,1,67,0,46,3
rkrGstNormalized5GramDiceVariantMinMatchLength1,0,627,20,4,65,2,73,0,51,4
rkrGstNormalized5GramDiceVariantMinMatchLength2,0,607,21,4,58,1,68,0,49,4
rkrGstNormalized5GramDiceVariantMinMatchLength3,0,613,19,4,58,1,67,0,47,4
rkrGstNormalized5GramJaccardMinMatchLength1,0,665,20,5,65,2,75,0,58,4
rkrGstNormalized5GramJaccardMinMatchLength2,0,579,19,4,65,1,71,0,48,4
rkrGstNormalized5GramJaccardMinMatchLength3,0,587,19,4,62,1,71,0,51,4
rkrGstNormalized5GramOverlapMinMatchLength1,0,620,19,5,64,2,73,0,50,4
rkrGstNormalized5GramOverlapMinMatchLength2,0,579,18,4,59,1,71,0,48,4
rkrGstNormalized5GramOverlapMinMatchLength3,0,634,18,4,63,2,65,0,58,5
rkrGstNormalizedShingle2DiceMinMatchLength1,0,82,4,1,14, no result,16,0,9,1
rkrGstNormalizedShingle2DiceMinMatchLength2,0,72,3,1,12, no result,14,0,8,0
rkrGstNormalizedShingle2DiceMinMatchLength3,0,83,4,6,18, no result,23,0,9,1
rkrGstNormalizedShingle2DiceVariantMinMatchLength1,0,79,4,1,13, no result,15,0,9,1
rkrGstNormalizedShingle2DiceVariantMinMatchLength2,0,75,5,1,12, no result,15,0,8,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3,0,81,3,1,13, no result,14,0,9,0
rkrGstNormalizedShingle2JaccardMinMatchLength1,0,86,4,1,13, no result,15,0,9,1
rkrGstNormalizedShingle2JaccardMinMatchLength2,0,74,4,2,13, no result,15,0,9,1
rkrGstNormalizedShingle2JaccardMinMatchLength3,0,83,4,1,13, no result,17,0,9,0
rkrGstNormalizedShingle2OverlapMinMatchLength1,0,81,3,1,13, no result,15,0,9,1
rkrGstNormalizedShingle2OverlapMinMatchLength2,0,74,3,1,12, no result,14,0,9,0
rkrGstNormalizedShingle2OverlapMinMatchLength3,0,78,3,1,13, no result,15,0,8,1
rkrGstNormalizedShingle3DiceMinMatchLength1,0,93,5,1,14, no result,17,0,10, no result
rkrGstNormalizedShingle3DiceMinMatchLength2,0,82,4,1,14, no result,16,0,10, no result
rkrGstNormalizedShingle3DiceMinMatchLength3,0,87,5,1,15, no result,17,0,10, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1,0,104,4,1,15, no result,18,0,10, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2,0,93,4,1,15, no result,25,0,10, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3,0,86,4,1,18, no result,20,0,13, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1,0,94,4,1,15, no result,18,0,10, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2,0,88,4,1,14, no result,17,0,11, no result
rkrGstNormalizedShingle3JaccardMinMatchLength3,0,88,5,1,15, no result,19,0,11, no result
rkrGstNormalizedShingle3OverlapMinMatchLength1,0,92,4,1,15, no result,17,0,10, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2,0,86,4,1,14, no result,16,0,9, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3,0,96,5,1,15, no result,20,0,10, no result
rkrGstNormalizedTokenDiceMinMatchLength1,0,56,1,0,9,0,6,0,5,0
rkrGstNormalizedTokenDiceMinMatchLength2,0,50,1,0,8,0,5,0,4,0
rkrGstNormalizedTokenDiceMinMatchLength3,0,53,1,1,10,0,7,0,5,0
rkrGstNormalizedTokenDiceVariantMinMatchLength1,0,56,2,1,9,0,6,0,5,0
rkrGstNormalizedTokenDiceVariantMinMatchLength2,0,51,1,0,10,0,5,0,4,0
rkrGstNormalizedTokenDiceVariantMinMatchLength3,0,48,1,0,8,0,6,0,4,0
rkrGstNormalizedTokenJaccardMinMatchLength1,0,59,2,1,10,0,6,0,5,0
rkrGstNormalizedTokenJaccardMinMatchLength2,0,71,2,2,10,0,7,0,6,0
rkrGstNormalizedTokenJaccardMinMatchLength3,0,50,1,0,8,0,6,0,5,0
rkrGstNormalizedTokenOverlapMinMatchLength1,0,55,1,0,9,0,7,0,5,0
rkrGstNormalizedTokenOverlapMinMatchLength2,0,48,1,0,8,0,5,0,4,0
rkrGstNormalizedTokenOverlapMinMatchLength3,0,50,1,0,8,0,6,0,5,0
rkrGstShingle2DiceMinMatchLength1,0,69,2,1,11, no result,9,0,6,0
rkrGstShingle2DiceMinMatchLength2,0,56,2,0,10, no result,9,0,6,0
rkrGstShingle2DiceMinMatchLength3,0,59,2,0,10, no result,8,0,6,0
rkrGstShingle2DiceVariantMinMatchLength1,0,70,2,1,10, no result,9,0,6,0
rkrGstShingle2DiceVariantMinMatchLength2,0,56,2,0,10, no result,9,0,6,0
rkrGstShingle2DiceVariantMinMatchLength3,0,56,2,0,10, no result,8,0,6,0
rkrGstShingle2JaccardMinMatchLength1,0,67,2,1,11, no result,9,0,6,0
rkrGstShingle2JaccardMinMatchLength2,0,57,2,1,10, no result,9,0,6,0
rkrGstShingle2JaccardMinMatchLength3,0,61,2,0,10, no result,9,0,6,0
rkrGstShingle2OverlapMinMatchLength1,0,69,2,1,11, no result,9,0,6,0
rkrGstShingle2OverlapMinMatchLength2,0,60,2,0,10, no result,9,0,6,0
rkrGstShingle2OverlapMinMatchLength3,0,58,2,0,10, no result,10,0,6,0
rkrGstShingle3DiceMinMatchLength1,0, no result,2,0,15, no result,12,0,7, no result
rkrGstShingle3DiceMinMatchLength2,0, no result,2,0,11, no result,10,0,8, no result
rkrGstShingle3DiceMinMatchLength3,0, no result,3,1,15, no result,15,0,9, no result
rkrGstShingle3DiceVariantMinMatchLength1,0, no result,2,1,12, no result,11,0,7, no result
rkrGstShingle3DiceVariantMinMatchLength2,0, no result,2,1,15, no result,12,0,7, no result
rkrGstShingle3DiceVariantMinMatchLength3,0, no result,2,0,12, no result,12,0,8, no result
rkrGstShingle3JaccardMinMatchLength1,0, no result,2,1,12, no result,11,0,7, no result
rkrGstShingle3JaccardMinMatchLength2,0, no result,2,0,12, no result,10,0,7, no result
rkrGstShingle3JaccardMinMatchLength3,0, no result,2,0,12, no result,12,0,7, no result
rkrGstShingle3OverlapMinMatchLength1,0, no result,2,1,17, no result,13,0,8, no result
rkrGstShingle3OverlapMinMatchLength2,0, no result,2,0,11, no result,11,0,7, no result
rkrGstShingle3OverlapMinMatchLength3,0, no result,2,0,13, no result,10,0,7, no result
rkrGstTokenDiceMinMatchLength1,0,52,1,0,8,0,7,0,4,0
rkrGstTokenDiceMinMatchLength2,0,43,1,0,7,0,6,0,4,0
rkrGstTokenDiceMinMatchLength3,0,47,1,0,7,0,6,0,4,0
rkrGstTokenDiceVariantMinMatchLength1,0,66,3,1,9,0,8,0,6,0
rkrGstTokenDiceVariantMinMatchLength2,0,44,1,0,7,0,6,0,4,0
rkrGstTokenDiceVariantMinMatchLength3,0,43,1,0,7,0,6,0,4,0
rkrGstTokenJaccardMinMatchLength1,0,51,2,0,8,0,7,0,4,0
rkrGstTokenJaccardMinMatchLength2,0,44,1,0,9,0,7,0,5,0
rkrGstTokenJaccardMinMatchLength3,0,52,1,0,8,0,8,0,4,0
rkrGstTokenOverlapMinMatchLength1,0,50,1,0,9,0,7,0,4,0
rkrGstTokenOverlapMinMatchLength2,0,44,1,0,7,0,7,0,4,0
rkrGstTokenOverlapMinMatchLength3,0,54,1,1,9,0,9,0,5,0
winnowing2GramDice,0,14,1,0,2,0,3,0,2,0
winnowing2GramDiceVariant,0,18,1,0,3,0,3,0,2,0
winnowing2GramJaccard,0,17,1,0,2,0,3,0,2,0
winnowing2GramOverlap,0,14,1,0,2,0,3,0,2,0
winnowing3GramDice,0,14,1,0,2,0,3,0,2,0
winnowing3GramDiceVariant,0,15,1,0,2,0,3,0,2,0
winnowing3GramJaccard,0,16,1,0,2,0,3,0,2,0
winnowing3GramOverlap,0,14,1,0,2,0,3,0,3,0
winnowing4GramDice,0,15,1,0,2,0,3,0,2,0
winnowing4GramDiceVariant,0,16,2,0,2,0,3,0,2,0
winnowing4GramJaccard,0,17,1,0,2,0,3,0,2,0
winnowing4GramOverlap,0,15,1,0,2,0,3,0,2,0
winnowing5GramDice,0,18,2,0,3,0,3,0,2,0
winnowing5GramDiceVariant,0,15,1,0,2,0,3,0,2,0
winnowing5GramJaccard,0,15,1,0,2,0,3,0,2,0
winnowing5GramOverlap,0,16,1,0,2,0,3,0,2,0
winnowingNormalized2GramDice,0,25,1,1,3,1,4,0,3,0
winnowingNormalized2GramDiceVariant,0,22,1,1,3,0,4,0,3,0
winnowingNormalized2GramJaccard,0,20,1,1,4,0,6,0,3,0
winnowingNormalized2GramOverlap,0,21,1,1,5,0,4,0,3,0
winnowingNormalized3GramDice,0,20,1,1,3,0,4,0,2,0
winnowingNormalized3GramDiceVariant,0,21,1,1,4,0,4,0,4,0
winnowingNormalized3GramJaccard,0,20,1,1,3,0,4,0,4,0
winnowingNormalized3GramOverlap,0,23,1,1,3,0,4,0,3,0
winnowingNormalized4GramDice,0,19,1,1,3,0,4,0,3,0
winnowingNormalized4GramDiceVariant,0,20,1,0,3,0,4,0,3,0
winnowingNormalized4GramJaccard,0,20,1,1,3,0,4,0,3,0
winnowingNormalized4GramOverlap,0,20,1,1,3,0,4,0,2,0
winnowingNormalized5GramDice,0,19,1,0,3,0,4,0,2,0
winnowingNormalized5GramDiceVariant,0,22,1,1,3,0,4,0,3,0
winnowingNormalized5GramJaccard,0,25,1,1,3,0,4,0,3,0
winnowingNormalized5GramOverlap,0,22,1,1,3,0,4,0,3,0
winnowingNormalizedShingle2Dice,0,20,1,1,4, no result,4,0,3,0
winnowingNormalizedShingle2DiceVariant,0,21,1,1,4, no result,4,0,2,0
winnowingNormalizedShingle2Jaccard,0,20,1,1,4, no result,4,0,3,0
winnowingNormalizedShingle2Overlap,0,20,1,1,3, no result,4,0,2,0
winnowingNormalizedShingle3Dice,0,23,1,1,4, no result,5,0,3, no result
winnowingNormalizedShingle3DiceVariant,0,238,2,3,12, no result,6,0,11, no result
winnowingNormalizedShingle3Jaccard,0,21,1,1,4, no result,4,0,3, no result
winnowingNormalizedShingle3Overlap,0,26,1,1,6, no result,4,0,4, no result
winnowingNormalizedTokenDice,0,8,0,0,2,0,1,0,1,0
winnowingNormalizedTokenDiceVariant,0,8,0,0,1,0,1,0,1,0
winnowingNormalizedTokenJaccard,0,8,0,0,2,0,2,0,1,0
winnowingNormalizedTokenOverlap,0,10,0,0,2,0,1,0,1,0
winnowingShingle2Dice,0,10,0,0,2, no result,2,0,1,0
winnowingShingle2DiceVariant,0,12,0,0,2, no result,2,0,1,0
winnowingShingle2Jaccard,0,12,0,0,2, no result,2,0,1,0
winnowingShingle2Overlap,0,11,0,0,2, no result,2,0,1,0
winnowingShingle3Dice,0, no result,0,0,2, no result,2,0,1, no result
winnowingShingle3DiceVariant,0, no result,0,0,2, no result,2,0,1, no result
