max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariantNormalized4Grams, 0, 3, 0, 10, 7, 3, 0, 0, 0, 4
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 0, 31, 23, no result, 0, 0, 1, no result
optimalAlignmentNormalized, 0, 20, 2, 208, 673, 44, 3, 1, 12, 163
cosineNormalizedShingle2Bool, 0, 3, 0, 10, 9, no result, 0, 0, 1, 4
jaccard2Grams, 0, 2, 0, 7, 5, 2, 0, 0, 0, 3
cosineNormalized5GramsNormalizedTermFrequency, 0, 5, 0, 21, 13, 7, 0, 0, 1, 10
longestCommonSubsequence4GramFingerprint, 0, 3, 0, 15, 28, 4, 0, 0, 0, 7
cosineNormalized5GramsTermFrequency, 0, 5, 0, 16, 11, 5, 0, 0, 1, 7
rkrGst3GramDiceVariantMinMatchLength3, 0, 35, 5, 300, 2357, 144, 3, 3, 8, 265
cosineNormalizedShingle2NormalizedTermFrequency, 0, 3, 0, 10, 7, no result, 0, 0, 0, 4
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 4, 0, 27, 28, no result, 0, 0, 1, no result
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 4, 0, 25, 24, no result, 0, 0, 1, 11
jaccardNormalizedPadding3grams, 0, 3, 0, 11, 8, 3, 0, 0, 1, 5
rkrGst3GramJaccardMinMatchLength1, 0, 36, 5, 307, 2293, 149, 4, 3, 9, 271
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
diceVariantNormalized3Grams, 0, 3, 0, 10, 7, 3, 0, 0, 0, 4
rkrGst3GramDiceMinMatchLength2, 0, 35, 5, 296, 2317, 176, 3, 3, 10, 303
dice4Grams, 0, 2, 0, 11, 8, 3, 0, 0, 0, 4
cosineNormalized4GramsTermFrequency, 0, 5, 0, 16, 13, 6, 0, 0, 1, 8
rkrGst2GramOverlapMinMatchLength1, 0, 46, 7, 323, 1270, 201, 3, 3, 10, 262
winnowing4GramDice, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 5, 0, 26, 24, no result, 0, 0, 1, 11
winnowingNormalizedShingle2Dice, 0, 3, 0, 9, 7, no result, 0, 0, 0, 4
rkrGstShingle2OverlapMinMatchLength1, 0, 2, 0, 25, 19, no result, 0, 0, 0, 9
winnowingNormalizedShingle3Overlap, 0, 2, 0, 9, 7, no result, 0, 0, 0, no result
rkrGstNormalized3GramDiceMinMatchLength3, 0, 22, 2, 151, 338, 33, 2, 1, 4, 150
rkrGst5GramJaccardMinMatchLength3, 0, 37, 8, 401, 3239, 134, 4, 3, 9, 298
diceVariantNormalizedPadding4grams, 0, 3, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstTokenDiceVariantMinMatchLength2, 0, 2, 0, 16, 13, 6, 0, 0, 0, 7
rkrGst4GramJaccardMinMatchLength3, 0, 35, 5, 348, 3001, 139, 4, 3, 9, 280
longestCommonSubsequence3GramFingerprint, 0, 3, 0, 22, 42, 5, 0, 0, 2, 10
dice5Grams, 0, 2, 0, 8, 6, 3, 0, 0, 0, 3
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
winnowingShingle3DiceVariant, 0, no result, 0, 7, 4, no result, 0, 0, 0, no result
winnowingNormalizedShingle3Dice, 0, 2, 0, 11, 7, no result, 0, 0, 0, no result
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
winnowingNormalizedShingle2Jaccard, 0, 2, 0, 9, 7, no result, 0, 0, 0, 4
winnowingNormalized2GramDiceVariant, 0, 3, 0, 9, 8, 3, 0, 0, 0, 5
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 4, 0, 27, 28, no result, 0, 0, 1, no result
cosineNormalizedTokensBool, 0, 1, 0, 5, 3, 2, 0, 0, 0, 2
winnowingNormalized5GramDice, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 25, 3, 154, 368, 36, 2, 1, 4, 135
rkrGstTokenDiceVariantMinMatchLength1, 0, 2, 0, 19, 13, 6, 0, 0, 0, 6
rkrGstTokenDiceMinMatchLength1, 0, 2, 0, 17, 13, 6, 0, 0, 0, 8
rkrGstTokenJaccardMinMatchLength2, 0, 2, 0, 17, 13, 7, 0, 0, 0, 7
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 4, 0, 27, 26, no result, 0, 0, 1, 12
diceTokens, 0, 0, 0, 3, 3, 1, 0, 0, 0, 1
winnowing4GramJaccard, 0, 3, 0, 11, 9, 4, 0, 0, 0, 4
winnowing5GramOverlap, 0, 2, 0, 10, 8, 4, 0, 0, 0, 4
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 23, 2, 135, 332, 34, 2, 1, 4, 151
diceVariantNormalizedShingles2, 0, 2, 0, 10, 7, no result, 0, 0, 0, 4
winnowingShingle2Jaccard, 0, 1, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 22, 2, 125, 409, 33, 2, 1, 4, 160
cosineNormalized4GramsNormalizedTermFrequency, 0, 5, 0, 15, 10, 5, 0, 0, 1, 7
cosineNormalizedShingle3NormalizedTermFrequency, 0, 3, 0, 11, 8, no result, 0, 0, 0, no result
winnowingNormalizedShingle2Overlap, 0, 2, 0, 9, 7, no result, 0, 0, 0, 3
rkrGst2GramOverlapMinMatchLength2, 0, 38, 5, 312, 1234, 184, 4, 3, 8, 248
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 5, 0, 24, 24, no result, 0, 0, 1, 11
rkrGst2GramDiceMinMatchLength3, 0, 34, 5, 266, 1143, 157, 3, 2, 7, 248
