total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
longestCommonSubsequenceShingle2FingerprintNormalized,0,22,1,1,4, no result,4,0,3,0
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,0,2, no result,2,0,2, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,23,1,1,4, no result,6,0,3, no result
longestCommonSubsequenceStandard,0,236,10,1,21,0,39,0,19,1
manhattanNormalized2Grams,0,25,2,1,4,0,5,0,4,1
manhattanNormalized3Grams,0,29,2,1,5,0,8,0,6,1
manhattanNormalized4Grams,0,36,2,1,5,0,6,0,5,1
manhattanNormalized5Grams,0,41,3,1,6,1,10,0,8,1
manhattanNormalizedShingles2,0,25,1,1,4, no result,5,0,3,0
manhattanNormalizedShingles3,0,27,2,1,5, no result,5,0,4, no result
manhattanNormalizedTokens,0,25,0,2,2,0,2,0,1,0
optimalAlignment2GramFingerprint,0,293,15,1,34,0,59,0,29,1
optimalAlignment2GramFingerprintNormalized,0,187,12,1,22,0,44,0,22,1
optimalAlignment3GramFingerprint,0,214,14,1,27,0,55,0,27,1
optimalAlignment3GramFingerprintNormalized,0,210,14,1,21,0,44,0,21,1
optimalAlignment4GramFingerprint,0,210,14,1,28,0,50,0,26,1
optimalAlignment4GramFingerprintNormalized,0,186,12,1,22,0,45,0,24,1
optimalAlignment5GramFingerprint,0,242,15,1,30,0,55,0,28,2
optimalAlignment5GramFingerprintNormalized,0,184,12,1,21,0,45,0,21,1
optimalAlignmentNormalized,0,443,24,2,54,1,93,0,47,2
optimalAlignmentShingle2Fingerprint,0,15,0,0,3, no result,4,0,2,0
optimalAlignmentShingle2FingerprintNormalized,0,29,2,1,7, no result,7,0,5,0
optimalAlignmentShingle3Fingerprint,0, no result,4,1,9, no result,3,0,2, no result
optimalAlignmentShingle3FingerprintNormalized,0,43,2,1,5, no result,6,0,4, no result
optimalAlignmentStandard,0,405,26,1,50,0,94,0,47,2
overlap2Grams,0,12,1,0,2,0,2,0,1,0
overlap3Grams,0,16,1,0,3,0,3,0,2,0
overlap4Grams,0,15,1,0,2,0,3,0,2,0
overlap5Grams,0,16,1,0,2,0,4,0,2,0
overlapNormalized2Grams,0,16,1,0,3,0,3,0,3,0
overlapNormalized3Grams,0,18,1,0,3,0,3,0,2,0
overlapNormalized4Grams,0,21,1,0,3,0,4,0,2,0
overlapNormalized5Grams,0,23,1,1,3,0,4,0,3,0
overlapNormalizedPadding2grams,0,16,1,0,2,0,3,0,2,0
overlapNormalizedPadding3grams,0,18,1,1,3,0,4,0,2,0
overlapNormalizedPadding4grams,0,26,2,1,3,0,4,0,3,0
overlapNormalizedPadding5grams,0,22,1,1,4,0,5,0,3,0
overlapNormalizedShingles2,0,25,1,1,5, no result,4,0,3,1
overlapNormalizedShingles3,0,22,1,1,4, no result,5,0,3, no result
overlapNormalizedTokens,0,23,1,0,3,0,4,0,4,0
overlapShingles2,0,12,0,0,2, no result,2,0,2,0
overlapShingles3,0, no result,0,0,2, no result,2,0,2, no result
overlapTokens,0,3,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength1,0,827,25,7,96,2,81,0,58,4
rkrGst2GramDiceMinMatchLength2,0,644,19,4,68,1,69,0,50,5
rkrGst2GramDiceMinMatchLength3,0,602,19,4,90,1,69,0,50,4
rkrGst2GramDiceVariantMinMatchLength1,0,745,21,5,93,2,78,0,59,5
rkrGst2GramDiceVariantMinMatchLength2,0,616,22,5,72,1,70,0,51,4
rkrGst2GramDiceVariantMinMatchLength3,0,623,20,4,69,1,71,0,54,4
rkrGst2GramJaccardMinMatchLength1,0,636,22,5,80,2,110,0,83,16
rkrGst2GramJaccardMinMatchLength2,0,641,20,4,69,2,70,0,50,4
rkrGst2GramJaccardMinMatchLength3,0,621,23,6,70,2,72,0,52,4
rkrGst2GramOverlapMinMatchLength1,0,658,21,5,73,2,75,0,60,5
rkrGst2GramOverlapMinMatchLength2,0,644,21,4,73,1,69,0,54,4
rkrGst2GramOverlapMinMatchLength3,0,614,25,6,67,1,69,0,51,4
rkrGst3GramDiceMinMatchLength1,0,698,21,5,77,2,79,0,54,4
rkrGst3GramDiceMinMatchLength2,0,687,19,4,71,2,77,0,51,4
rkrGst3GramDiceMinMatchLength3,0,703,21,5,70,2,72,0,52,4
rkrGst3GramDiceVariantMinMatchLength1,0,717,25,6,80,2,80,0,57,4
rkrGst3GramDiceVariantMinMatchLength2,0,690,19,6,71,2,73,0,61,4
rkrGst3GramDiceVariantMinMatchLength3,0,665,21,4,69,1,71,0,50,4
rkrGst3GramJaccardMinMatchLength1,0,690,21,5,78,2,79,0,57,4
rkrGst3GramJaccardMinMatchLength2,0,670,20,4,73,2,79,0,52,4
rkrGst3GramJaccardMinMatchLength3,0,664,21,5,72,2,76,0,55,4
rkrGst3GramOverlapMinMatchLength1,0,705,25,6,74,2,78,0,55,4
rkrGst3GramOverlapMinMatchLength2,0,668,19,4,73,1,73,0,52,4
rkrGst3GramOverlapMinMatchLength3,0,673,20,4,80,2,72,0,56,4
rkrGst4GramDiceMinMatchLength1,0,749,23,5,80,2,84,0,59,4
rkrGst4GramDiceMinMatchLength2,0,789,21,5,76,2,76,0,53,5
rkrGst4GramDiceMinMatchLength3,0,717,20,5,73,2,78,0,57,4
rkrGst4GramDiceVariantMinMatchLength1,0,1561,45,21,114,6,130,0,84,12
rkrGst4GramDiceVariantMinMatchLength2,0,745,21,6,72,2,77,0,54,4
rkrGst4GramDiceVariantMinMatchLength3,0,698,21,5,72,2,76,0,53,4
rkrGst4GramJaccardMinMatchLength1,0,885,27,5,90,2,133,0,74,5
rkrGst4GramJaccardMinMatchLength2,0,706,22,4,88,2,86,0,70,5
rkrGst4GramJaccardMinMatchLength3,0,738,21,6,74,2,84,0,57,4
