average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariantNormalized4Grams, 0.0, 3.0, 0.0, 10.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstShingle3DiceVariantMinMatchLength1, 0.0, no result, 0.0, 31.0, 23.0, no result, 0.0, 0.0, 1.0, no result
optimalAlignmentNormalized, 0.0, 20.0, 2.0, 208.0, 673.0, 44.0, 3.0, 1.0, 12.0, 163.0
cosineNormalizedShingle2Bool, 0.0, 3.0, 0.0, 10.0, 9.0, no result, 0.0, 0.0, 1.0, 4.0
jaccard2Grams, 0.0, 2.0, 0.0, 7.0, 5.0, 2.0, 0.0, 0.0, 0.0, 3.0
cosineNormalized5GramsNormalizedTermFrequency, 0.0, 5.0, 0.0, 21.0, 13.0, 7.0, 0.0, 0.0, 1.0, 10.0
longestCommonSubsequence4GramFingerprint, 0.0, 3.0, 0.0, 15.0, 28.0, 4.0, 0.0, 0.0, 0.0, 7.0
cosineNormalized5GramsTermFrequency, 0.0, 5.0, 0.0, 16.0, 11.0, 5.0, 0.0, 0.0, 1.0, 7.0
rkrGst3GramDiceVariantMinMatchLength3, 0.0, 35.0, 5.0, 300.0, 2357.0, 144.0, 3.0, 3.0, 8.0, 265.0
cosineNormalizedShingle2NormalizedTermFrequency, 0.0, 3.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0.0, 4.0, 0.0, 27.0, 28.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0.0, 4.0, 0.0, 25.0, 24.0, no result, 0.0, 0.0, 1.0, 11.0
jaccardNormalizedPadding3grams, 0.0, 3.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 1.0, 5.0
rkrGst3GramJaccardMinMatchLength1, 0.0, 36.0, 5.0, 307.0, 2293.0, 149.0, 4.0, 3.0, 9.0, 271.0
longestCommonSubsequenceShingle3Fingerprint, 0.0, no result, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, no result
diceVariantNormalized3Grams, 0.0, 3.0, 0.0, 10.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGst3GramDiceMinMatchLength2, 0.0, 35.0, 5.0, 296.0, 2317.0, 176.0, 3.0, 3.0, 10.0, 303.0
dice4Grams, 0.0, 2.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
cosineNormalized4GramsTermFrequency, 0.0, 5.0, 0.0, 16.0, 13.0, 6.0, 0.0, 0.0, 1.0, 8.0
rkrGst2GramOverlapMinMatchLength1, 0.0, 46.0, 7.0, 323.0, 1270.0, 201.0, 3.0, 3.0, 10.0, 262.0
winnowing4GramDice, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0.0, 5.0, 0.0, 26.0, 24.0, no result, 0.0, 0.0, 1.0, 11.0
winnowingNormalizedShingle2Dice, 0.0, 3.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
rkrGstShingle2OverlapMinMatchLength1, 0.0, 2.0, 0.0, 25.0, 19.0, no result, 0.0, 0.0, 0.0, 9.0
winnowingNormalizedShingle3Overlap, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalized3GramDiceMinMatchLength3, 0.0, 22.0, 2.0, 151.0, 338.0, 33.0, 2.0, 1.0, 4.0, 150.0
rkrGst5GramJaccardMinMatchLength3, 0.0, 37.0, 8.0, 401.0, 3239.0, 134.0, 4.0, 3.0, 9.0, 298.0
diceVariantNormalizedPadding4grams, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstTokenDiceVariantMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 13.0, 6.0, 0.0, 0.0, 0.0, 7.0
rkrGst4GramJaccardMinMatchLength3, 0.0, 35.0, 5.0, 348.0, 3001.0, 139.0, 4.0, 3.0, 9.0, 280.0
longestCommonSubsequence3GramFingerprint, 0.0, 3.0, 0.0, 22.0, 42.0, 5.0, 0.0, 0.0, 2.0, 10.0
dice5Grams, 0.0, 2.0, 0.0, 8.0, 6.0, 3.0, 0.0, 0.0, 0.0, 3.0
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
winnowingShingle3DiceVariant, 0.0, no result, 0.0, 7.0, 4.0, no result, 0.0, 0.0, 0.0, no result
winnowingNormalizedShingle3Dice, 0.0, 2.0, 0.0, 11.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalizedTokenOverlapMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
winnowingNormalizedShingle2Jaccard, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
winnowingNormalized2GramDiceVariant, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0.0, 4.0, 0.0, 27.0, 28.0, no result, 0.0, 0.0, 1.0, no result
cosineNormalizedTokensBool, 0.0, 1.0, 0.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0, 2.0
winnowingNormalized5GramDice, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedTokenOverlapMinMatchLength3, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0.0, 25.0, 3.0, 154.0, 368.0, 36.0, 2.0, 1.0, 4.0, 135.0
rkrGstTokenDiceVariantMinMatchLength1, 0.0, 2.0, 0.0, 19.0, 13.0, 6.0, 0.0, 0.0, 0.0, 6.0
rkrGstTokenDiceMinMatchLength1, 0.0, 2.0, 0.0, 17.0, 13.0, 6.0, 0.0, 0.0, 0.0, 8.0
rkrGstTokenJaccardMinMatchLength2, 0.0, 2.0, 0.0, 17.0, 13.0, 7.0, 0.0, 0.0, 0.0, 7.0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0.0, 4.0, 0.0, 27.0, 26.0, no result, 0.0, 0.0, 1.0, 12.0
diceTokens, 0.0, 0.0, 0.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
winnowing4GramJaccard, 0.0, 3.0, 0.0, 11.0, 9.0, 4.0, 0.0, 0.0, 0.0, 4.0
winnowing5GramOverlap, 0.0, 2.0, 0.0, 10.0, 8.0, 4.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0.0, 23.0, 2.0, 135.0, 332.0, 34.0, 2.0, 1.0, 4.0, 151.0
diceVariantNormalizedShingles2, 0.0, 2.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
winnowingShingle2Jaccard, 0.0, 1.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
rkrGstNormalized2GramOverlapMinMatchLength3, 0.0, 22.0, 2.0, 125.0, 409.0, 33.0, 2.0, 1.0, 4.0, 160.0
cosineNormalized4GramsNormalizedTermFrequency, 0.0, 5.0, 0.0, 15.0, 10.0, 5.0, 0.0, 0.0, 1.0, 7.0
cosineNormalizedShingle3NormalizedTermFrequency, 0.0, 3.0, 0.0, 11.0, 8.0, no result, 0.0, 0.0, 0.0, no result
winnowingNormalizedShingle2Overlap, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, 3.0
rkrGst2GramOverlapMinMatchLength2, 0.0, 38.0, 5.0, 312.0, 1234.0, 184.0, 4.0, 3.0, 8.0, 248.0
