average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle2DiceMinMatchLength1, 0.0, 86.0, 4.0, 1.0, 13.0, no result, 15.0, 0.0, 10.0, 1.0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0.0, 101.0, 4.0, 1.0, 16.0, no result, 17.0, 0.0, 10.0, no result
levenshteinNormalized, 0.0, 98.0, 6.0, 0.0, 12.0, 0.0, 23.0, 0.0, 11.0, 0.0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0.0, 670.0, 18.0, 4.0, 50.0, 1.0, 58.0, 0.0, 40.0, 5.0
rkrGstShingle3DiceVariantMinMatchLength2, 0.0, no result, 2.0, 0.0, 15.0, no result, 11.0, 0.0, 7.0, no result
rkrGstNormalized2GramDiceMinMatchLength1, 0.0, 517.0, 16.0, 4.0, 50.0, 2.0, 109.0, 0.0, 52.0, 3.0
winnowingNormalizedTokenDiceVariant, 0.0, 8.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0
diceNormalizedPadding3grams, 0.0, 20.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
rkrGstShingle2DiceMinMatchLength2, 0.0, 60.0, 2.0, 1.0, 12.0, no result, 12.0, 0.0, 6.0, 0.0
rkrGstShingle2DiceVariantMinMatchLength1, 0.0, 67.0, 3.0, 1.0, 10.0, no result, 10.0, 0.0, 6.0, 0.0
optimalAlignment4GramFingerprint, 0.0, 241.0, 14.0, 1.0, 30.0, 0.0, 56.0, 0.0, 28.0, 1.0
rkrGst3GramDiceMinMatchLength2, 0.0, 664.0, 20.0, 4.0, 68.0, 2.0, 69.0, 0.0, 51.0, 4.0
rkrGstNormalized3GramOverlapMinMatchLength1, 0.0, 544.0, 17.0, 4.0, 54.0, 1.0, 65.0, 0.0, 43.0, 3.0
rkrGstNormalized2GramOverlapMinMatchLength2, 0.0, 497.0, 16.0, 3.0, 52.0, 1.0, 59.0, 0.0, 39.0, 3.0
diceVariantShingles2, 0.0, 12.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, 0.0
rkrGstNormalized4GramJaccardMinMatchLength1, 0.0, 592.0, 19.0, 4.0, 56.0, 2.0, 67.0, 0.0, 49.0, 5.0
rkrGst3GramOverlapMinMatchLength3, 0.0, 666.0, 19.0, 4.0, 72.0, 1.0, 71.0, 0.0, 53.0, 4.0
