max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized4GramsBool, 0, 5, 0, 16, 10, 5, 0, 0, 1, 7
longestCommonSubsequence5GramFingerprint, 0, 2, 0, 12, 22, 4, 0, 0, 0, 6
optimalAlignmentNormalized, 0, 17, 2, 204, 552, 43, 3, 1, 12, 164
winnowing2GramJaccard, 0, 2, 0, 11, 8, 3, 0, 0, 0, 4
rkrGstNormalized2GramDiceMinMatchLength2, 0, 28, 2, 148, 321, 31, 2, 1, 5, 141
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 3, 0, 18, 12, 6, 1, 0, 0, 7
rkrGstNormalized3GramDiceMinMatchLength1, 0, 23, 2, 136, 336, 36, 2, 1, 4, 152
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 5, 0, 24, 24, no result, 0, 0, 1, 12
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 4, 0, 27, 29, no result, 0, 0, 1, no result
rkrGst2GramJaccardMinMatchLength1, 0, 38, 5, 300, 1276, 229, 4, 3, 10, 273
winnowingTokenJaccard, 0, 1, 0, 4, 2, 1, 0, 0, 0, 1
cosineNormalized4GramsTermFrequency, 0, 5, 0, 16, 11, 6, 0, 0, 1, 7
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 30, 2, 170, 448, 40, 2, 1, 5, 235
cosineNormalized3GramsTermFrequency, 0, 7, 0, 24, 16, 14, 0, 0, 1, 10
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 6, 0, 34, 63, no result, 0, 0, 1, no result
cosineNormalizedTokensBool, 0, 2, 0, 6, 4, 2, 0, 0, 0, 2
rkrGst2GramDiceMinMatchLength1, 0, 48, 6, 462, 1401, 207, 3, 3, 8, 265
manhattanNormalized5Grams, 0, 6, 0, 16, 14, 10, 1, 0, 1, 7
winnowingNormalizedTokenDice, 0, 1, 0, 7, 3, 1, 0, 0, 0, 2
rkrGstShingle2OverlapMinMatchLength2, 0, 2, 0, 27, 20, no result, 1, 0, 0, 9
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 40, 3, 188, 453, 45, 2, 1, 5, 149
rkrGst4GramJaccardMinMatchLength1, 0, 50, 7, 403, 3191, 184, 6, 4, 11, 334
diceNormalized2Grams, 0, 3, 0, 11, 9, 4, 0, 0, 1, 6
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 5, 0, 28, 26, no result, 0, 0, 1, 11
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 0, 35, 23, no result, 0, 0, 1, no result
rkrGstTokenJaccardMinMatchLength2, 0, 2, 0, 18, 15, 6, 1, 0, 0, 6
rkrGstTokenJaccardMinMatchLength1, 0, 2, 0, 20, 15, 9, 0, 0, 0, 8
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 6, 0, 30, 28, no result, 0, 0, 2, no result
rkrGstNormalized2GramDiceMinMatchLength3, 0, 21, 2, 131, 376, 35, 2, 1, 4, 175
diceNormalizedPadding5grams, 0, 3, 0, 10, 10, 4, 0, 0, 1, 6
rkrGstShingle2OverlapMinMatchLength1, 0, 3, 0, 25, 26, no result, 0, 0, 1, 12
overlapNormalizedPadding4grams, 0, 4, 0, 10, 8, 3, 0, 0, 0, 6
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 29, 3, 156, 373, 40, 2, 1, 5, 176
rkrGst2GramDiceVariantMinMatchLength1, 0, 44, 5, 346, 1286, 168, 6, 4, 8, 259
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 5, 0, 27, 25, no result, 0, 0, 1, 12
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 2, 0, 17, 13, 6, 0, 0, 0, 7
rkrGstShingle2OverlapMinMatchLength3, 0, 2, 0, 23, 21, no result, 0, 0, 0, 9
cosineNormalizedTokensNormalizedTermFrequency, 0, 1, 0, 5, 3, 2, 0, 0, 0, 2
cosineNormalized2GramsNormalizedTermFrequency, 0, 6, 0, 12, 7, 5, 0, 0, 1, 5
longestCommonSubsequence4GramFingerprint, 0, 2, 0, 16, 31, 5, 0, 0, 1, 8
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 4, 0, 28, 28, no result, 0, 0, 1, no result
rkrGst2GramOverlapMinMatchLength3, 0, 45, 5, 299, 1125, 155, 3, 3, 8, 244
winnowing2GramDiceVariant, 0, 2, 0, 9, 8, 5, 0, 0, 0, 4
rkrGst4GramJaccardMinMatchLength3, 0, 35, 5, 366, 3115, 148, 4, 3, 9, 293
rkrGstTokenDiceMinMatchLength2, 0, 1, 0, 16, 13, 6, 0, 0, 0, 7
overlap5Grams, 0, 2, 0, 9, 6, 3, 0, 0, 0, 4
rkrGstTokenDiceMinMatchLength3, 0, 2, 0, 16, 13, 7, 0, 0, 0, 6
rkrGst2GramOverlapMinMatchLength1, 0, 40, 5, 304, 1160, 167, 3, 3, 9, 289
winnowingNormalizedTokenDiceVariant, 0, 1, 0, 4, 3, 1, 0, 0, 0, 2
diceVariant5Grams, 0, 2, 0, 9, 7, 3, 0, 0, 0, 4
cosineNormalized3GramsBool, 0, 5, 0, 16, 9, 5, 0, 0, 1, 6
winnowingNormalized5GramDice, 0, 3, 0, 10, 9, 4, 0, 0, 0, 5
longestCommonSubsequence4GramFingerprintNormalized, 0, 6, 0, 51, 138, 10, 1, 0, 3, 42
rkrGstNormalized5GramDiceMinMatchLength2, 0, 29, 2, 155, 368, 35, 2, 1, 4, 131
jaccardNormalized4Grams, 0, 3, 0, 10, 10, 3, 0, 0, 0, 5
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 0, 26, 21, no result, 0, 0, 1, no result
levenshteinStandard, 0, 5, 0, 89, 257, 20, 1, 0, 4, 52
diceTokens, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
winnowingNormalized3GramDice, 0, 3, 0, 9, 8, 3, 0, 0, 0, 5
rkrGstShingle3DiceMinMatchLength1, 0, no result, 0, 29, 22, no result, 0, 0, 1, no result
rkrGst2GramDiceMinMatchLength3, 0, 32, 6, 265, 1151, 160, 3, 2, 10, 261
rkrGstShingle2DiceMinMatchLength2, 0, 2, 0, 23, 18, no result, 0, 0, 0, 10
winnowingNormalizedShingle3Jaccard, 0, 3, 0, 10, 7, no result, 0, 0, 0, no result
rkrGst2GramDiceVariantMinMatchLength2, 0, 37, 5, 272, 1150, 164, 3, 2, 8, 248
diceNormalized3Grams, 0, 3, 0, 10, 11, 3, 0, 0, 1, 4
optimalAlignment3GramFingerprintNormalized, 0, 11, 1, 100, 271, 18, 1, 0, 5, 77
rkrGst5GramOverlapMinMatchLength2, 0, 36, 7, 404, 3256, 145, 4, 3, 9, 310
cosineNormalized3GramsNormalizedTermFrequency, 0, 5, 0, 14, 9, 5, 0, 0, 1, 6
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 4, 0, 25, 23, no result, 0, 0, 1, 10
diceVariantNormalizedPadding4grams, 0, 3, 0, 10, 8, 3, 0, 0, 0, 6
overlap4Grams, 0, 2, 0, 8, 6, 3, 0, 0, 0, 3
winnowingNormalized2GramDiceVariant, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
longestCommonSubsequence3GramFingerprint, 0, 3, 0, 24, 49, 7, 0, 0, 1, 12
overlapNormalized3Grams, 0, 4, 0, 9, 7, 3, 0, 0, 0, 4
rkrGst5GramDiceVariantMinMatchLength2, 0, 37, 7, 405, 3264, 134, 4, 4, 9, 307
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0, 5, 0, 27, 30, no result, 0, 0, 1, no result
rkrGstShingle2DiceMinMatchLength3, 0, 2, 0, 24, 20, no result, 0, 0, 0, 9
diceVariantNormalized2Grams, 0, 3, 0, 8, 6, 3, 0, 0, 0, 4
jaccardNormalizedPadding3grams, 0, 4, 0, 11, 8, 3, 0, 0, 0, 5
winnowing5GramDice, 0, 2, 0, 10, 8, 3, 0, 0, 0, 4
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 3, 0, 16, 12, 6, 0, 0, 0, 6
jaccardNormalizedShingles3, 0, 3, 0, 10, 7, no result, 0, 0, 1, no result
winnowingShingle3Jaccard, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
winnowingNormalizedShingle2Jaccard, 0, 2, 0, 9, 7, no result, 0, 0, 0, 4
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 0, 32, 29, no result, 0, 0, 1, no result
