max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
diceVariantNormalized4Grams, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 2, 1, 13, no result, 11, 0, 7, no result
optimalAlignmentNormalized, 0, 442, 25, 2, 99, 0, 95, 0, 46, 2
cosineNormalizedShingle2Bool, 0, 25, 2, 1, 5, no result, 5, 0, 3, 0
jaccard2Grams, 0, 12, 1, 0, 2, 0, 2, 0, 2, 0
cosineNormalized5GramsNormalizedTermFrequency, 0, 39, 2, 1, 7, 0, 8, 0, 5, 1
longestCommonSubsequence4GramFingerprint, 0, 23, 1, 1, 3, 0, 4, 0, 2, 0
cosineNormalized5GramsTermFrequency, 0, 37, 2, 1, 6, 1, 7, 0, 5, 1
rkrGst3GramDiceVariantMinMatchLength3, 0, 659, 19, 4, 70, 2, 72, 0, 51, 4
cosineNormalizedShingle2NormalizedTermFrequency, 0, 25, 1, 1, 5, no result, 5, 0, 5, 0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 87, 4, 1, 14, no result, 16, 0, 10, no result
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 77, 4, 1, 13, no result, 16, 0, 9, 1
jaccardNormalizedPadding3grams, 0, 21, 1, 1, 4, 0, 4, 0, 3, 0
rkrGst3GramJaccardMinMatchLength1, 0, 705, 21, 5, 76, 2, 80, 0, 55, 5
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 1, 0, 2, no result, 2, 0, 2, no result
diceVariantNormalized3Grams, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
rkrGst3GramDiceMinMatchLength2, 0, 668, 19, 4, 70, 2, 70, 0, 56, 5
dice4Grams, 0, 16, 1, 0, 3, 0, 4, 0, 2, 0
cosineNormalized4GramsTermFrequency, 0, 35, 2, 1, 6, 1, 8, 0, 6, 1
rkrGst2GramOverlapMinMatchLength1, 0, 716, 25, 6, 79, 2, 73, 0, 61, 5
winnowing4GramDice, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 86, 4, 1, 13, no result, 15, 0, 10, 1
winnowingNormalizedShingle2Dice, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
rkrGstShingle2OverlapMinMatchLength1, 0, 62, 2, 1, 10, no result, 9, 0, 6, 0
winnowingNormalizedShingle3Overlap, 0, 23, 1, 1, 4, no result, 4, 0, 3, no result
rkrGstNormalized3GramDiceMinMatchLength3, 0, 524, 16, 3, 56, 1, 60, 0, 40, 3
rkrGst5GramJaccardMinMatchLength3, 0, 748, 21, 5, 78, 2, 79, 0, 59, 4
diceVariantNormalizedPadding4grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstTokenDiceVariantMinMatchLength2, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
rkrGst4GramJaccardMinMatchLength3, 0, 703, 21, 5, 72, 2, 80, 0, 56, 4
longestCommonSubsequence3GramFingerprint, 0, 26, 1, 0, 4, 0, 5, 0, 3, 0
dice5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 3, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 48, 1, 0, 10, 0, 6, 0, 4, 0
winnowingShingle3DiceVariant, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
winnowingNormalizedShingle3Dice, 0, 23, 2, 1, 4, no result, 5, 0, 3, no result
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 49, 1, 0, 8, 0, 6, 0, 4, 0
winnowingNormalizedShingle2Jaccard, 0, 22, 1, 1, 4, no result, 6, 0, 3, 0
winnowingNormalized2GramDiceVariant, 0, 19, 1, 1, 3, 0, 5, 0, 3, 0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 91, 4, 1, 16, no result, 18, 0, 10, no result
cosineNormalizedTokensBool, 0, 11, 0, 0, 2, 0, 2, 0, 1, 0
winnowingNormalized5GramDice, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 49, 1, 0, 8, 0, 6, 0, 4, 0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 566, 18, 5, 57, 3, 71, 0, 49, 4
rkrGstTokenDiceVariantMinMatchLength1, 0, 48, 1, 0, 8, 0, 7, 0, 5, 0
rkrGstTokenDiceMinMatchLength1, 0, 48, 1, 0, 7, 0, 7, 0, 4, 0
rkrGstTokenJaccardMinMatchLength2, 0, 43, 1, 0, 7, 0, 7, 0, 5, 0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 88, 4, 1, 15, no result, 15, 0, 9, 1
diceTokens, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0
winnowing4GramJaccard, 0, 18, 1, 0, 3, 0, 3, 0, 2, 0
winnowing5GramOverlap, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 515, 17, 4, 52, 1, 60, 0, 40, 3
diceVariantNormalizedShingles2, 0, 22, 1, 1, 6, no result, 4, 0, 3, 0
