total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,4,0,12,8,4,0,0,1,6
cosineNormalized2GramsNormalizedTermFrequency,0,6,0,13,7,4,0,0,1,5
cosineNormalized2GramsTermFrequency,0,4,0,12,8,4,0,0,1,5
cosineNormalized3GramsBool,0,5,0,14,9,5,0,0,1,6
cosineNormalized3GramsNormalizedTermFrequency,0,5,0,15,9,5,0,0,1,6
cosineNormalized3GramsTermFrequency,0,5,0,13,9,5,0,0,1,6
cosineNormalized4GramsBool,0,5,0,16,10,5,0,0,1,6
cosineNormalized4GramsNormalizedTermFrequency,0,5,0,15,11,5,0,0,1,6
cosineNormalized4GramsTermFrequency,0,5,0,15,10,5,0,0,1,6
cosineNormalized5GramsBool,0,5,0,20,13,8,0,0,1,8
cosineNormalized5GramsNormalizedTermFrequency,0,5,0,15,11,5,0,0,1,7
cosineNormalized5GramsTermFrequency,0,5,0,16,11,5,0,0,1,7
cosineNormalizedShingle2Bool,0,4,0,13,9, no result,0,0,1,5
cosineNormalizedShingle2NormalizedTermFrequency,0,3,0,10,7, no result,0,0,0,4
cosineNormalizedShingle2TermFrequency,0,3,0,10,7, no result,0,0,0,4
cosineNormalizedShingle3Bool,0,3,0,11,8, no result,0,0,0, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,3,0,13,9, no result,0,0,1, no result
cosineNormalizedShingle3TermFrequency,0,3,0,11,8, no result,0,0,0, no result
cosineNormalizedTokensBool,0,1,0,5,3,2,0,0,0,2
cosineNormalizedTokensNormalizedTermFrequency,0,1,0,5,3,2,0,0,0,2
cosineNormalizedTokensTermFrequency,0,1,0,5,3,2,0,0,0,2
damerauLevenshteinNormalized,0,26,5,373,1030,68,4,2,17,238
damerauLevenshteinStandard,0,31,4,588,1775,156,6,3,27,361
dice2Grams,0,2,0,9,5,4,0,0,0,3
dice3Grams,0,2,0,8,8,3,0,0,0,4
dice4Grams,0,2,0,9,7,3,0,0,0,4
dice5Grams,0,2,0,8,6,3,0,0,0,4
diceNormalized2Grams,0,3,0,9,7,4,0,0,1,5
diceNormalized3Grams,0,3,0,9,7,3,0,0,0,4
diceNormalized4Grams,0,3,0,9,7,3,0,0,0,4
