average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle2DiceMinMatchLength1, 0.0, 4.0, 0.0, 25.0, 25.0, no result, 0.0, 0.0, 1.0, 12.0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0.0, 4.0, 0.0, 27.0, 28.0, no result, 0.0, 0.0, 1.0, no result
levenshteinNormalized, 0.0, 4.0, 0.0, 50.0, 138.0, 11.0, 0.0, 0.0, 3.0, 40.0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0.0, 23.0, 2.0, 132.0, 336.0, 33.0, 2.0, 1.0, 4.0, 154.0
rkrGstShingle3DiceVariantMinMatchLength2, 0.0, no result, 0.0, 27.0, 23.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized2GramDiceMinMatchLength1, 0.0, 22.0, 2.0, 134.0, 329.0, 40.0, 3.0, 1.0, 4.0, 147.0
winnowingNormalizedTokenDiceVariant, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
diceNormalizedPadding3grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstShingle2DiceMinMatchLength2, 0.0, 3.0, 0.0, 28.0, 22.0, no result, 0.0, 0.0, 1.0, 10.0
rkrGstShingle2DiceVariantMinMatchLength1, 0.0, 3.0, 0.0, 25.0, 20.0, no result, 0.0, 0.0, 1.0, 11.0
optimalAlignment4GramFingerprint, 0.0, 13.0, 2.0, 255.0, 658.0, 63.0, 2.0, 1.0, 11.0, 137.0
rkrGst3GramDiceMinMatchLength2, 0.0, 35.0, 5.0, 301.0, 2226.0, 145.0, 3.0, 3.0, 8.0, 267.0
rkrGstNormalized3GramOverlapMinMatchLength1, 0.0, 23.0, 2.0, 139.0, 341.0, 37.0, 2.0, 1.0, 4.0, 154.0
rkrGstNormalized2GramOverlapMinMatchLength2, 0.0, 21.0, 2.0, 123.0, 325.0, 32.0, 2.0, 1.0, 4.0, 147.0
diceVariantShingles2, 0.0, 1.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
rkrGstNormalized4GramJaccardMinMatchLength1, 0.0, 27.0, 2.0, 152.0, 352.0, 39.0, 2.0, 1.0, 5.0, 149.0
