max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 594, 18, 4, 55, 1, 71, 0, 58, 5
jaccardNormalized2Grams, 0, 17, 1, 1, 3, 0, 5, 0, 2, 0
winnowingShingle2Overlap, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstShingle2DiceMinMatchLength2, 0, 60, 2, 0, 10, no result, 9, 0, 6, 0
winnowing2GramJaccard, 0, 14, 1, 0, 4, 0, 3, 0, 2, 0
winnowing2GramDiceVariant, 0, 17, 1, 0, 3, 0, 3, 0, 2, 0
winnowingShingle2Dice, 0, 11, 0, 0, 2, no result, 2, 0, 2, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 100, 7, 2, 16, no result, 18, 0, 10, no result
longestCommonSubsequence4GramFingerprint, 0, 20, 1, 0, 3, 0, 5, 0, 2, 0
rkrGst2GramDiceVariantMinMatchLength2, 0, 678, 23, 4, 74, 2, 70, 0, 52, 4
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 77, 3, 1, 13, no result, 20, 0, 8, 0
winnowingTokenDice, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0
longestCommonSubsequence5GramFingerprintNormalized, 0, 74, 5, 0, 9, 0, 19, 0, 8, 0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 80, 4, 1, 13, no result, 15, 0, 9, 1
winnowingNormalized5GramDiceVariant, 0, 20, 1, 0, 4, 0, 4, 0, 2, 0
rkrGst3GramOverlapMinMatchLength3, 0, 687, 19, 4, 72, 2, 73, 0, 52, 4
overlapNormalizedPadding4grams, 0, 19, 1, 0, 3, 0, 6, 0, 3, 0
overlap3Grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
winnowingTokenDiceVariant, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
dice5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
cosineNormalized4GramsTermFrequency, 0, 35, 2, 1, 7, 0, 6, 0, 5, 1
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
rkrGstNormalizedTokenJaccardMinMatchLength1, 0, 56, 2, 0, 9, 0, 8, 0, 5, 0
overlapTokens, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
longestCommonSubsequence3GramFingerprint, 0, 25, 1, 0, 3, 0, 5, 0, 3, 0
rkrGstNormalized2GramDiceMinMatchLength1, 0, 552, 19, 4, 51, 1, 58, 0, 41, 3
winnowingNormalizedShingle3Jaccard, 0, 24, 1, 1, 4, no result, 5, 0, 3, no result
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 76, 3, 1, 12, no result, 15, 0, 8, 2
cosineNormalizedShingle3TermFrequency, 0, 27, 2, 1, 5, no result, 5, 0, 4, no result
rkrGstShingle2OverlapMinMatchLength2, 0, 59, 2, 0, 9, no result, 9, 0, 7, 0
winnowingNormalized2GramJaccard, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
winnowingNormalized5GramDice, 0, 22, 2, 1, 3, 0, 5, 0, 3, 0
rkrGstShingle3JaccardMinMatchLength2, 0, no result, 2, 1, 14, no result, 11, 0, 7, no result
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 669, 19, 5, 57, 2, 67, 0, 46, 4
rkrGst5GramDiceVariantMinMatchLength3, 0, 724, 20, 6, 80, 2, 80, 0, 57, 5
rkrGst3GramDiceMinMatchLength3, 0, 658, 19, 4, 109, 3, 82, 0, 57, 4
rkrGstNormalized4GramDiceMinMatchLength3, 0, 562, 17, 4, 50, 1, 63, 0, 44, 3
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 530, 17, 6, 50, 1, 57, 0, 39, 3
winnowingNormalized4GramJaccard, 0, 19, 1, 1, 5, 0, 4, 0, 3, 0
optimalAlignment2GramFingerprint, 0, 250, 15, 1, 31, 0, 58, 0, 28, 1
rkrGstTokenDiceVariantMinMatchLength3, 0, 42, 1, 0, 8, 0, 6, 0, 4, 0
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 533, 17, 4, 49, 1, 59, 0, 42, 3
overlap4Grams, 0, 15, 1, 0, 2, 0, 3, 0, 3, 0
winnowingShingle2Jaccard, 0, 11, 0, 0, 2, no result, 2, 0, 1, 1
rkrGst4GramJaccardMinMatchLength3, 0, 820, 24, 5, 81, 2, 78, 0, 60, 4
rkrGst4GramDiceVariantMinMatchLength2, 0, 753, 21, 5, 75, 2, 77, 0, 55, 4
rkrGstNormalized2GramDiceMinMatchLength2, 0, 494, 16, 4, 51, 1, 56, 0, 38, 3
rkrGstShingle2DiceVariantMinMatchLength3, 0, 58, 2, 0, 10, no result, 10, 0, 6, 0
cosineNormalizedShingle2TermFrequency, 0, 25, 1, 2, 5, no result, 5, 0, 3, 0
rkrGst5GramOverlapMinMatchLength1, 0, 784, 21, 5, 84, 2, 99, 0, 67, 5
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 80, 4, 1, 13, no result, 17, 0, 9, 1
rkrGstNormalized5GramDiceMinMatchLength2, 0, 581, 20, 4, 56, 1, 64, 0, 48, 3
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 2, 0, 12, no result, 12, 0, 7, no result
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 544, 18, 4, 52, 1, 62, 0, 41, 4
manhattanNormalizedShingles2, 0, 25, 3, 1, 5, no result, 5, 0, 3, 0
rkrGst4GramOverlapMinMatchLength2, 0, 737, 21, 4, 73, 2, 75, 0, 54, 4
rkrGst5GramDiceMinMatchLength1, 0, 802, 21, 5, 82, 3, 96, 0, 76, 5
winnowing3GramJaccard, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
winnowingShingle3Overlap, 0, no result, 1, 0, 3, no result, 2, 0, 3, no result
rkrGst2GramJaccardMinMatchLength3, 0, 707, 19, 6, 70, 2, 70, 0, 52, 4
rkrGst4GramDiceMinMatchLength2, 0, 727, 20, 4, 75, 2, 99, 0, 59, 4
rkrGst4GramDiceMinMatchLength3, 0, 734, 20, 4, 72, 2, 78, 0, 53, 5
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 2, 0, 11, no result, 10, 0, 7, no result
winnowingNormalized3GramDiceVariant, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
