max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized4Grams, 0, 24, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 56, 1, 0, 9, 0, 6, 0, 5, 0
winnowingShingle2Jaccard, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 543, 20, 9, 59, 2, 70, 0, 63, 4
rkrGst3GramJaccardMinMatchLength1, 0, 707, 21, 8, 77, 2, 81, 0, 57, 4
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 50, 1, 0, 8, 0, 7, 0, 5, 0
rkrGstTokenOverlapMinMatchLength3, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
winnowingNormalized3GramJaccard, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
optimalAlignment4GramFingerprint, 0, 245, 16, 1, 30, 0, 57, 0, 28, 1
manhattanNormalized2Grams, 0, 22, 2, 1, 4, 0, 4, 0, 3, 0
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 86, 4, 1, 14, no result, 17, 0, 10, no result
winnowingNormalized5GramDiceVariant, 0, 20, 2, 1, 3, 0, 4, 0, 3, 0
winnowingNormalized5GramOverlap, 0, 20, 1, 1, 3, 0, 4, 0, 2, 1
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 94, 4, 1, 15, no result, 18, 0, 10, no result
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 48, 1, 0, 8, 0, 6, 0, 5, 0
winnowingTokenOverlap, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0
longestCommonSubsequenceShingle2Fingerprint, 0, 14, 0, 0, 2, no result, 2, 0, 1, 0
manhattanNormalizedShingles2, 0, 26, 2, 1, 5, no result, 5, 0, 3, 0
optimalAlignment4GramFingerprintNormalized, 0, 180, 12, 1, 21, 0, 44, 0, 22, 1
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 548, 18, 4, 60, 1, 66, 0, 46, 4
overlapNormalizedPadding5grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
winnowingNormalized2GramOverlap, 0, 19, 1, 0, 5, 0, 4, 0, 2, 0
optimalAlignment5GramFingerprint, 0, 238, 14, 1, 30, 0, 57, 0, 35, 2
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 529, 18, 3, 50, 1, 67, 0, 45, 3
winnowing2GramOverlap, 0, 22, 1, 0, 2, 0, 4, 0, 2, 0
rkrGst5GramJaccardMinMatchLength2, 0, 1713, 24, 5, 90, 2, 80, 0, 58, 4
cosineNormalized3GramsBool, 0, 29, 2, 1, 5, 0, 6, 0, 4, 1
winnowingShingle3Dice, 0, no result, 0, 0, 3, no result, 2, 0, 2, no result
winnowingTokenDice, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength2, 0, 700, 20, 4, 71, 1, 75, 0, 55, 4
jaccard5Grams, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
diceVariant5Grams, 0, 15, 1, 0, 4, 0, 3, 0, 2, 0
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 3, 1, 12, no result, 11, 0, 7, no result
jaccard3Grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
