max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 77, 4, 1, 14, no result, 15, 0, 9, 1
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 540, 18, 4, 55, 1, 63, 0, 41, 3
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 101, 5, 1, 16, no result, 18, 0, 11, no result
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 525, 16, 4, 49, 1, 57, 0, 38, 4
cosineNormalized5GramsTermFrequency, 0, 36, 2, 1, 6, 0, 7, 0, 5, 1
rkrGst5GramJaccardMinMatchLength1, 0, 806, 23, 5, 90, 2, 87, 0, 66, 4
rkrGst3GramJaccardMinMatchLength2, 0, 687, 20, 4, 71, 2, 91, 0, 54, 4
damerauLevenshteinStandard, 0, 571, 33, 2, 76, 1, 150, 0, 70, 3
rkrGst2GramJaccardMinMatchLength3, 0, 642, 21, 4, 69, 2, 78, 0, 52, 4
rkrGst5GramOverlapMinMatchLength3, 0, 765, 20, 4, 77, 2, 84, 0, 58, 4
dice2Grams, 0, 12, 1, 0, 3, 0, 2, 0, 1, 0
rkrGstNormalized5GramDiceMinMatchLength2, 0, 577, 18, 3, 58, 1, 66, 0, 49, 4
winnowing5GramDiceVariant, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
jaccard4Grams, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst5GramDiceVariantMinMatchLength2, 0, 826, 21, 4, 81, 2, 80, 0, 60, 6
rkrGstNormalized4GramDiceMinMatchLength3, 0, 537, 17, 3, 54, 1, 61, 0, 41, 3
rkrGst5GramJaccardMinMatchLength3, 0, 735, 21, 5, 77, 2, 83, 0, 60, 4
cosineNormalized2GramsBool, 0, 24, 2, 1, 4, 0, 5, 0, 4, 1
diceNormalizedShingles3, 0, 27, 2, 1, 4, no result, 5, 0, 3, no result
rkrGst3GramJaccardMinMatchLength3, 0, 690, 22, 5, 75, 2, 77, 0, 53, 4
cosineNormalized3GramsNormalizedTermFrequency, 0, 30, 2, 1, 5, 0, 7, 0, 4, 1
winnowingShingle2DiceVariant, 0, 12, 0, 0, 2, no result, 2, 0, 2, 0
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
winnowingNormalized3GramDiceVariant, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalized2GramJaccardMinMatchLength2, 0, 524, 18, 4, 50, 2, 60, 0, 40, 3
jaccardShingles3, 0, no result, 1, 0, 2, no result, 2, 0, 2, no result
winnowingNormalized3GramOverlap, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
winnowing2GramDice, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 84, 4, 1, 14, no result, 16, 0, 9, 1
rkrGstNormalized3GramDiceMinMatchLength1, 0, 584, 26, 4, 59, 2, 67, 0, 44, 3
levenshteinStandard, 0, 98, 6, 0, 11, 0, 23, 0, 11, 0
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 51, 2, 0, 8, 0, 6, 0, 5, 0
rkrGst2GramJaccardMinMatchLength1, 0, 646, 23, 5, 73, 2, 77, 0, 53, 4
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 55, 1, 0, 9, 0, 6, 0, 5, 0
rkrGst3GramOverlapMinMatchLength1, 0, 725, 21, 5, 78, 2, 83, 0, 56, 4
jaccardNormalizedShingles3, 0, 25, 2, 1, 4, no result, 5, 0, 3, no result
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 79, 4, 1, 13, no result, 16, 0, 9, 1
overlapNormalizedPadding4grams, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 653, 21, 4, 63, 2, 76, 0, 54, 5
dice3Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
winnowingShingle2Dice, 0, 12, 1, 0, 2, no result, 2, 0, 1, 0
diceNormalizedTokens, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
rkrGst5GramOverlapMinMatchLength1, 0, 807, 22, 5, 84, 2, 97, 0, 67, 5
overlapNormalized3Grams, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst2GramDiceVariantMinMatchLength3, 0, 665, 21, 5, 68, 2, 72, 0, 52, 4
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 25, 1, 1, 4, no result, 5, 0, 3, no result
winnowing3GramDice, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
winnowing4GramDiceVariant, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 89, 4, 3, 14, no result, 16, 0, 9, 1
cosineNormalized2GramsTermFrequency, 0, 25, 2, 1, 4, 0, 5, 0, 3, 0
rkrGst4GramDiceMinMatchLength1, 0, 781, 23, 5, 81, 2, 97, 0, 61, 4
jaccardNormalized5Grams, 0, 24, 1, 1, 4, 0, 5, 0, 3, 0
rkrGstNormalized4GramDiceMinMatchLength2, 0, 550, 17, 4, 58, 1, 63, 0, 47, 3
rkrGst4GramOverlapMinMatchLength1, 0, 852, 23, 5, 81, 2, 87, 0, 59, 4
rkrGstTokenDiceVariantMinMatchLength3, 0, 44, 1, 0, 8, 0, 7, 0, 4, 0
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 550, 18, 4, 53, 1, 65, 0, 42, 3
winnowing4GramOverlap, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
optimalAlignmentShingle3FingerprintNormalized, 0, 29, 2, 1, 5, no result, 6, 0, 4, no result
rkrGstNormalized2GramDiceMinMatchLength3, 0, 491, 16, 4, 47, 1, 66, 0, 40, 3
optimalAlignment2GramFingerprint, 0, 271, 15, 1, 34, 0, 65, 0, 32, 1
diceVariantNormalizedShingles2, 0, 25, 1, 1, 4, no result, 5, 0, 3, 0
rkrGst4GramOverlapMinMatchLength2, 0, 734, 21, 4, 75, 2, 78, 0, 56, 4
winnowingTokenDiceVariant, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 561, 18, 4, 63, 1, 76, 0, 48, 4
winnowing4GramDice, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
diceVariantShingles3, 0, no result, 1, 0, 3, no result, 3, 0, 2, no result
rkrGstNormalized2GramOverlapMinMatchLength1, 0, 597, 18, 4, 59, 2, 67, 0, 45, 4
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 90, 4, 1, 16, no result, 16, 0, 8, 1
overlapNormalizedPadding2grams, 0, 21, 1, 1, 3, 0, 5, 0, 2, 0
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 83, 3, 1, 16, no result, 16, 0, 10, 1
damerauLevenshteinNormalized, 0, 662, 35, 2, 87, 1, 154, 0, 67, 3
winnowing5GramDice, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 561, 18, 4, 59, 1, 68, 0, 48, 4
cosineNormalizedTokensBool, 0, 13, 0, 1, 2, 0, 2, 0, 1, 0
winnowingNormalizedTokenDiceVariant, 0, 9, 0, 0, 2, 0, 1, 0, 1, 0
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 2, 1, 13, no result, 11, 0, 8, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 82, 4, 1, 14, no result, 17, 0, 9, 1
diceNormalizedPadding3grams, 0, 18, 1, 1, 3, 0, 3, 0, 2, 0
rkrGstNormalized5GramDiceMinMatchLength1, 0, 632, 19, 4, 68, 1, 73, 0, 50, 4
rkrGstTokenDiceVariantMinMatchLength1, 0, 47, 1, 0, 8, 0, 7, 0, 5, 0
manhattanNormalizedTokens, 0, 10, 0, 0, 2, 0, 2, 0, 1, 0
optimalAlignment5GramFingerprintNormalized, 0, 181, 12, 1, 21, 0, 43, 0, 21, 1
overlapTokens, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle2Fingerprint, 0, 15, 0, 0, 3, no result, 2, 0, 2, 0
winnowingNormalized2GramDiceVariant, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
rkrGst3GramOverlapMinMatchLength2, 0, 664, 23, 5, 70, 2, 72, 0, 52, 4
rkrGst3GramDiceVariantMinMatchLength3, 0, 662, 23, 5, 71, 2, 73, 0, 54, 4
rkrGst2GramDiceMinMatchLength3, 0, 606, 19, 4, 67, 1, 69, 0, 50, 4
jaccardNormalizedTokens, 0, 23, 1, 0, 4, 0, 5, 0, 3, 0
winnowingNormalized5GramDice, 0, 29, 2, 1, 8, 0, 4, 0, 3, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 554, 18, 4, 52, 1, 62, 0, 43, 4
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 47, 1, 0, 8, 0, 6, 0, 5, 0
winnowing3GramJaccard, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
cosineNormalized2GramsNormalizedTermFrequency, 0, 28, 2, 1, 5, 0, 5, 0, 3, 0
winnowingNormalized4GramOverlap, 0, 19, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstTokenDiceMinMatchLength3, 0, 45, 1, 0, 7, 0, 6, 0, 4, 0
cosineNormalized4GramsBool, 0, 34, 2, 1, 5, 0, 6, 0, 5, 1
longestCommonSubsequenceShingle2FingerprintNormalized, 0, 22, 1, 1, 4, no result, 4, 0, 3, 0
rkrGst2GramDiceVariantMinMatchLength2, 0, 617, 20, 4, 66, 2, 68, 0, 56, 6
rkrGstNormalized3GramDiceMinMatchLength2, 0, 510, 17, 3, 49, 1, 58, 0, 40, 3
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 504, 16, 3, 48, 1, 56, 0, 37, 3
longestCommonSubsequence3GramFingerprint, 0, 25, 2, 0, 4, 0, 5, 0, 3, 0
rkrGstTokenOverlapMinMatchLength2, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
optimalAlignmentShingle3Fingerprint, 0, no result, 0, 0, 3, no result, 3, 0, 2, no result
longestCommonSubsequenceStandard, 0, 166, 10, 0, 21, 0, 39, 0, 19, 1
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 584, 20, 4, 57, 1, 64, 0, 46, 4
overlapNormalizedShingles2, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
overlapNormalized2Grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 493, 16, 3, 54, 1, 58, 0, 38, 3
cosineNormalizedTokensTermFrequency, 0, 11, 0, 0, 2, 0, 2, 0, 1, 0
rkrGst4GramDiceVariantMinMatchLength2, 0, 700, 21, 5, 71, 2, 83, 0, 58, 5
diceNormalizedShingles2, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
rkrGst3GramDiceVariantMinMatchLength2, 0, 659, 20, 4, 69, 1, 70, 0, 51, 4
rkrGstShingle2DiceVariantMinMatchLength2, 0, 57, 2, 0, 11, no result, 9, 0, 6, 0
jaccardNormalizedPadding3grams, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
cosineNormalized3GramsTermFrequency, 0, 29, 2, 1, 5, 0, 6, 0, 4, 1
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 558, 18, 4, 53, 1, 61, 0, 45, 3
rkrGstNormalized4GramDiceMinMatchLength1, 0, 577, 18, 4, 55, 2, 65, 0, 44, 3
diceTokens, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
winnowingShingle2Overlap, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstShingle2JaccardMinMatchLength2, 0, 58, 2, 1, 10, no result, 9, 0, 8, 1
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 548, 18, 5, 50, 1, 60, 0, 46, 4
winnowingNormalizedShingle2Jaccard, 0, 22, 1, 1, 4, no result, 4, 0, 3, 0
rkrGst2GramOverlapMinMatchLength3, 0, 638, 19, 4, 68, 2, 68, 0, 51, 3
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 2, 0, 13, no result, 11, 0, 7, no result
rkrGst2GramDiceMinMatchLength1, 0, 663, 21, 6, 72, 2, 78, 0, 51, 4
rkrGstNormalized2GramDiceMinMatchLength1, 0, 515, 17, 4, 51, 1, 58, 0, 40, 3
winnowingNormalized2GramDice, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
rkrGstShingle2OverlapMinMatchLength3, 0, 61, 2, 0, 10, no result, 9, 0, 6, 0
optimalAlignment2GramFingerprintNormalized, 0, 187, 12, 1, 22, 0, 47, 0, 23, 1
rkrGst4GramOverlapMinMatchLength3, 0, 739, 21, 4, 72, 2, 76, 0, 55, 4
rkrGst2GramJaccardMinMatchLength2, 0, 609, 24, 5, 70, 2, 94, 0, 54, 4
jaccardTokens, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 61, 2, 0, 9, 0, 6, 0, 5, 0
winnowingNormalized5GramJaccard, 0, 21, 2, 1, 5, 0, 4, 0, 3, 0
diceVariantTokens, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 91, 5, 1, 17, no result, 17, 0, 10, no result
rkrGstTokenOverlapMinMatchLength1, 0, 49, 1, 0, 8, 0, 9, 0, 5, 0
jaccardNormalizedPadding2grams, 0, 22, 2, 1, 4, 0, 3, 0, 2, 0
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 600, 22, 6, 63, 2, 76, 0, 42, 5
diceNormalized5Grams, 0, 22, 2, 0, 3, 0, 4, 0, 3, 0
diceVariant3Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalizedShingle3Overlap, 0, 23, 2, 1, 4, no result, 6, 0, 4, no result
manhattanNormalized3Grams, 0, 35, 3, 1, 8, 0, 6, 0, 4, 1
cosineNormalizedShingle2Bool, 0, 32, 2, 2, 6, no result, 6, 0, 4, 1
diceNormalized2Grams, 0, 16, 1, 0, 3, 0, 4, 0, 3, 0
overlapShingles3, 0, no result, 1, 0, 3, no result, 3, 0, 2, no result
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 688, 20, 5, 60, 2, 70, 0, 48, 4
winnowingNormalizedShingle3DiceVariant, 0, 22, 1, 1, 4, no result, 4, 0, 3, no result
rkrGst4GramJaccardMinMatchLength2, 0, 698, 21, 5, 72, 2, 78, 0, 55, 4
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
rkrGstShingle2JaccardMinMatchLength3, 0, 60, 2, 0, 10, no result, 9, 0, 6, 0
manhattanNormalized5Grams, 0, 33, 2, 1, 6, 0, 6, 0, 5, 1
rkrGst4GramDiceVariantMinMatchLength1, 0, 733, 23, 6, 80, 3, 82, 0, 60, 5
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 547, 18, 4, 50, 1, 61, 0, 44, 3
winnowingNormalizedTokenJaccard, 0, 9, 0, 0, 1, 0, 2, 0, 1, 0
jaccardNormalizedPadding5grams, 0, 38, 2, 1, 4, 0, 5, 0, 3, 0
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 577, 18, 3, 56, 1, 75, 0, 58, 5
cosineNormalized5GramsBool, 0, 40, 3, 2, 17, 0, 8, 0, 5, 1
winnowingNormalized4GramJaccard, 0, 23, 2, 1, 5, 0, 4, 0, 3, 0
winnowing3GramOverlap, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
diceVariantNormalizedPadding4grams, 0, 20, 1, 0, 3, 0, 4, 0, 3, 0
winnowingShingle3Jaccard, 0, no result, 0, 0, 2, no result, 2, 0, 1, no result
diceVariant2Grams, 0, 11, 1, 0, 2, 0, 2, 0, 1, 0
rkrGst3GramDiceMinMatchLength2, 0, 667, 19, 4, 70, 1, 70, 0, 51, 4
longestCommonSubsequence3GramFingerprintNormalized, 0, 74, 5, 0, 9, 0, 19, 0, 9, 0
dice5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
optimalAlignmentShingle2FingerprintNormalized, 0, 27, 1, 1, 5, no result, 7, 0, 4, 0
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 592, 19, 4, 56, 1, 67, 0, 44, 4
winnowingNormalizedTokenOverlap, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
winnowing2GramDiceVariant, 0, 14, 2, 0, 2, 0, 3, 0, 2, 0
overlapNormalizedTokens, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
longestCommonSubsequence2GramFingerprint, 0, 41, 3, 0, 6, 0, 9, 0, 5, 0
jaccardNormalized3Grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
cosineNormalized5GramsNormalizedTermFrequency, 0, 34, 2, 1, 6, 0, 7, 0, 5, 1
winnowingNormalized4GramDiceVariant, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
winnowingNormalizedShingle2Dice, 0, 22, 1, 1, 4, no result, 4, 0, 3, 0
overlapNormalizedShingles3, 0, 24, 1, 1, 4, no result, 4, 0, 3, no result
rkrGstShingle2DiceMinMatchLength3, 0, 59, 2, 0, 10, no result, 9, 0, 6, 0
diceNormalizedPadding2grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
winnowingNormalized2GramJaccard, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
longestCommonSubsequence4GramFingerprintNormalized, 0, 74, 5, 0, 10, 0, 19, 0, 9, 0
winnowingShingle3DiceVariant, 0, no result, 0, 0, 2, no result, 2, 0, 3, no result
winnowingNormalizedShingle2DiceVariant, 0, 23, 1, 1, 4, no result, 4, 0, 3, 0
rkrGst4GramJaccardMinMatchLength1, 0, 733, 21, 5, 79, 2, 83, 0, 57, 4
cosineNormalized4GramsTermFrequency, 0, 39, 2, 1, 5, 0, 7, 0, 5, 1
rkrGstTokenJaccardMinMatchLength1, 0, 50, 1, 0, 8, 0, 7, 0, 4, 0
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 557, 18, 4, 55, 1, 64, 0, 45, 3
optimalAlignment3GramFingerprintNormalized, 0, 182, 12, 1, 21, 0, 43, 0, 21, 1
overlap2Grams, 0, 12, 1, 0, 2, 0, 2, 0, 1, 0
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 84, 4, 1, 14, no result, 16, 0, 9, no result
longestCommonSubsequence4GramFingerprint, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
optimalAlignmentNormalized, 0, 404, 24, 2, 51, 0, 96, 0, 49, 2
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 47, 2, 0, 10, 0, 7, 0, 6, 0
winnowing2GramJaccard, 0, 17, 1, 0, 2, 0, 3, 0, 3, 0
rkrGst3GramDiceMinMatchLength3, 0, 672, 19, 4, 77, 2, 70, 0, 50, 4
rkrGstShingle3DiceMinMatchLength1, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
rkrGstShingle3JaccardMinMatchLength1, 0, no result, 2, 1, 13, no result, 12, 0, 7, no result
rkrGstShingle3DiceMinMatchLength2, 0, no result, 2, 0, 12, no result, 10, 0, 7, no result
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 596, 19, 4, 57, 1, 64, 0, 47, 4
jaccardNormalized2Grams, 0, 20, 1, 1, 3, 0, 4, 0, 2, 0
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 585, 18, 4, 55, 1, 65, 0, 45, 3
jaccardNormalizedPadding4grams, 0, 23, 2, 1, 4, 0, 4, 0, 4, 0
diceShingles3, 0, no result, 0, 0, 3, no result, 2, 0, 2, no result
overlapNormalized5Grams, 0, 22, 1, 0, 3, 0, 4, 0, 3, 0
winnowingNormalizedShingle3Dice, 0, 24, 1, 1, 4, no result, 5, 0, 3, no result
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 78, 3, 2, 12, no result, 16, 0, 9, 1
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 92, 4, 1, 16, no result, 18, 0, 10, no result
rkrGst4GramDiceVariantMinMatchLength3, 0, 710, 22, 4, 73, 2, 75, 0, 54, 4
rkrGstNormalized3GramOverlapMinMatchLength3, 0, 515, 17, 3, 49, 1, 59, 0, 40, 3
rkrGst4GramDiceMinMatchLength3, 0, 732, 20, 4, 71, 1, 76, 0, 55, 5
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 562, 22, 4, 58, 1, 64, 0, 45, 4
jaccard2Grams, 0, 13, 1, 0, 2, 0, 2, 0, 2, 0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 516, 16, 4, 50, 1, 58, 0, 40, 3
rkrGst2GramDiceVariantMinMatchLength1, 0, 662, 19, 5, 70, 2, 73, 0, 56, 6
rkrGst5GramDiceVariantMinMatchLength3, 0, 817, 20, 6, 92, 2, 95, 0, 59, 5
overlapNormalized4Grams, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst5GramDiceMinMatchLength1, 0, 848, 21, 5, 83, 2, 88, 0, 61, 4
diceVariantNormalizedPadding2grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
rkrGst4GramJaccardMinMatchLength3, 0, 728, 21, 5, 72, 2, 78, 0, 60, 4
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 635, 19, 4, 61, 2, 71, 0, 49, 4
levenshteinNormalized, 0, 97, 5, 0, 12, 0, 22, 0, 11, 0
rkrGstTokenJaccardMinMatchLength2, 0, 43, 1, 0, 7, 0, 6, 0, 4, 0
manhattanNormalizedShingles3, 0, 26, 2, 1, 5, no result, 5, 0, 4, no result
rkrGstShingle2DiceMinMatchLength1, 0, 62, 2, 1, 11, no result, 10, 0, 6, 0
diceVariantNormalizedPadding5grams, 0, 20, 1, 1, 3, 0, 4, 0, 2, 0
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 585, 18, 4, 54, 1, 65, 0, 44, 4
rkrGst2GramOverlapMinMatchLength1, 0, 639, 20, 5, 78, 2, 71, 0, 52, 4
winnowingNormalizedShingle2Overlap, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
winnowing5GramOverlap, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
diceNormalized4Grams, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 54, 2, 1, 9, 0, 6, 0, 5, 0
longestCommonSubsequence5GramFingerprintNormalized, 0, 74, 5, 0, 10, 0, 17, 0, 9, 0
rkrGstTokenDiceVariantMinMatchLength2, 0, 43, 1, 0, 7, 0, 6, 0, 4, 0
diceVariantNormalized5Grams, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
overlap5Grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
manhattanNormalized4Grams, 0, 33, 2, 1, 5, 0, 6, 0, 4, 1
longestCommonSubsequence2GramFingerprintNormalized, 0, 76, 5, 0, 9, 0, 17, 0, 9, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 89, 4, 1, 14, no result, 18, 0, 11, no result
cosineNormalizedShingle3NormalizedTermFrequency, 0, 33, 2, 1, 6, no result, 7, 0, 4, no result
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 57, 2, 0, 9, 0, 6, 0, 5, 0
rkrGstShingle2OverlapMinMatchLength2, 0, 60, 2, 1, 10, no result, 9, 0, 6, 0
cosineNormalizedShingle3TermFrequency, 0, 28, 2, 1, 5, no result, 5, 0, 4, no result
overlap3Grams, 0, 17, 1, 0, 2, 0, 2, 0, 2, 0
longestCommonSubsequence5GramFingerprint, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
diceShingles2, 0, 12, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 82, 3, 1, 13, no result, 14, 0, 11, 0
cosineNormalizedShingle2NormalizedTermFrequency, 0, 25, 2, 1, 4, no result, 5, 0, 3, 0
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 75, 3, 1, 12, no result, 19, 0, 11, 1
