max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 26, 2, 143, 456, 38, 2, 1, 4, 172
jaccardNormalized2Grams, 0, 3, 0, 9, 9, 3, 0, 0, 0, 4
winnowingShingle2Overlap, 0, 1, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstShingle2DiceMinMatchLength2, 0, 2, 0, 24, 21, no result, 0, 0, 1, 9
winnowing2GramJaccard, 0, 2, 0, 11, 9, 4, 0, 0, 0, 5
winnowing2GramDiceVariant, 0, 2, 0, 10, 10, 3, 0, 0, 0, 4
winnowingShingle2Dice, 0, 2, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 6, 0, 30, 30, no result, 0, 0, 2, no result
longestCommonSubsequence4GramFingerprint, 0, 2, 0, 15, 26, 4, 0, 0, 0, 7
rkrGst2GramDiceVariantMinMatchLength2, 0, 45, 4, 299, 1199, 161, 3, 2, 7, 243
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 4, 0, 27, 23, no result, 0, 0, 1, 12
winnowingTokenDice, 0, 0, 0, 4, 2, 1, 0, 0, 0, 1
longestCommonSubsequence5GramFingerprintNormalized, 0, 4, 0, 38, 101, 8, 0, 0, 2, 31
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 4, 0, 25, 27, no result, 0, 0, 1, 11
winnowingNormalized5GramDiceVariant, 0, 3, 0, 12, 9, 3, 0, 1, 0, 5
rkrGst3GramOverlapMinMatchLength3, 0, 33, 5, 298, 2293, 144, 4, 3, 8, 270
overlapNormalizedPadding4grams, 0, 3, 0, 10, 9, 4, 0, 0, 0, 7
overlap3Grams, 0, 3, 0, 7, 8, 2, 0, 0, 0, 3
winnowingTokenDiceVariant, 0, 1, 0, 3, 2, 1, 0, 0, 0, 1
dice5Grams, 0, 2, 0, 8, 7, 3, 0, 0, 0, 3
cosineNormalized4GramsTermFrequency, 0, 5, 0, 15, 10, 5, 0, 0, 1, 6
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 0, 29, 24, no result, 0, 0, 1, no result
rkrGstNormalizedTokenJaccardMinMatchLength1, 0, 2, 0, 19, 14, 8, 0, 0, 0, 7
overlapTokens, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
longestCommonSubsequence3GramFingerprint, 0, 3, 0, 22, 40, 6, 0, 0, 1, 10
rkrGstNormalized2GramDiceMinMatchLength1, 0, 25, 2, 134, 319, 35, 2, 1, 4, 146
winnowingNormalizedShingle3Jaccard, 0, 2, 0, 10, 7, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 4, 0, 25, 23, no result, 0, 0, 1, 12
cosineNormalizedShingle3TermFrequency, 0, 3, 0, 13, 8, no result, 0, 0, 1, no result
rkrGstShingle2OverlapMinMatchLength2, 0, 2, 0, 24, 18, no result, 0, 0, 0, 9
winnowingNormalized2GramJaccard, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
winnowingNormalized5GramDice, 0, 3, 0, 12, 10, 3, 0, 0, 1, 6
rkrGstShingle3JaccardMinMatchLength2, 0, no result, 0, 30, 24, no result, 0, 0, 1, no result
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 27, 2, 156, 358, 38, 2, 1, 4, 127
rkrGst5GramDiceVariantMinMatchLength3, 0, 36, 6, 421, 3214, 131, 4, 3, 9, 299
rkrGst3GramDiceMinMatchLength3, 0, 34, 5, 312, 2533, 155, 4, 3, 9, 312
rkrGstNormalized4GramDiceMinMatchLength3, 0, 23, 2, 149, 353, 35, 2, 1, 4, 131
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 22, 2, 127, 335, 32, 2, 1, 4, 143
winnowingNormalized4GramJaccard, 0, 3, 0, 10, 9, 3, 0, 0, 0, 5
optimalAlignment2GramFingerprint, 0, 14, 2, 244, 695, 62, 2, 1, 11, 138
rkrGstTokenDiceVariantMinMatchLength3, 0, 2, 0, 16, 13, 5, 0, 0, 0, 6
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 23, 2, 133, 347, 35, 2, 1, 4, 164
overlap4Grams, 0, 2, 0, 8, 6, 2, 0, 0, 0, 3
winnowingShingle2Jaccard, 0, 1, 0, 6, 4, no result, 0, 0, 0, 2
rkrGst4GramJaccardMinMatchLength3, 0, 39, 6, 472, 3107, 142, 4, 3, 9, 284
rkrGst4GramDiceVariantMinMatchLength2, 0, 37, 7, 358, 2941, 140, 4, 3, 9, 282
rkrGstNormalized2GramDiceMinMatchLength2, 0, 22, 3, 146, 320, 31, 2, 1, 4, 139
rkrGstShingle2DiceVariantMinMatchLength3, 0, 3, 0, 25, 18, no result, 0, 0, 1, 9
cosineNormalizedShingle2TermFrequency, 0, 3, 0, 10, 7, no result, 0, 0, 0, 4
rkrGst5GramOverlapMinMatchLength1, 0, 40, 6, 414, 3202, 137, 4, 4, 10, 319
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 5, 0, 25, 26, no result, 0, 0, 1, 11
rkrGstNormalized5GramDiceMinMatchLength2, 0, 25, 3, 163, 371, 37, 2, 1, 4, 132
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 0, 27, 21, no result, 0, 0, 1, no result
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 24, 2, 147, 346, 35, 2, 1, 4, 125
manhattanNormalizedShingles2, 0, 3, 0, 11, 7, no result, 0, 0, 0, 4
rkrGst4GramOverlapMinMatchLength2, 0, 34, 5, 350, 2936, 136, 5, 3, 8, 279
rkrGst5GramDiceMinMatchLength1, 0, 41, 6, 398, 3574, 162, 5, 4, 10, 343
winnowing3GramJaccard, 0, 3, 0, 13, 11, 4, 0, 0, 1, 5
winnowingShingle3Overlap, 0, no result, 0, 8, 5, no result, 0, 0, 0, no result
rkrGst2GramJaccardMinMatchLength3, 0, 35, 5, 299, 1144, 159, 3, 3, 8, 257
rkrGst4GramDiceMinMatchLength2, 0, 36, 5, 389, 3093, 159, 4, 3, 11, 319
rkrGst4GramDiceMinMatchLength3, 0, 36, 5, 347, 3011, 145, 4, 3, 9, 277
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 0, 26, 22, no result, 0, 0, 1, no result
winnowingNormalized3GramDiceVariant, 0, 3, 0, 10, 10, 3, 0, 0, 0, 5
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 4, 0, 27, 26, no result, 0, 0, 1, no result
diceVariantNormalized5Grams, 0, 3, 0, 10, 8, 3, 0, 0, 0, 4
rkrGst4GramDiceVariantMinMatchLength1, 0, 38, 6, 394, 3227, 143, 4, 3, 8, 285
rkrGst2GramJaccardMinMatchLength2, 0, 34, 5, 268, 1239, 177, 3, 3, 8, 246
rkrGstShingle2DiceMinMatchLength3, 0, 2, 0, 23, 18, no result, 0, 0, 0, 11
rkrGst2GramDiceMinMatchLength1, 0, 38, 5, 290, 1133, 169, 4, 3, 7, 245
winnowingNormalized2GramOverlap, 0, 3, 0, 9, 8, 3, 0, 0, 0, 5
cosineNormalized3GramsNormalizedTermFrequency, 0, 6, 0, 16, 10, 6, 0, 0, 1, 6
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 24, 2, 162, 343, 37, 2, 1, 4, 154
rkrGst3GramOverlapMinMatchLength2, 0, 34, 5, 310, 2222, 145, 3, 3, 10, 267
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 4, 0, 28, 28, no result, 0, 0, 1, no result
cosineNormalizedShingle2Bool, 0, 5, 0, 13, 9, no result, 0, 0, 1, 4
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 24, 2, 136, 415, 37, 2, 1, 4, 146
rkrGstNormalized3GramDiceMinMatchLength3, 0, 21, 2, 135, 333, 35, 2, 1, 4, 153
optimalAlignment3GramFingerprintNormalized, 0, 9, 1, 97, 267, 18, 1, 0, 5, 76
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
diceNormalizedPadding3grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
rkrGst2GramDiceMinMatchLength2, 0, 32, 5, 288, 1124, 162, 3, 2, 7, 255
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 4, 0, 26, 24, no result, 0, 0, 1, 11
damerauLevenshteinNormalized, 0, 25, 4, 304, 929, 60, 4, 2, 17, 237
diceVariantNormalized2Grams, 0, 3, 0, 12, 6, 3, 0, 0, 0, 4
diceNormalizedPadding2grams, 0, 3, 0, 8, 6, 3, 0, 0, 0, 4
rkrGstTokenJaccardMinMatchLength1, 0, 2, 0, 18, 16, 8, 0, 0, 0, 10
longestCommonSubsequence2GramFingerprint, 0, 5, 0, 39, 102, 9, 0, 0, 1, 19
rkrGstNormalized2GramOverlapMinMatchLength1, 0, 24, 2, 143, 354, 37, 2, 1, 4, 161
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 25, 2, 161, 407, 43, 2, 1, 6, 147
jaccardNormalized3Grams, 0, 3, 0, 10, 7, 3, 0, 0, 0, 5
rkrGstTokenJaccardMinMatchLength2, 0, 1, 0, 18, 14, 6, 0, 0, 0, 6
rkrGstShingle2JaccardMinMatchLength1, 0, 4, 0, 35, 22, no result, 0, 0, 1, 11
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 3, 0, 10, 11, no result, 0, 0, 0, no result
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 2, 0, 16, 14, 7, 0, 0, 0, 7
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 22, 2, 173, 355, 34, 2, 1, 4, 130
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 6, 0, 29, 28, no result, 0, 0, 1, no result
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 2, 0, 18, 14, 6, 0, 0, 0, 9
jaccardNormalizedShingles2, 0, 2, 0, 9, 7, no result, 0, 0, 0, 4
diceShingles2, 0, 1, 0, 6, 4, no result, 0, 0, 0, 2
cosineNormalizedShingle3Bool, 0, 3, 0, 13, 10, no result, 0, 0, 1, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 4, 0, 28, 27, no result, 0, 0, 1, no result
cosineNormalized5GramsTermFrequency, 0, 5, 0, 16, 12, 6, 0, 0, 1, 7
winnowingShingle2DiceVariant, 0, 2, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 25, 2, 163, 373, 38, 2, 3, 5, 154
rkrGstNormalized4GramDiceMinMatchLength1, 0, 25, 2, 155, 360, 48, 3, 1, 4, 130
cosineNormalized2GramsBool, 0, 4, 0, 12, 7, 4, 0, 0, 1, 5
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 5, 0, 28, 30, no result, 0, 0, 1, no result
rkrGstShingle2OverlapMinMatchLength3, 0, 2, 0, 23, 22, no result, 0, 0, 0, 9
overlapNormalizedPadding3grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 2, 0, 17, 12, 6, 0, 0, 0, 7
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 24, 2, 154, 371, 37, 3, 1, 4, 137
diceVariant4Grams, 0, 2, 0, 8, 6, 3, 0, 0, 0, 3
diceVariantNormalized4Grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
winnowingShingle3DiceVariant, 0, no result, 0, 7, 4, no result, 0, 0, 0, no result
rkrGst3GramDiceMinMatchLength1, 0, 35, 5, 309, 2260, 155, 3, 3, 8, 264
rkrGst3GramDiceMinMatchLength2, 0, 33, 5, 296, 2341, 149, 5, 4, 8, 307
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 0, 36, 29, no result, 0, 0, 1, no result
winnowingNormalized3GramJaccard, 0, 3, 0, 12, 11, 4, 0, 0, 1, 6
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 25, 2, 171, 383, 42, 3, 1, 4, 129
diceVariantTokens, 0, 0, 0, 4, 3, 1, 0, 0, 0, 1
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 26, 2, 166, 364, 39, 2, 1, 4, 129
winnowingNormalized3GramDice, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGst5GramDiceMinMatchLength3, 0, 36, 7, 392, 3244, 129, 5, 4, 9, 303
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 2, 0, 23, 16, 7, 0, 0, 0, 7
jaccard2Grams, 0, 3, 0, 9, 6, 2, 0, 0, 0, 4
jaccardNormalizedPadding5grams, 0, 4, 0, 12, 8, 4, 0, 0, 1, 5
diceVariantShingles3, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
rkrGstTokenDiceMinMatchLength2, 0, 1, 0, 15, 12, 5, 0, 0, 0, 6
diceVariantNormalizedShingles3, 0, 2, 0, 9, 7, no result, 0, 0, 0, no result
rkrGst4GramDiceVariantMinMatchLength3, 0, 40, 7, 353, 2974, 145, 4, 4, 9, 284
diceVariant3Grams, 0, 2, 0, 7, 6, 2, 0, 0, 0, 3
winnowingNormalized5GramJaccard, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 24, 2, 139, 344, 35, 2, 1, 4, 152
cosineNormalizedShingle3NormalizedTermFrequency, 0, 3, 0, 11, 9, no result, 0, 0, 1, no result
levenshteinNormalized, 0, 4, 0, 51, 139, 11, 0, 0, 3, 38
rkrGst3GramDiceVariantMinMatchLength2, 0, 36, 5, 312, 2270, 142, 3, 3, 8, 280
rkrGst3GramOverlapMinMatchLength1, 0, 35, 5, 300, 2266, 165, 4, 3, 8, 271
overlapShingles2, 0, 1, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstNormalized2GramDiceMinMatchLength3, 0, 21, 2, 129, 329, 35, 2, 1, 5, 144
diceVariant5Grams, 0, 2, 0, 9, 7, 3, 0, 0, 0, 3
rkrGstShingle2JaccardMinMatchLength2, 0, 3, 0, 24, 20, no result, 0, 0, 1, 10
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 6, 0, 27, 26, no result, 0, 0, 1, no result
longestCommonSubsequence4GramFingerprintNormalized, 0, 4, 0, 37, 117, 8, 0, 0, 2, 31
rkrGst5GramJaccardMinMatchLength3, 0, 37, 7, 413, 3278, 131, 4, 3, 9, 295
rkrGst3GramJaccardMinMatchLength3, 0, 36, 5, 296, 2301, 145, 4, 3, 8, 272
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 24, 2, 148, 348, 35, 2, 1, 4, 124
diceNormalizedPadding4grams, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
jaccardNormalized4Grams, 0, 4, 0, 11, 8, 5, 0, 0, 1, 5
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 28, 2, 153, 357, 39, 2, 1, 5, 150
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
winnowingNormalizedTokenJaccard, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
diceVariantNormalizedPadding5grams, 0, 3, 0, 11, 8, 3, 0, 0, 0, 4
jaccard4Grams, 0, 3, 0, 10, 7, 3, 0, 0, 0, 4
winnowing5GramDice, 0, 2, 0, 11, 8, 3, 0, 0, 0, 4
diceVariant2Grams, 0, 2, 0, 7, 5, 2, 0, 0, 0, 3
winnowing3GramDiceVariant, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
diceNormalizedTokens, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
diceVariantNormalizedShingles2, 0, 4, 0, 10, 7, no result, 0, 0, 0, 4
diceNormalized4Grams, 0, 3, 0, 11, 8, 3, 0, 0, 0, 4
winnowingNormalized2GramDiceVariant, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
cosineNormalized3GramsBool, 0, 5, 0, 14, 9, 5, 0, 0, 1, 6
