similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized4Grams, 0, 2, 0, 1, 0, 3, 1, 0, 0, 0
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0
winnowingShingle2Jaccard, 0, 16, 4, 3, 1, no result, 6, 0, 4, 2
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 2, 0, 6, 6, 2, 0, 0, 0, 7
rkrGst3GramJaccardMinMatchLength1, 0, 1, 0, 15, 6, 10, 0, 0, 0, 8
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 2, 1, 1, 0, 2, 1, 0, 0, 0
rkrGstTokenOverlapMinMatchLength3, 0, 2, 1, 2, 0, 2, 1, 0, 0, 0
winnowingNormalized3GramJaccard, 0, 8, 3, 3, 1, 7, 5, 1, 4, 0
optimalAlignment4GramFingerprint, 0, 2, 0, 1, 1, 5, 3, 0, 0, 0
manhattanNormalized2Grams, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 3, 2, 1, 1, no result, 3, 0, 0, no result
winnowingNormalized5GramDiceVariant, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0
winnowingNormalized5GramOverlap, 0, 6, 2, 1, 0, 4, 5, 0, 4, 0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 2, 0, 1, 0, no result, 2, 0, 0, no result
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 9, 0, 8, 0, 2, 1, 0, 0, 0
winnowingTokenOverlap, 0, 4, 0, 2, 1, 5, 3, 0, 0, 0
longestCommonSubsequenceShingle2Fingerprint, 0, 2, 3, 2, 1, no result, 3, 0, 0, 1
manhattanNormalizedShingles2, 0, 2, 1, 1, 0, no result, 1, 0, 0, 0
optimalAlignment4GramFingerprintNormalized, 0, 2, 0, 1, 1, 5, 3, 0, 0, 0
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 1, 0, 2, 6, 2, 0, 0, 0, 9
overlapNormalizedPadding5grams, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalized2GramOverlap, 0, 4, 0, 1, 2, 4, 3, 0, 3, 1
optimalAlignment5GramFingerprint, 0, 2, 0, 1, 1, 5, 3, 0, 0, 0
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 1, 0, 2, 6, 2, 0, 0, 0, 9
winnowing2GramOverlap, 0, 2, 0, 1, 1, 2, 2, 0, 2, 0
rkrGst5GramJaccardMinMatchLength2, 0, 2, 0, 15, 0, 2, 0, 0, 0, 1
cosineNormalized3GramsBool, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
winnowingShingle3Dice, 0, no result, 4, 2, 1, no result, 6, 0, 2, no result
winnowingTokenDice, 0, 4, 1, 2, 1, 5, 3, 0, 0, 0
rkrGst4GramDiceMinMatchLength2, 0, 1, 0, 10, 7, 10, 0, 0, 0, 0
jaccard5Grams, 0, 2, 0, 1, 0, 3, 1, 0, 0, 0
diceVariant5Grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 3, 2, 1, no result, 3, 0, 0, no result
jaccard3Grams, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 2, 2, 6, 0, no result, 1, 0, 0, 0
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 15, 0, 9, 6, 2, 0, 0, 0, 8
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 2, 1, 1, 0, no result, 3, 0, 0, no result
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 1, 0, 9, 6, 2, 0, 0, 0, 8
cosineNormalized5GramsTermFrequency, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst5GramJaccardMinMatchLength1, 0, 2, 0, 15, 0, 2, 0, 0, 0, 1
rkrGst3GramJaccardMinMatchLength2, 0, 1, 0, 15, 6, 10, 0, 0, 0, 8
damerauLevenshteinStandard, 0, 2, 0, 1, 1, 3, 1, 0, 0, 0
rkrGst2GramJaccardMinMatchLength3, 0, 1, 0, 16, 6, 10, 0, 0, 0, 8
rkrGst5GramOverlapMinMatchLength3, 0, 2, 0, 10, 6, 4, 0, 0, 0, 8
dice2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramDiceMinMatchLength2, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0
winnowing5GramDiceVariant, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0
jaccard4Grams, 0, 2, 0, 1, 0, 3, 1, 0, 0, 0
