similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowing5GramOverlap, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 20, 5, 0, 6, 0, 0, 0, 0, 8
rkrGst2GramDiceMinMatchLength3, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0
jaccard3Grams, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0
jaccard4Grams, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst4GramDiceMinMatchLength3, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0
winnowingShingle3Overlap, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
overlapShingles2, 0, 1, 0, 1, 0, no result, 0, 0, 0, 1
overlapNormalizedTokens, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
jaccard5Grams, 0, 2, 0, 1, 1, 2, 1, 0, 0, 0
winnowingTokenDiceVariant, 0, 3, 0, 1, 0, 0, 0, 0, 0, 1
rkrGstNormalized5GramDiceMinMatchLength2, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 1, 0, 1, 0, 9, 0, 0, 0, 8
longestCommonSubsequenceNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
diceVariant4Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized2GramsBool, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
winnowingShingle2DiceVariant, 0, 1, 0, 0, 0, no result, 0, 0, 0, 1
rkrGst3GramJaccardMinMatchLength3, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst2GramDiceMinMatchLength2, 0, 10, 0, 1, 1, 1, 0, 0, 0, 0
rkrGst5GramDiceMinMatchLength3, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 1, 0, 0, 0, no result, 0, 0, 0, 8
diceShingles3, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
overlapNormalizedPadding5grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 1, 0, 1, 0, no result, 0, 0, 0, 8
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 1, 0, 0, 0, no result, 0, 0, 0, no result
rkrGst4GramJaccardMinMatchLength3, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle2DiceMinMatchLength3, 0, 1, 0, 10, 0, no result, 1, 0, 0, 8
longestCommonSubsequenceStandard, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle2OverlapMinMatchLength2, 0, 1, 0, 2, 0, no result, 0, 0, 0, 8
rkrGstShingle2OverlapMinMatchLength3, 0, 1, 0, 10, 0, no result, 0, 0, 0, 8
rkrGst4GramDiceVariantMinMatchLength1, 0, 30, 6, 4, 10, 0, 0, 0, 1, 8
optimalAlignment4GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
overlap3Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
winnowing2GramDiceVariant, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignment2GramFingerprint, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
longestCommonSubsequence4GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
levenshteinStandard, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle2DiceVariantMinMatchLength2, 0, 1, 0, 1, 0, no result, 0, 0, 0, 8
winnowing5GramDiceVariant, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignment3GramFingerprint, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength3, 0, no result, 0, 9, 6, no result, 0, 0, 0, no result
optimalAlignmentShingle3Fingerprint, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
overlap5Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceMinMatchLength1, 0, 15, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstShingle2OverlapMinMatchLength1, 0, 1, 0, 1, 0, no result, 0, 0, 0, 1
rkrGst3GramOverlapMinMatchLength2, 0, 18, 1, 0, 6, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 1, 0, 9, 0, no result, 0, 0, 0, no result
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 30, 5, 9, 7, 0, 10, 0, 0, 8
longestCommonSubsequence3GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
jaccardTokens, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
rkrGst2GramOverlapMinMatchLength3, 0, 23, 7, 0, 6, 0, 0, 0, 0, 0
rkrGstTokenDiceVariantMinMatchLength3, 0, 1, 0, 1, 0, 9, 0, 0, 0, 8
rkrGstTokenDiceMinMatchLength3, 0, 1, 0, 1, 0, 10, 1, 0, 0, 8
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 0, 10, 0, no result, 0, 0, 0, no result
rkrGst5GramDiceMinMatchLength1, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalized2GramOverlap, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1
rkrGst5GramOverlapMinMatchLength2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst2GramDiceVariantMinMatchLength3, 0, 31, 6, 4, 11, 0, 3, 0, 10, 8
cosineNormalized2GramsTermFrequency, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 14, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 0, 2, 0, no result, 0, 0, 0, no result
cosineNormalized4GramsNormalizedTermFrequency, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 1, 0, 1, 0, 10, 1, 0, 0, 8
cosineNormalized4GramsBool, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
longestCommonSubsequence5GramFingerprint, 0, 6, 0, 5, 0, 2, 2, 0, 1, 1
rkrGst5GramJaccardMinMatchLength1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst4GramOverlapMinMatchLength1, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0
longestCommonSubsequence4GramFingerprint, 0, 5, 0, 1, 0, 2, 1, 0, 0, 1
jaccard2Grams, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstTokenDiceVariantMinMatchLength1, 0, 31, 6, 3, 5, 0, 6, 0, 10, 0
cosineNormalizedTokensBool, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1
rkrGst4GramDiceMinMatchLength1, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstShingle2JaccardMinMatchLength2, 0, 2, 0, 2, 0, no result, 1, 0, 0, 10
