similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 29, 5, 4, 7, 0, 0, 0, 0, 8
jaccardNormalized4Grams, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0
rkrGstShingle2JaccardMinMatchLength1, 0, 2, 0, 2, 0, no result, 1, 0, 0, 2
optimalAlignmentShingle2Fingerprint, 0, 2, 0, 1, 0, no result, 1, 0, 0, 1
winnowing3GramOverlap, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 31, 6, 9, 11, 0, 10, 0, 10, 8
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 31, 6, 3, 11, 0, 6, 0, 10, 0
rkrGst4GramOverlapMinMatchLength2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
longestCommonSubsequenceShingle2Fingerprint, 0, 2, 0, 1, 0, no result, 1, 0, 0, 1
winnowingShingle2Overlap, 0, 5, 0, 1, 0, no result, 0, 0, 0, 1
rkrGst5GramDiceMinMatchLength2, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength1, 0, 18, 0, 0, 1, 0, 1, 0, 0, 1
rkrGst3GramJaccardMinMatchLength1, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
winnowing4GramOverlap, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized4GramDiceMinMatchLength3, 0, 10, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalized5GramDice, 0, 5, 0, 1, 0, 1, 0, 0, 0, 1
rkrGst3GramDiceMinMatchLength3, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalized2GramDice, 0, 3, 0, 1, 0, 1, 0, 0, 0, 1
rkrGstTokenJaccardMinMatchLength3, 0, 2, 0, 2, 0, 11, 1, 0, 0, 8
rkrGstNormalized2GramJaccardMinMatchLength2, 0, 22, 0, 1, 1, 1, 1, 0, 0, 0
winnowingNormalized4GramDice, 0, 5, 0, 1, 0, 1, 0, 0, 0, 1
cosineNormalizedTokensNormalizedTermFrequency, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 1, 0, 2, 0, 10, 1, 0, 0, 8
rkrGst5GramJaccardMinMatchLength2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 31, 6, 9, 11, 0, 10, 0, 10, 8
overlapNormalizedPadding3grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalized4Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalizedShingle3DiceVariant, 0, 1, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 2, 0, 1, 0, no result, 1, 0, 0, 8
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
optimalAlignment2GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
longestCommonSubsequence2GramFingerprint, 0, 5, 1, 1, 0, 2, 2, 0, 0, 1
rkrGst2GramDiceVariantMinMatchLength1, 0, 31, 6, 4, 11, 0, 10, 0, 10, 8
diceVariantNormalizedPadding2grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceMinMatchLength3, 0, 15, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
rkrGstNormalized5GramDiceMinMatchLength1, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0
