total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,6,0,12,7,4,0,0,1,5
cosineNormalized2GramsNormalizedTermFrequency,0,4,0,12,7,4,0,0,1,5
cosineNormalized2GramsTermFrequency,0,6,0,11,7,5,0,0,1,5
cosineNormalized3GramsBool,0,5,0,14,9,5,0,0,1,6
cosineNormalized3GramsNormalizedTermFrequency,0,5,0,15,9,5,0,0,1,6
cosineNormalized3GramsTermFrequency,0,5,0,14,9,5,0,0,1,6
cosineNormalized4GramsBool,0,5,0,15,10,5,0,0,1,6
cosineNormalized4GramsNormalizedTermFrequency,0,5,0,15,10,5,0,0,1,7
cosineNormalized4GramsTermFrequency,0,5,0,16,13,6,0,0,1,8
cosineNormalized5GramsBool,0,5,0,16,11,5,0,0,1,7
cosineNormalized5GramsNormalizedTermFrequency,0,5,0,21,13,7,0,0,1,10
cosineNormalized5GramsTermFrequency,0,5,0,16,11,5,0,0,1,7
cosineNormalizedShingle2Bool,0,3,0,10,9, no result,0,0,1,4
cosineNormalizedShingle2NormalizedTermFrequency,0,3,0,10,7, no result,0,0,0,4
cosineNormalizedShingle2TermFrequency,0,3,0,10,7, no result,0,0,0,5
cosineNormalizedShingle3Bool,0,3,0,11,8, no result,0,0,1, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,3,0,11,8, no result,0,0,0, no result
cosineNormalizedShingle3TermFrequency,0,3,0,11,9, no result,0,0,0, no result
cosineNormalizedTokensBool,0,1,0,5,3,2,0,0,0,2
cosineNormalizedTokensNormalizedTermFrequency,0,1,0,6,3,2,0,0,0,2
cosineNormalizedTokensTermFrequency,0,1,0,5,3,2,0,0,0,2
damerauLevenshteinNormalized,0,24,4,336,917,63,4,2,16,252
damerauLevenshteinStandard,0,30,4,568,1805,143,6,3,25,337
dice2Grams,0,4,0,8,6,2,0,0,0,3
dice3Grams,0,2,0,8,6,3,0,0,0,4
dice4Grams,0,2,0,11,8,3,0,0,0,4
dice5Grams,0,2,0,8,6,3,0,0,0,3
diceNormalized2Grams,0,2,0,8,6,3,0,0,0,4
diceNormalized3Grams,0,3,0,9,7,3,0,0,1,5
diceNormalized4Grams,0,3,0,11,8,3,0,0,0,4
diceNormalized5Grams,0,3,0,10,8,3,0,0,0,5
diceNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,4
diceNormalizedPadding3grams,0,3,0,9,7,3,0,0,0,4
diceNormalizedPadding4grams,0,3,0,11,8,3,0,0,1,5
diceNormalizedPadding5grams,0,3,0,11,9,3,0,0,1,5
diceNormalizedShingles2,0,3,0,10,7, no result,0,0,1,4
diceNormalizedShingles3,0,3,0,10,9, no result,0,0,1, no result
diceNormalizedTokens,0,1,0,4,3,1,0,0,0,1
diceShingles2,0,1,0,6,4, no result,0,0,0,2
diceShingles3,0, no result,0,7,5, no result,0,0,0, no result
diceTokens,0,0,0,3,3,1,0,0,0,1
diceVariant2Grams,0,3,0,8,5,2,0,0,0,3
diceVariant3Grams,0,2,0,7,6,3,0,0,0,3
diceVariant4Grams,0,5,0,10,6,3,0,0,0,3
diceVariant5Grams,0,3,0,10,7,3,0,0,0,3
diceVariantNormalized2Grams,0,4,0,8,6,3,0,0,0,4
diceVariantNormalized3Grams,0,3,0,10,7,3,0,0,0,4
diceVariantNormalized4Grams,0,3,0,10,7,3,0,0,0,4
diceVariantNormalized5Grams,0,3,0,11,8,3,0,0,1,4
diceVariantNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,4
diceVariantNormalizedPadding3grams,0,3,0,11,8,3,0,0,0,4
diceVariantNormalizedPadding4grams,0,3,0,9,8,3,0,0,0,4
diceVariantNormalizedPadding5grams,0,3,0,10,8,3,0,0,0,5
diceVariantNormalizedShingles2,0,2,0,10,7, no result,0,0,0,4
diceVariantNormalizedShingles3,0,2,0,10,7, no result,0,0,0, no result
diceVariantNormalizedTokens,0,1,0,4,3,1,0,0,0,2
diceVariantShingles2,0,1,0,6,4, no result,0,0,0,2
diceVariantShingles3,0, no result,0,7,5, no result,0,0,0, no result
diceVariantTokens,0,0,0,3,2,1,0,0,0,1
jaccard2Grams,0,2,0,7,5,2,0,0,0,3
jaccard3Grams,0,2,0,8,6,3,0,0,0,4
jaccard4Grams,0,3,0,10,7,3,0,0,0,4
jaccard5Grams,0,3,0,10,7,3,0,0,0,5
jaccardNormalized2Grams,0,3,0,9,7,3,0,0,0,4
jaccardNormalized3Grams,0,3,0,10,7,3,0,0,0,4
jaccardNormalized4Grams,0,4,0,15,10,5,0,0,1,6
jaccardNormalized5Grams,0,4,0,11,8,4,0,0,1,5
jaccardNormalizedPadding2grams,0,3,0,9,7,3,0,0,1,5
jaccardNormalizedPadding3grams,0,3,0,11,8,3,0,0,1,5
jaccardNormalizedPadding4grams,0,3,0,11,8,4,0,0,0,5
jaccardNormalizedPadding5grams,0,5,0,16,11,4,0,0,0,5
jaccardNormalizedShingles2,0,2,0,9,7, no result,0,0,0,4
jaccardNormalizedShingles3,0,3,0,11,8, no result,0,0,1, no result
jaccardNormalizedTokens,0,3,0,10,7,3,0,0,0,4
jaccardShingles2,0,1,0,7,4, no result,0,0,1,3
jaccardShingles3,0, no result,0,8,5, no result,0,0,0, no result
jaccardTokens,0,0,0,4,3,1,0,0,0,1
levenshteinNormalized,0,4,0,50,138,11,0,0,3,38
levenshteinStandard,0,5,0,90,282,21,1,0,4,54
longestCommonSubsequence2GramFingerprint,0,4,0,34,90,10,0,0,2,18
longestCommonSubsequence2GramFingerprintNormalized,0,4,0,37,99,8,0,0,2,30
longestCommonSubsequence3GramFingerprint,0,3,0,22,42,5,0,0,2,10
longestCommonSubsequence3GramFingerprintNormalized,0,4,0,36,99,8,0,0,2,29
longestCommonSubsequence4GramFingerprint,0,3,0,15,28,4,0,0,0,7
longestCommonSubsequence4GramFingerprintNormalized,0,5,0,39,123,10,0,0,2,30
longestCommonSubsequence5GramFingerprint,0,2,0,11,18,3,0,0,0,5
longestCommonSubsequence5GramFingerprintNormalized,0,4,0,38,99,8,0,0,2,30
longestCommonSubsequenceNormalized,0,9,1,151,236,18,1,0,4,67
longestCommonSubsequenceShingle2Fingerprint,0,1,0,8,6, no result,0,0,0,2
longestCommonSubsequenceShingle2FingerprintNormalized,0,2,0,9,7, no result,0,0,0,4
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,7,5, no result,0,0,0, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,2,0,10,8, no result,0,0,1, no result
longestCommonSubsequenceStandard,0,9,1,171,467,44,1,0,7,93
manhattanNormalized2Grams,0,4,0,11,8,4,0,0,1,6
manhattanNormalized3Grams,0,5,0,13,9,5,0,0,1,6
manhattanNormalized4Grams,0,5,0,18,11,5,0,0,1,7
manhattanNormalized5Grams,0,5,0,15,10,5,0,0,1,7
manhattanNormalizedShingles2,0,3,0,10,9, no result,0,0,1,5
manhattanNormalizedShingles3,0,3,0,11,8, no result,0,0,0, no result
manhattanNormalizedTokens,0,1,0,5,3,2,0,0,0,2
optimalAlignment2GramFingerprint,0,14,2,247,689,61,2,1,11,141
optimalAlignment2GramFingerprintNormalized,0,10,1,93,267,18,1,0,5,77
optimalAlignment3GramFingerprint,0,13,2,243,659,63,2,1,11,137
optimalAlignment3GramFingerprintNormalized,0,9,1,92,267,19,1,0,5,77
optimalAlignment4GramFingerprint,0,13,2,241,653,66,2,2,11,137
optimalAlignment4GramFingerprintNormalized,0,9,1,91,265,18,1,0,5,75
optimalAlignment5GramFingerprint,0,13,2,248,670,64,2,1,11,136
optimalAlignment5GramFingerprintNormalized,0,9,1,90,263,18,1,0,5,76
optimalAlignmentNormalized,0,20,2,208,673,44,3,1,12,163
optimalAlignmentShingle2Fingerprint,0,1,0,8,6, no result,0,0,0,3
optimalAlignmentShingle2FingerprintNormalized,0,2,0,12,10, no result,0,0,0,4
optimalAlignmentShingle3Fingerprint,0, no result,0,9,7, no result,0,0,0, no result
optimalAlignmentShingle3FingerprintNormalized,0,3,0,14,12, no result,0,0,1, no result
optimalAlignmentStandard,0,21,3,390,1053,98,4,2,17,222
overlap2Grams,0,2,0,6,5,3,0,0,0,3
overlap3Grams,0,2,0,7,6,2,0,0,0,3
overlap4Grams,0,4,0,10,8,4,0,0,0,3
overlap5Grams,0,2,0,8,6,3,0,0,0,5
overlapNormalized2Grams,0,3,0,8,6,3,0,0,0,4
overlapNormalized3Grams,0,3,0,9,7,3,0,0,0,4
overlapNormalized4Grams,0,3,0,9,8,3,0,0,0,5
overlapNormalized5Grams,0,3,0,10,7,3,0,0,0,4
overlapNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,4
overlapNormalizedPadding3grams,0,3,0,10,7,3,0,0,0,4
overlapNormalizedPadding4grams,0,4,0,13,10,4,0,0,0,5
overlapNormalizedPadding5grams,0,3,0,10,8,3,0,0,1,5
overlapNormalizedShingles2,0,4,0,9,7, no result,0,0,0,4
overlapNormalizedShingles3,0,2,0,9,8, no result,0,0,0, no result
overlapNormalizedTokens,0,4,0,9,8,3,0,0,0,4
overlapShingles2,0,1,0,6,4, no result,0,0,0,2
overlapShingles3,0, no result,0,7,5, no result,0,0,0, no result
overlapTokens,0,0,0,3,2,1,0,0,0,1
rkrGst2GramDiceMinMatchLength1,0,39,5,292,1143,170,4,2,7,251
rkrGst2GramDiceMinMatchLength2,0,33,4,269,1164,164,3,2,9,240
rkrGst2GramDiceMinMatchLength3,0,34,5,266,1143,157,3,2,7,248
rkrGst2GramDiceVariantMinMatchLength1,0,44,6,328,1287,169,3,2,7,253
rkrGst2GramDiceVariantMinMatchLength2,0,35,5,264,1171,184,3,3,9,280
rkrGst2GramDiceVariantMinMatchLength3,0,35,4,272,1142,155,3,2,9,240
rkrGst2GramJaccardMinMatchLength1,0,37,5,293,1192,175,3,2,8,243
rkrGst2GramJaccardMinMatchLength2,0,40,5,286,1153,170,3,2,7,243
rkrGst2GramJaccardMinMatchLength3,0,38,5,272,1175,158,3,2,8,248
rkrGst2GramOverlapMinMatchLength1,0,46,7,323,1270,201,3,3,10,262
rkrGst2GramOverlapMinMatchLength2,0,38,5,312,1234,184,4,3,8,248
rkrGst2GramOverlapMinMatchLength3,0,34,4,262,1130,165,4,3,8,239
rkrGst3GramDiceMinMatchLength1,0,42,6,313,2785,175,4,3,9,294
rkrGst3GramDiceMinMatchLength2,0,35,5,296,2317,176,3,3,10,303
rkrGst3GramDiceMinMatchLength3,0,35,5,306,2250,141,3,3,8,262
rkrGst3GramDiceVariantMinMatchLength1,0,36,5,302,2314,146,4,4,8,269
rkrGst3GramDiceVariantMinMatchLength2,0,34,5,300,2268,142,3,3,8,267
rkrGst3GramDiceVariantMinMatchLength3,0,35,5,300,2357,144,3,3,8,265
rkrGst3GramJaccardMinMatchLength1,0,36,5,307,2293,149,4,3,9,271
rkrGst3GramJaccardMinMatchLength2,0,35,5,298,2296,145,4,3,8,263
rkrGst3GramJaccardMinMatchLength3,0,35,8,323,2321,146,4,3,8,269
rkrGst3GramOverlapMinMatchLength1,0,38,5,306,2390,172,4,3,10,278
rkrGst3GramOverlapMinMatchLength2,0,34,5,296,2415,166,5,4,8,299
rkrGst3GramOverlapMinMatchLength3,0,43,6,332,2495,173,3,3,8,264
rkrGst4GramDiceMinMatchLength1,0,37,5,356,3074,143,4,3,9,290
rkrGst4GramDiceMinMatchLength2,0,34,5,360,2959,143,4,3,9,282
rkrGst4GramDiceMinMatchLength3,0,36,5,356,2942,144,4,4,9,291
