average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized4Grams, 0.0, 3.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedTokenDiceMinMatchLength1, 0.0, 2.0, 0.0, 17.0, 14.0, 6.0, 0.0, 0.0, 0.0, 7.0
winnowingShingle2Jaccard, 0.0, 2.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
rkrGstNormalized3GramJaccardMinMatchLength1, 0.0, 25.0, 2.0, 218.0, 415.0, 39.0, 2.0, 1.0, 6.0, 166.0
rkrGst3GramJaccardMinMatchLength1, 0.0, 38.0, 5.0, 312.0, 2306.0, 149.0, 4.0, 3.0, 8.0, 270.0
rkrGstNormalizedTokenOverlapMinMatchLength3, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
rkrGstTokenOverlapMinMatchLength3, 0.0, 1.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
winnowingNormalized3GramJaccard, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
optimalAlignment4GramFingerprint, 0.0, 15.0, 2.0, 246.0, 653.0, 61.0, 2.0, 1.0, 11.0, 138.0
manhattanNormalized2Grams, 0.0, 4.0, 0.0, 11.0, 7.0, 4.0, 0.0, 0.0, 1.0, 5.0
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0.0, 4.0, 0.0, 28.0, 27.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalized5GramDiceVariant, 0.0, 3.0, 0.0, 12.0, 10.0, 3.0, 0.0, 0.0, 1.0, 5.0
winnowingNormalized5GramOverlap, 0.0, 3.0, 0.0, 11.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0.0, 4.0, 0.0, 29.0, 28.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
winnowingTokenOverlap, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
longestCommonSubsequenceShingle2Fingerprint, 0.0, 1.0, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, 2.0
manhattanNormalizedShingles2, 0.0, 3.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, 4.0
optimalAlignment4GramFingerprintNormalized, 0.0, 9.0, 1.0, 92.0, 270.0, 19.0, 1.0, 0.0, 5.0, 77.0
rkrGstNormalized3GramOverlapMinMatchLength1, 0.0, 23.0, 3.0, 146.0, 357.0, 38.0, 2.0, 1.0, 4.0, 167.0
overlapNormalizedPadding5grams, 0.0, 3.0, 0.0, 11.0, 8.0, 5.0, 0.0, 0.0, 1.0, 5.0
winnowingNormalized2GramOverlap, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
optimalAlignment5GramFingerprint, 0.0, 13.0, 2.0, 248.0, 662.0, 62.0, 2.0, 1.0, 13.0, 158.0
rkrGstNormalized3GramOverlapMinMatchLength2, 0.0, 22.0, 2.0, 138.0, 357.0, 35.0, 2.0, 1.0, 4.0, 200.0
winnowing2GramOverlap, 0.0, 2.0, 0.0, 10.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGst5GramJaccardMinMatchLength2, 0.0, 44.0, 7.0, 556.0, 3674.0, 131.0, 4.0, 3.0, 9.0, 313.0
cosineNormalized3GramsBool, 0.0, 5.0, 0.0, 14.0, 9.0, 5.0, 0.0, 0.0, 1.0, 6.0
winnowingShingle3Dice, 0.0, no result, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, no result
winnowingTokenDice, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
rkrGst4GramDiceMinMatchLength2, 0.0, 35.0, 5.0, 348.0, 2994.0, 143.0, 4.0, 3.0, 9.0, 306.0
jaccard5Grams, 0.0, 3.0, 0.0, 10.0, 9.0, 4.0, 0.0, 0.0, 0.0, 4.0
diceVariant5Grams, 0.0, 2.0, 0.0, 8.0, 6.0, 3.0, 0.0, 0.0, 0.0, 3.0
rkrGstShingle3JaccardMinMatchLength3, 0.0, no result, 0.0, 27.0, 24.0, no result, 0.0, 0.0, 1.0, no result
jaccard3Grams, 0.0, 2.0, 0.0, 10.0, 6.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0.0, 4.0, 0.0, 26.0, 25.0, no result, 0.0, 0.0, 1.0, 11.0
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0.0, 23.0, 2.0, 149.0, 377.0, 35.0, 2.0, 1.0, 5.0, 128.0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0.0, 5.0, 0.0, 29.0, 31.0, no result, 0.0, 0.0, 1.0, no result
